cluster index	parent mass	RTMean	ATTRIBUTE_condition:GNPSGROUP:trich	ATTRIBUTE_condition:GNPSGROUP:control	ATTRIBUTE_condition:GNPSGROUP:nan	ATTRIBUTE_condition_detailed:GNPSGROUP:trich_1	ATTRIBUTE_condition_detailed:GNPSGROUP:control	ATTRIBUTE_condition_detailed:GNPSGROUP:trich_2	ATTRIBUTE_condition_detailed:GNPSGROUP:nan
3228	645.3491147468226	4.733307	111189.5375	796439.75		222379.075	796439.75	0.0	
3229	706.3652368587343	4.735281	1944099.9125	1673810.45		1961702.4000000001	1673810.45	1926497.425	
3230	393.3112973514271	4.7352176	1752926.4124999999	1531076.65		1780813.8499999999	1531076.65	1725038.975	
3231	169.97774994037255	4.7359924	1875853.725	1898925.575		2221026.675	1898925.575	1530680.775	
3232	162.9985473317077	4.73634	1729246.3375000001	1600477.625		1870504.1749999998	1600477.625	1587988.5	
3233	269.1751442832931	4.738976	1502876.075	2137179.875		1931633.025	2137179.875	1074119.125	
3234	665.2862912084473	4.739044	0.0	0.0		0.0	0.0	0.0	
3235	687.2690511793389	4.7397704	0.0	0.0		0.0	0.0	0.0	
3236	309.1677652099446	4.7401004	1189248.7875	1633375.85		1512269.4	1633375.85	866228.175	
3237	151.03567380056532	4.7372494	841152.1499999999	751072.515		956709.275	751072.515	725595.0249999999	
3238	169.97770122586533	4.734183	1834728.1375	2578420.825		2138775.5	2578420.825	1530680.775	
3239	199.9882972911965	4.7410064	4868987.625	5072528.125		5838151.0	5072528.125	3899824.25	
3240	177.1278382099664	4.7474356	1518225.0675000001	1927348.05		1967694.125	1927348.05	1068756.01	
3241	195.1384225584624	4.747264	360450.6875	696270.665		550372.75	696270.665	170528.625	
3242	171.99335381855653	4.732251	1722035.7874999999	1577515.375		1770703.75	1577515.375	1673367.825	
3243	128.951120346964	4.739993	602045.65625	1010132.625		772385.8525	1010132.625	431705.45999999996	
3244	159.11604029041084	4.7514553	0.0	539618.25		0.0	539618.25	0.0	
3245	177.12648912502374	4.7514553	0.0	1778073.0		0.0	1778073.0	0.0	
3246	195.1369470499004	4.7514553	0.0	604701.125		0.0	604701.125	0.0	
3247	363.20686288532863	4.7552605	5659761.75	5555386.125		6065170.5	5555386.125	5254353.0	
3248	190.99205523338685	4.7599783	0.0	689679.2		0.0	689679.2	0.0	
3249	199.9868299636937	4.7599783	0.0	1580018.5		0.0	1580018.5	0.0	
3250	363.2041149551469	4.7599783	0.0	4052883.75		0.0	4052883.75	0.0	
3251	347.1837385487749	4.7625027	322421.1375	694917.075		644842.275	694917.075	0.0	
3252	373.1622726681643	4.7684364	0.0	382262.025		0.0	382262.025	0.0	
3253	678.334174597516	4.7719207	4442906.1875	7794082.125		6101065.55	7794082.125	2784746.825	
3254	761.3941985071224	4.774659	331677.51749999996	739125.65		491870.235	739125.65	171484.8	
3255	481.2440166705953	4.7721596	332702.6625	1062899.45		665405.325	1062899.45	0.0	
3256	683.2899190137387	4.774937	2805999.7249999996	6413161.375		4083554.125	6413161.375	1528445.3250000002	
3257	456.2812192991864	4.765952	1253983.53125	1506575.15		1323040.2125	1506575.15	1184926.85	
3258	232.2064747605693	4.7794886	3034487.375	2206118.3		3271891.175	2206118.3	2797083.575	
3259	261.11029364932097	4.78119	488528.81	428476.525		236242.6	428476.525	740815.02	
3260	314.2329372570762	4.779465	618416.3999999999	0.0		907834.05	0.0	328998.75	
3261	367.2098686150034	4.782595	147514.675	693094.0225		295029.35	693094.0225	0.0	
3262	232.2047641658311	4.7855554	0.0	800470.0		0.0	800470.0	0.0	
3263	314.2306271223899	4.7855554	0.0	1098985.625		0.0	1098985.625	0.0	
3264	342.2255727158051	4.7855554	0.0	444261.275		0.0	444261.275	0.0	
3265	634.3443637895567	4.783298	643576.4875	1368855.525		1054765.2875	1368855.525	232387.6875	
3266	639.2994155559943	4.78227	918165.5375	2366029.375		1608053.9000000001	2366029.375	228277.175	
3267	362.1813486969007	4.7940536	2011077.0499999998	180453.975		1003858.35	180453.975	3018295.75	
3268	367.1368218074463	4.794837	1789508.1124999998	0.0		868672.975	0.0	2710343.25	
3269	345.1549345362818	4.793971	3173126.0	519734.5375		1550098.875	519734.5375	4796153.125	
3270	390.2124520428082	4.794463	1321888.5625	0.0		534166.7	0.0	2109610.425	
3271	226.0125359694544	4.756206	833625.70375	716255.6875		825968.7100000001	716255.6875	841282.6975	
3272	172.17008392474366	4.7956467	0.0	0.0		0.0	0.0	0.0	
3273	246.24325010424224	4.8029137	1069170.6749999998	1173545.925		938703.5	1173545.925	1199637.85	
3274	525.2712626460132	4.808249	0.0	0.0		0.0	0.0	0.0	
3275	351.2144212525663	4.863666	68634946.775	67189560.0		51582059.05	67189560.0	85687834.5	
3276	542.2974625711765	4.8093805	0.0	0.0		0.0	0.0	0.0	
3277	547.2528759155936	4.8093805	0.0	0.0		0.0	0.0	0.0	
3278	461.2527104184978	4.8114147	550511.375	849685.8250000001		1101022.75	849685.8250000001	0.0	
3279	202.2154292100756	4.8288755	0.0	1696194.375		0.0	1696194.375	0.0	
3280	202.2169751202837	4.828126	2584571.125	1432098.075		2395411.3000000003	1432098.075	2773730.9499999997	
3281	660.3235734999631	4.85661	1748097.4125	1438190.125		2105070.175	1438190.125	1391124.65	
3282	768.414943357192	4.8536572	0.0	0.0		0.0	0.0	0.0	
3283	868.4177261358672	4.85373	4108811.3499999996	7423358.25		5444607.625	7423358.25	2773015.075	
3284	285.16997685678405	4.8550177	243185.1325	1296198.275		486370.265	1296198.275	0.0	
3285	729.3103959566176	4.8566313	367696.9	1891311.225		735393.8	1891311.225	0.0	
3286	493.2801615903372	4.857269	324035.8125	1181502.0		648071.625	1181502.0	0.0	
3287	511.2906806457945	4.8551717	648782.4875	2289079.55		1037950.55	2289079.55	259614.425	
3288	873.3732759316092	4.8551164	1006807.1875	1830020.225		1424678.15	1830020.225	588936.225	
3289	708.3807376385911	4.8570833	7302902.625	19081547.0		9637110.625	19081547.0	4968694.625	
3290	713.3364351693066	4.8575583	6633157.875	16423703.25		8601860.875	16423703.25	4664454.875	
3291	665.2789288695076	4.857574	2644022.3125	2063445.75		3221129.25	2063445.75	2066915.375	
3292	277.2166999439476	4.8613744	2770506.85	2492714.6500000004		3164351.8	2492714.6500000004	2376661.9	
3293	348.27500820955566	4.861381	9137916.4375	8213230.75		10427479.375	8213230.75	7848353.5	
3294	295.22738368550995	4.862336	3514902.8875	3185631.95		4060047.8499999996	3185631.95	2969757.9250000003	
3295	277.21462027580134	4.862411	0.0	1034292.25		0.0	1034292.25	0.0	
3296	295.2251118735519	4.862411	0.0	1369099.875		0.0	1369099.875	0.0	
3297	332.0949506717952	4.862411	0.0	507085.6		0.0	507085.6	0.0	
3298	348.2723747144269	4.862411	0.0	3150097.75		0.0	3150097.75	0.0	
3299	353.2276628805955	4.862411	0.0	5390437.0		0.0	5390437.0	0.0	
3300	353.2306378739788	4.8628187	11686395.9375	9838001.0		13410089.375	9838001.0	9962702.5	
3301	363.17813625050167	4.862394	1105755.4875	457096.4125		1214861.675	457096.4125	996649.3	
3302	173.11756377008638	4.866619	4242924.4625	3459557.75		4343805.375	3459557.75	4142043.55	
3303	155.10689919441205	4.866619	4548590.8625	3638765.45		4732473.85	3638765.45	4364707.875	
3304	346.2593906665628	4.866619	4159200.1625	3433645.175		4213236.325	3433645.175	4105164.0	
3305	276.0713626947613	4.866619	2245416.45	1793833.15		2202947.45	1793833.15	2287885.4499999997	
3306	311.222057983766	4.866619	2982736.2	2445825.8		3019219.75	2445825.8	2946252.65	
3307	275.2009648000727	4.867101	9241811.4375	7585384.75		9509530.375	7585384.75	8974092.5	
3308	293.2113915447443	4.867101	16109512.25	13001773.5		16636396.0	13001773.5	15582628.5	
3309	367.1880265464738	4.8675857	2506759.8	1890089.575		2583986.0500000003	1890089.575	2429533.55	
3310	351.2143944642463	4.867101	79462269.5	63704161.5		79224988.5	63704161.5	79699550.5	
3311	373.1965073662067	4.867101	2012279.6625	1484408.3		1980847.95	1484408.3	2043711.375	
3312	257.1902700845436	4.867582	2130989.6875	1647667.875		2210236.95	1647667.875	2051742.4249999998	
3313	155.10572466367364	4.870471	0.0	1244646.25		0.0	1244646.25	0.0	
3314	173.11625978273946	4.870471	0.0	1214369.875		0.0	1214369.875	0.0	
3315	275.1989132563972	4.870471	0.0	2650507.25		0.0	2650507.25	0.0	
3316	293.2092307442442	4.870471	0.0	4700201.5		0.0	4700201.5	0.0	
3317	311.2198106340112	4.870471	0.0	884182.5		0.0	884182.5	0.0	
3318	346.25686403413624	4.870471	0.0	1224000.75		0.0	1224000.75	0.0	
3319	351.21172391884994	4.870471	0.0	25885072.5		0.0	25885072.5	0.0	
3320	367.1867638027355	4.8675785	0.0	783078.8		0.0	783078.8	0.0	
3321	373.1936105629797	4.870471	0.0	661207.0		0.0	661207.0	0.0	
3322	355.1543834098209	4.8704453	1197235.875	1474874.125		1421072.375	1474874.125	973399.3749999999	
3323	162.99855887235157	4.875752	1794328.2625000002	1525028.125		1815555.9499999997	1525028.125	1773100.575	
3324	227.9832301650204	4.885532	591320.1575	707915.4		603626.84	707915.4	579013.475	
3325	139.982708994302	4.881343	1110996.7000000002	1076397.025		1211919.375	1076397.025	1010074.0249999999	
3326	398.34205726735615	4.87726	6184467.7125	4443744.425		5984437.05	4443744.425	6384498.375	
3327	211.1316232613582	4.8786087	0.0	908479.75		0.0	908479.75	0.0	
3328	291.193718868305	4.8786087	0.0	974514.625		0.0	974514.625	0.0	
3329	309.2040995960864	4.8786087	0.0	1136529.875		0.0	1136529.875	0.0	
3330	349.1965141136534	4.8786087	0.0	1685473.375		0.0	1685473.375	0.0	
3331	398.3394067424106	4.8786087	0.0	414141.75		0.0	414141.75	0.0	
3332	125.98660279257184	4.897056	824414.3975	764481.775		712965.335	764481.775	935863.46	
