CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
1	5	0.000	0.000	0.9935	0.9714	1
1	52	0.964	0.000	0.8590	0.6148	1
1	81	-48.973	0.000	0.7887	0.5377	1
1	156	-12.109	0.000	0.7187	0.7391	1
1	1011	-0.125	0.000	0.8313	0.7300	1
1	1323	-40.062	0.000	0.7967	0.6498	1
1	1443	-40.062	0.000	0.8069	0.6335	1
1	1514	-40.062	0.000	0.8020	0.6529	1
1	1944	-40.062	0.000	0.7836	0.6316	1
1	4781	-0.022	0.000	0.7846	0.6566	1
1	4856	1.994	0.000	0.7708	0.6566	1
1	4884	-0.022	0.000	0.7917	0.6566	1
1	5008	1.994	0.000	0.7322	0.6566	1
2	6	-0.000	0.000	0.9699	0.9059	1
2	14	-44.959	0.000	0.7606	0.5456	1
2	17	-76.909	0.000	0.7699	0.5773	1
2	20	-60.936	0.000	0.7315	0.5916	1
2	232	-5.015	0.000	0.7849	0.5821	1
2	275	-5.015	0.000	0.8279	0.6944	1
2	427	39.958	0.000	0.7084	0.4746	1
2	460	-0.000	0.000	0.9615	0.8582	1
2	461	-56.922	0.000	0.7690	0.5408	1
2	513	-0.000	0.000	0.9681	0.8867	1
2	574	-0.000	0.000	0.9222	0.8086	1
2	636	-0.000	0.000	0.9724	0.9059	1
2	753	-0.000	0.000	0.9462	0.8189	1
2	766	27.995	0.000	0.7184	0.4828	1
2	778	-56.922	0.000	0.7765	0.5123	1
2	779	51.011	0.000	0.7031	0.4534	1
2	784	27.995	0.000	0.7282	0.5219	1
2	848	51.011	0.000	0.7082	0.4534	1
2	885	-0.000	0.000	0.8049	0.6679	1
2	923	-0.000	0.000	0.7178	0.6127	1
2	952	-0.000	0.000	0.8796	0.7461	1
2	1068	-0.000	0.000	0.8428	0.7444	1
2	1133	-0.000	0.000	0.9245	0.7989	1
2	1139	27.995	0.000	0.7456	0.5803	1
2	1178	27.995	0.000	0.7084	0.4637	1
2	1184	-0.000	0.000	0.8095	0.6461	1
2	1258	27.995	0.000	0.7241	0.4637	1
2	1299	-0.000	0.000	0.9357	0.7832	1
2	1374	-0.000	0.000	0.9247	0.8075	1
2	1429	-56.922	0.000	0.7747	0.5511	1
2	1456	-0.000	0.000	0.7428	0.5610	1
2	1533	27.995	0.000	0.7203	0.4352	1
2	1552	-0.150	0.000	0.7511	0.5777	1
