CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
1019	1150	-0.104	0.000	0.7502	0.6787	1
1019	1161	-0.140	0.000	0.9413	0.8796	1
1019	1551	-0.000	0.000	0.8068	0.7496	1
1019	1687	41.026	0.000	0.7289	0.5913	1
1019	1817	0.891	0.000	0.7288	0.6348	1
1019	1971	-0.000	0.000	0.8939	0.8128	1
1019	2333	-0.000	0.000	0.8953	0.8329	1
1019	2624	41.027	0.000	0.7336	0.5913	1
1019	2715	41.027	0.000	0.7204	0.5913	1
1019	2773	-0.000	0.000	0.8862	0.8329	1
1019	2798	-0.177	0.000	0.8888	0.8329	1
1019	2860	0.000	0.000	0.8836	0.8329	1
1019	2882	30.010	0.000	0.7109	0.5797	1
1019	2883	-0.000	0.000	0.8883	0.8329	1
1019	3041	-0.000	0.000	0.8912	0.8329	1
1019	3070	30.010	0.000	0.7624	0.6871	1
1019	3107	41.026	0.000	0.7095	0.5913	1
1019	3231	30.010	0.000	0.7383	0.6424	1
1019	3238	30.010	0.000	0.7038	0.5797	1
1019	3239	-0.000	0.000	0.8912	0.8329	1
1019	3249	0.001	0.000	0.8885	0.8329	1
1019	3346	30.010	0.000	0.7426	0.6424	1
1019	3410	-0.000	0.000	0.8920	0.8329	1
1019	3420	30.010	0.000	0.7528	0.6871	1
1019	4036	-0.001	0.000	0.8861	0.8329	1
1019	4091	-0.001	0.000	0.8814	0.8329	1
1019	4291	-0.214	0.000	0.8795	0.8329	1
1019	4440	-0.000	0.000	0.8544	0.7882	1
1019	4472	-0.000	0.000	0.8505	0.7882	1
1020	1656	-12.037	0.000	0.7855	0.5804	1
1021	1023	-18.011	0.000	0.8281	0.7018	1
1021	1207	18.010	0.000	0.8173	0.6438	1
1021	1211	0.000	0.000	0.8676	0.7630	1
1023	1207	36.021	0.000	0.7788	0.5706	1
1023	1211	18.011	0.000	0.7298	0.5687	1
1024	1124	-2.016	0.000	0.9352	0.8778	1
1025	1429	-0.000	0.000	0.7773	0.4910	1
1026	1111	-0.000	0.000	0.7683	0.6809	1
1026	1789	-23.016	0.000	0.7707	0.7158	1
1029	1031	20.958	0.000	0.7267	0.6437	1
1029	1164	0.844	0.000	0.8907	0.8585	1
1029	1225	-0.177	0.000	0.8191	0.7153	1
1029	1238	-0.000	0.000	0.8869	0.7965	1
1029	1309	20.958	0.000	0.7382	0.6572	1
1029	1957	-0.000	0.000	0.8696	0.7755	1
1029	2097	8.995	0.000	0.7880	0.7074	1
1029	2331	0.844	0.000	0.7953	0.6419	1
1029	2347	-0.000	0.000	0.8820	0.8258	1
1029	2714	17.003	0.000	0.7316	0.6398	1
1029	2734	-0.000	0.000	0.9185	0.7838	1
1029	2924	-0.000	0.000	0.9195	0.7838	1
1029	3040	-0.000	0.000	0.9144	0.8258	1
1029	3203	0.001	0.000	0.9169	0.7838	1
1029	3242	-0.000	0.000	0.7920	0.7783	1
1029	3272	-0.177	0.000	0.7870	0.6871	1
1029	3361	-0.177	0.000	0.8151	0.7299	1
1029	3421	-0.000	0.000	0.9017	0.8258	1
1029	3485	-0.000	0.000	0.9061	0.8258	1
1029	3958	-0.001	0.000	0.8974	0.7838	1
1029	3987	-0.001	0.000	0.8885	0.7838	1
1029	4052	-0.001	0.000	0.8935	0.7838	1
1029	4171	-0.000	0.000	0.8759	0.7838	1
1029	4286	17.002	0.000	0.7752	0.6303	1
1029	4458	17.003	0.000	0.7633	0.6303	1
1031	1178	-11.963	0.000	0.7431	0.6776	1
1031	1238	-20.958	0.000	0.7160	0.6437	1
1031	1258	-11.963	0.000	0.7592	0.6979	1
1031	1305	-11.963	0.000	0.7167	0.6246	1
1031	1309	-0.000	0.000	0.9701	0.9325	1
1031	1957	-20.958	0.000	0.7159	0.6437	1
1031	2632	-66.921	0.000	0.7474	0.5021	1
1031	2699	-11.963	0.000	0.7252	0.6246	1
1031	2734	-20.958	0.000	0.7667	0.6437	1
1031	2924	-20.958	0.000	0.7609	0.6437	1
1031	3011	-39.957	0.000	0.7166	0.5257	1
1031	3040	-20.958	0.000	0.7275	0.6437	1
1031	3203	-20.957	0.000	0.7472	0.6437	1
1031	3237	-0.000	0.000	0.7726	0.6981	1
1031	3323	-11.963	0.000	0.7146	0.7460	1
1031	3341	-39.958	0.000	0.7138	0.5083	1
1031	3421	-20.958	0.000	0.7094	0.6437	1
1031	3448	-11.963	0.000	0.7086	0.6246	1
1031	3485	-20.958	0.000	0.7137	0.6437	1
1031	3532	-11.963	0.000	0.7209	0.7515	1
1031	3535	-0.000	0.000	0.7032	0.6907	1
1031	3537	-39.958	0.000	0.7114	0.4986	1
1031	3606	-11.963	0.000	0.7703	0.6979	1
1031	3669	-11.962	0.000	0.7672	0.6925	1
1031	3678	-11.963	0.000	0.7703	0.7192	1
1031	3741	-11.964	0.000	0.7660	0.6979	1
1031	3890	-11.964	0.000	0.7647	0.6771	1
1031	3922	-11.963	0.000	0.7572	0.6435	1
1031	3973	-11.964	0.000	0.7682	0.6928	1
1031	4033	-11.964	0.000	0.7784	0.6968	1
1031	4078	-11.964	0.000	0.7823	0.6979	1
1031	4207	-11.963	0.000	0.7971	0.7267	1
1031	4282	-39.958	0.000	0.7048	0.5111	1
1032	1033	-17.027	0.000	0.7044	0.5130	1
1032	1279	17.938	0.000	0.7912	0.7136	1
1032	1330	-14.016	0.000	0.8648	0.7565	1
1032	1434	-14.016	0.000	0.8552	0.7205	1
1032	1619	-0.036	0.000	0.7119	0.5364	1
1033	1330	3.011	0.000	0.7871	0.5281	1
1033	1331	-14.016	0.000	0.9706	0.8927	1
1033	1434	3.011	0.000	0.7880	0.6308	1
1033	1436	-14.016	0.000	0.8692	0.7480	1
1033	1889	-0.000	0.000	0.9458	0.8741	1
1034	1332	-0.000	0.000	0.9988	1.0000	1
1036	1116	17.974	0.000	0.8318	0.6793	1
1036	1120	18.011	0.000	0.8226	0.6793	1
1036	1148	18.011	0.000	0.7781	0.6432	1
1036	1315	18.011	0.000	0.7915	0.7169	1
1036	1349	-74.073	0.000	0.7302	0.5428	1
1036	1434	-14.052	0.000	0.7015	0.6867	1
1036	1442	27.959	0.000	0.7228	0.5838	1
1036	3453	3.886	0.000	0.7594	0.7750	1
1036	3455	3.887	0.000	0.7607	0.7750	1
1036	3828	-74.074	0.000	0.7194	0.5492	1
1036	3836	-74.075	0.000	0.7104	0.5433	1
1037	1057	0.041	0.000	0.8428	0.8031	1
1037	1116	-0.036	0.000	0.8197	0.7907	1
1037	1120	0.000	0.000	0.8375	0.8015	1
1037	1139	0.041	0.000	0.7204	0.5782	1
1037	1148	0.000	0.000	0.9106	0.8880	1
1037	1178	0.041	0.000	0.7228	0.5782	1
1037	1258	0.041	0.000	0.7142	0.5782	1
1037	1259	0.000	0.000	0.9882	0.9633	1
1037	1305	0.041	0.000	0.8624	0.8429	1
1037	1315	0.000	0.000	0.9074	0.8456	1
1037	1392	-0.073	0.000	0.7157	0.5682	1
1037	1446	0.041	0.000	0.7810	0.7649	1
1037	1533	0.041	0.000	0.7175	0.5810	1
1037	1962	0.041	0.000	0.7139	0.6233	1
1037	2149	-0.073	0.000	0.7532	0.7117	1
1037	2231	0.041	0.000	0.7366	0.6589	1
1037	2344	0.041	0.000	0.7839	0.7672	1
1037	2575	0.041	0.000	0.8251	0.8100	1
1037	2699	0.041	0.000	0.8385	0.8005	1
1037	2741	0.041	0.000	0.7211	0.6174	1
1037	2837	0.041	0.000	0.8234	0.7677	1
1037	2858	0.041	0.000	0.8174	0.7226	1
1037	3010	0.042	0.000	0.9109	0.9008	1
1037	3058	0.041	0.000	0.8394	0.7677	1
1037	3137	0.041	0.000	0.9005	0.8384	1
1037	3202	0.041	0.000	0.7970	0.7677	1
1037	3232	0.041	0.000	0.7823	0.7226	1
1037	3385	0.041	0.000	0.7730	0.7226	1
1037	3448	0.041	0.000	0.8082	0.8198	1
1037	3678	0.040	0.000	0.7209	0.6138	1
1037	3823	0.040	0.000	0.7931	0.7648	1
1037	3890	0.040	0.000	0.7046	0.5782	1
1037	3922	0.040	0.000	0.7096	0.6138	1
1037	4207	0.041	0.000	0.7096	0.6138	1
1038	2300	-18.097	0.000	0.8537	0.6130	1
1038	2726	-146.142	0.000	0.7148	0.3508	1
1038	2774	-32.111	0.000	0.8461	0.5881	1
1038	2897	-32.111	0.000	0.8133	0.5439	1
1039	1890	3.047	0.000	0.8665	0.7550	1
1040	1189	-0.116	0.000	0.8861	0.8319	1
1040	1541	-0.107	0.000	0.7067	0.5499	1
1041	1187	0.000	0.000	0.7163	0.6215	1
1041	1317	-0.000	0.000	0.9038	0.8216	1
1041	1319	18.010	0.000	0.8299	0.6803	1
1041	1393	-0.000	0.000	0.7880	0.7371	1
1041	1700	-28.032	0.000	0.7361	0.6202	1
1041	1928	-28.032	0.000	0.7221	0.6505	1
1041	2029	-28.032	0.000	0.7052	0.6275	1
1041	2250	-28.032	0.000	0.7299	0.6516	1
1042	1201	50.026	0.000	0.7410	0.6798	1
1045	1362	-14.016	0.000	0.7121	0.5577	1
1046	1084	12.000	0.000	0.8167	0.7064	1
1046	2325	-33.022	0.000	0.8138	0.6324	1
1048	1128	-21.984	0.000	0.8613	0.7909	1
1048	1131	-35.964	0.000	0.8370	0.6534	1
1048	1137	116.048	0.000	0.7717	0.5426	1
1048	1175	116.048	0.000	0.7786	0.5291	1
1048	1177	-51.958	0.000	0.7841	0.6320	1
1048	1227	-2.015	0.000	0.8521	0.6608	1
1048	1280	-2.015	0.000	0.8508	0.6339	1
1048	1391	-36.000	0.000	0.8621	0.7202	1
1048	1406	-168.042	0.000	0.7543	0.5643	1
1048	1418	-14.016	0.000	0.8786	0.7358	1
1048	1682	-16.031	0.000	0.8726	0.6273	1
1048	3034	-54.044	0.000	0.7008	0.5928	1
1048	3059	-58.078	0.000	0.8667	0.6595	1
1048	3758	-100.128	0.000	0.8548	0.6406	1
1048	3760	-100.129	0.000	0.8553	0.6534	1
1049	1140	-14.016	0.000	0.8936	0.7481	1
1049	1146	-30.010	0.000	0.9240	0.7669	1
1049	1303	-30.011	0.000	0.9021	0.6959	1
1049	1727	-4.947	0.000	0.8233	0.4835	1
1049	2408	-6.962	0.000	0.8317	0.5178	1
1050	1838	-0.130	0.000	0.8197	0.7660	1
1051	1126	306.095	0.000	0.7790	0.4079	1
1051	1159	162.053	0.000	0.9102	0.6365	1
1051	1262	306.095	0.000	0.7021	0.4160	1
1051	1480	-28.032	0.000	0.9321	0.7104	1
1051	1494	208.058	0.000	0.7801	0.4274	1
1051	1549	176.032	0.000	0.7549	0.4630	1
1051	1576	208.059	0.000	0.7857	0.4321	1
1051	1632	208.059	0.000	0.7908	0.4071	1
1051	1863	208.058	0.000	0.7721	0.4071	1
1051	1894	207.987	0.000	0.7158	0.4750	1
1051	1900	226.069	0.000	0.7242	0.4186	1
1051	2139	192.027	0.000	0.7537	0.4320	1
1052	1099	-0.000	0.000	0.9815	0.9286	1
1052	1142	0.000	0.000	0.9980	0.9812	1
1052	1180	-0.000	0.000	0.9876	0.9554	1
1052	1287	-0.000	0.000	0.9972	0.9812	1
1052	1292	-18.011	0.000	0.8940	0.6470	1
1052	1302	-30.011	0.000	0.8150	0.6447	1
1052	1473	-0.000	0.000	0.9757	0.8724	1
1052	1490	-30.011	0.000	0.7713	0.5984	1
1052	1624	-0.000	0.000	0.9777	0.8729	1
1052	1930	-29.027	0.000	0.8422	0.7310	1
1052	2290	-27.011	0.000	0.9031	0.6548	1
1052	2325	-19.042	0.000	0.8485	0.6284	1
1052	2438	-27.011	0.000	0.8942	0.6726	1
1052	2701	-57.021	0.000	0.8433	0.5558	1
1053	1327	30.010	0.000	0.7646	0.7743	1
1053	1399	49.979	0.000	0.7107	0.6597	1
1053	1454	49.980	0.000	0.8373	0.6621	1
1053	1515	15.995	0.000	0.7299	0.7141	1
1053	1572	15.995	0.000	0.8886	0.8427	1
1053	1616	37.979	0.000	0.8606	0.7538	1
