CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
6110	6155	0.957	0.000	0.7454	0.6775	1
6112	6143	28.033	0.000	0.7131	0.6579	1
6112	6627	16.001	0.000	0.7072	0.5945	1
6113	6129	2.016	0.000	0.9715	0.7567	1
6113	6133	-45.974	0.000	0.9341	0.5893	1
6113	6202	-26.908	0.000	0.7546	0.3604	1
6113	6204	-27.958	0.000	0.9025	0.5078	1
6113	6267	-55.989	0.000	0.9457	0.6669	1
6113	6310	-31.988	0.000	0.9423	0.6188	1
6113	6342	8.068	0.000	0.9630	0.7321	1
6113	6347	8.065	0.000	0.9632	0.7236	1
6113	6353	-26.013	0.000	0.9570	0.6975	1
6113	6354	-23.998	0.000	0.8822	0.4766	1
6113	6355	0.005	0.000	0.9700	0.7732	1
6113	6357	0.002	0.000	0.9751	0.7950	1
6113	6358	2.017	0.000	0.9644	0.7323	1
6113	6367	2.020	0.000	0.9595	0.7044	1
6113	6378	-37.978	0.000	0.9505	0.6822	1
6113	6382	1.142	0.000	0.9689	0.7567	1
6113	6389	-37.975	0.000	0.9570	0.7077	1
6113	6435	-29.974	0.000	0.9381	0.6473	1
6113	6460	-13.976	0.000	0.9579	0.7117	1
6113	6501	-26.884	0.000	0.8781	0.5339	1
6113	6526	2.021	0.000	0.9582	0.7042	1
6113	6532	0.006	0.000	0.9125	0.5191	1
6113	6535	2.022	0.000	0.9475	0.6726	1
6113	6591	-0.869	0.000	0.7952	0.3433	1
6114	6115	-0.004	0.000	0.8567	0.6285	1
6114	6120	23.994	0.000	0.8865	0.7320	1
6114	6121	23.999	0.000	0.8766	0.7250	1
6114	6122	-2.015	0.000	0.8106	0.5616	1
6114	6127	-13.982	0.000	0.7355	0.6264	1
6114	6143	24.025	0.000	0.7790	0.5776	1
6115	6120	23.998	0.000	0.8425	0.6249	1
6115	6121	24.002	0.000	0.8414	0.6402	1
6115	6122	-2.011	0.000	0.7828	0.5850	1
6115	6127	-13.978	0.000	0.7086	0.5726	1
6115	6143	24.028	0.000	0.7445	0.5713	1
6117	6118	-0.004	0.000	0.8039	0.4574	1
6117	6127	-8.009	0.000	0.7942	0.4852	1
6118	6127	-8.005	0.000	0.8606	0.5711	1
6120	6121	0.004	0.000	0.9107	0.7980	1
6120	6122	-26.009	0.000	0.8333	0.6244	1
6120	6127	-37.976	0.000	0.7221	0.5987	1
6120	6143	0.030	0.000	0.7705	0.6076	1
6121	6122	-26.013	0.000	0.8532	0.6617	1
6121	6127	-37.980	0.000	0.7106	0.6271	1
6121	6143	0.026	0.000	0.8496	0.6912	1
6122	6143	26.039	0.000	0.7879	0.6354	1
6124	6126	0.003	0.000	0.7642	0.6223	1
6124	6311	2.016	0.000	0.7643	0.5447	1
6124	6758	-50.080	0.000	0.7110	0.5035	1
6125	6426	15.996	0.000	0.7239	0.5632	1
