id,area,rt,mz_range:min,mz_range:max,fragment_scans,rt_range:min,rt_range:max,mz,intensity_range:min,intensity_range:max,height,charge,datafile:20250402_PMA_tp24_solanum_qc_01.mzML:feature_state,datafile:20250402_PMA_tp24_solanum_qc_01.mzML:area,datafile:20250402_PMA_tp24_solanum_qc_01.mzML:rt,datafile:20250402_PMA_tp24_solanum_qc_01.mzML:mz_range:min,datafile:20250402_PMA_tp24_solanum_qc_01.mzML:mz_range:max,datafile:20250402_PMA_tp24_solanum_qc_01.mzML:fragment_scans,datafile:20250402_PMA_tp24_solanum_qc_01.mzML:rt_ms2_apex_distance,datafile:20250402_PMA_tp24_solanum_qc_01.mzML:fwhm,datafile:20250402_PMA_tp24_solanum_qc_01.mzML:rt_range:min,datafile:20250402_PMA_tp24_solanum_qc_01.mzML:rt_range:max,datafile:20250402_PMA_tp24_solanum_qc_01.mzML:mz,datafile:20250402_PMA_tp24_solanum_qc_01.mzML:intensity_range:min,datafile:20250402_PMA_tp24_solanum_qc_01.mzML:intensity_range:max,datafile:20250402_PMA_tp24_solanum_qc_01.mzML:asymmetry_factor,datafile:20250402_PMA_tp24_solanum_qc_01.mzML:tailing_factor,datafile:20250402_PMA_tp24_solanum_qc_01.mzML:height,datafile:20250402_PMA_tp24_solanum_qc_01.mzML:charge,datafile:20250402_PMA_tp24_solanum_qc_01.mzML:isotopes
1,1.483E5,0.3462,129.13876,129.13896,1,0.3214,0.3936,129.13884,1.172E6,4.783E6,4.783E6,,DETECTED,1.483E5,0.3462,129.13876,129.13896,1,-0.0101,0.0497,0.3214,0.3936,129.13884,1.172E6,4.783E6,1.9116,1.4558,4.783E6,,
2,8.072E5,0.3462,146.16524,146.16563,1,0.3128,0.3936,146.16532,6.018E5,3.352E7,3.352E7,1,DETECTED,8.072E5,0.3462,146.16524,146.16563,1,-0.0124,0.0186,0.3128,0.3936,146.16532,6.018E5,3.352E7,1.4638,1.3551,3.352E7,1,2
4,7.679E4,0.3462,160.18089,160.18102,0,0.3214,0.3777,160.18095,7.713E5,2.968E6,2.968E6,,DETECTED,7.679E4,0.3462,160.18089,160.18102,,,0.0233,0.3214,0.3777,160.18095,7.713E5,2.968E6,1.2715,1.1358,2.968E6,,
5,1.366E5,0.362,139.01793,139.01833,0,0.3382,0.3936,139.01796,8.268E5,4.77E6,4.77E6,,DETECTED,1.366E5,0.362,139.01793,139.01833,,,0.0365,0.3382,0.3936,139.01796,8.268E5,4.77E6,1.0466,1.1673,4.77E6,,
6,1.213E5,0.362,141.05087,141.05107,0,0.3382,0.3936,141.05096,8.469E5,4.112E6,4.112E6,,DETECTED,1.213E5,0.362,141.05087,141.05107,,,0.0312,0.3382,0.3936,141.05096,8.469E5,4.112E6,1.3345,1.1673,4.112E6,,
7,1.51E5,0.362,146.02991,146.03009,0,0.3382,0.3936,146.02995,1.098E6,4.397E6,4.397E6,,DETECTED,1.51E5,0.362,146.02991,146.03009,,,0.0343,0.3382,0.3936,146.02995,1.098E6,4.397E6,1.3345,1.1673,4.397E6,,
9,3.05E5,0.362,156.01425,156.01453,0,0.3382,0.3936,156.0143,1.457E6,1.035E7,1.035E7,,DETECTED,3.05E5,0.362,156.01425,156.01453,,,0.0353,0.3382,0.3936,156.0143,1.457E6,1.035E7,1.0258,1.1673,1.035E7,,
10,6.403E5,0.362,169.04591,169.04614,1,0.3382,0.4016,169.04594,6.834E5,2.054E7,2.054E7,,DETECTED,6.403E5,0.362,169.04591,169.04614,1,0.0129,0.0329,0.3382,0.4016,169.04594,6.834E5,2.054E7,1.2123,1.1519,2.054E7,,
11,1.006E5,0.362,171.0434,171.04358,0,0.3382,0.3936,171.04344,6.544E5,3.334E6,3.334E6,,DETECTED,1.006E5,0.362,171.0434,171.04358,,,0.0301,0.3382,0.3936,171.04344,6.544E5,3.334E6,1.0656,1.1673,3.334E6,,
12,6.76E5,0.362,192.0618,192.06204,1,0.3299,0.4016,192.06187,5.533E5,1.996E7,1.996E7,,DETECTED,6.76E5,0.362,192.0618,192.06204,1,0.014,0.0338,0.3299,0.4016,192.06187,5.533E5,1.996E7,1.2934,1.1588,1.996E7,,
