id,area,rt,mz_range:min,mz_range:max,fragment_scans,rt_range:min,rt_range:max,mz,intensity_range:min,intensity_range:max,height,charge,datafile:20250402_PMA_tp24_solanum_qc_03.mzML:feature_state,datafile:20250402_PMA_tp24_solanum_qc_03.mzML:area,datafile:20250402_PMA_tp24_solanum_qc_03.mzML:rt,datafile:20250402_PMA_tp24_solanum_qc_03.mzML:mz_range:min,datafile:20250402_PMA_tp24_solanum_qc_03.mzML:mz_range:max,datafile:20250402_PMA_tp24_solanum_qc_03.mzML:fragment_scans,datafile:20250402_PMA_tp24_solanum_qc_03.mzML:rt_ms2_apex_distance,datafile:20250402_PMA_tp24_solanum_qc_03.mzML:fwhm,datafile:20250402_PMA_tp24_solanum_qc_03.mzML:rt_range:min,datafile:20250402_PMA_tp24_solanum_qc_03.mzML:rt_range:max,datafile:20250402_PMA_tp24_solanum_qc_03.mzML:mz,datafile:20250402_PMA_tp24_solanum_qc_03.mzML:intensity_range:min,datafile:20250402_PMA_tp24_solanum_qc_03.mzML:intensity_range:max,datafile:20250402_PMA_tp24_solanum_qc_03.mzML:asymmetry_factor,datafile:20250402_PMA_tp24_solanum_qc_03.mzML:tailing_factor,datafile:20250402_PMA_tp24_solanum_qc_03.mzML:height,datafile:20250402_PMA_tp24_solanum_qc_03.mzML:charge,datafile:20250402_PMA_tp24_solanum_qc_03.mzML:isotopes
1,1.441E5,0.3422,129.13884,129.13901,1,0.3255,0.3976,129.1389,5.249E5,4.633E6,4.633E6,,DETECTED,1.441E5,0.3422,129.13884,129.13901,1,-0.0042,0.0272,0.3255,0.3976,129.1389,5.249E5,4.633E6,2.9284,2.1594,4.633E6,,
2,9.056E5,0.3422,146.16531,146.16556,1,0.3168,0.3976,146.16537,8.03E5,3.312E7,3.312E7,,DETECTED,9.056E5,0.3422,146.16531,146.16556,1,-0.0128,0.0228,0.3168,0.3976,146.16537,8.03E5,3.312E7,2.373,1.7425,3.312E7,,
3,8.933E4,0.3422,160.18085,160.18105,1,0.3255,0.3817,160.18095,7.591E5,3.048E6,3.048E6,,DETECTED,8.933E4,0.3422,160.18085,160.18105,1,-0.0019,0.0302,0.3255,0.3817,160.18095,7.591E5,3.048E6,2.3661,1.6831,3.048E6,,
4,1.434E5,0.358,197.04094,197.04111,0,0.3341,0.3896,197.04103,5.791E5,4.842E6,4.842E6,,DETECTED,1.434E5,0.358,197.04094,197.04111,,,0.0299,0.3341,0.3896,197.04103,5.791E5,4.842E6,1.9536,1.1628,4.842E6,,
5,9.21E4,0.358,304.96921,304.97003,0,0.3341,0.3896,304.96957,6.619E5,3.339E6,3.339E6,,DETECTED,9.21E4,0.358,304.96921,304.97003,,,0.0333,0.3341,0.3896,304.96957,6.619E5,3.339E6,1.7819,1.1628,3.339E6,,
6,1.567E6,0.3659,123.04057,123.04076,1,0.3341,0.4056,123.04061,7.12E5,5.778E7,5.778E7,,DETECTED,1.567E6,0.3659,123.04057,123.04076,1,-0.004,0.0266,0.3341,0.4056,123.04061,7.12E5,5.778E7,0.9613,0.9896,5.778E7,,
7,2.909E5,0.3659,125.03812,125.03821,0,0.3341,0.3896,125.03816,8.432E5,1.122E7,1.122E7,,DETECTED,2.909E5,0.3659,125.03812,125.03821,,,0.0257,0.3341,0.3896,125.03816,8.432E5,1.122E7,1.0304,0.9886,1.122E7,,
8,2.482E6,0.3659,125.98646,125.98663,9,0.0028,0.3976,125.98651,7.178E5,7.144E7,7.144E7,,DETECTED,2.482E6,0.3659,125.98646,125.98663,9,-0.347,0.0264,0.0028,0.3976,125.98651,7.178E5,7.144E7,0.9461,0.5255,7.144E7,,
9,2.627E6,0.3659,128.01949,128.01971,1,0.3341,0.4136,128.01951,7.169E5,9.469E7,9.469E7,,DETECTED,2.627E6,0.3659,128.01949,128.01971,1,-0.0175,0.0273,0.3341,0.4136,128.01951,7.169E5,9.469E7,0.9582,0.9859,9.469E7,,
10,3.521E5,0.3659,129.02007,129.02025,0,0.3341,0.3976,129.02009,5.501E5,1.324E7,1.324E7,,DETECTED,3.521E5,0.3659,129.02007,129.02025,,,0.0264,0.3341,0.3976,129.02009,5.501E5,1.324E7,0.943,0.9797,1.324E7,,
