id,area,rt,mz_range:min,mz_range:max,fragment_scans,rt_range:min,rt_range:max,mz,intensity_range:min,intensity_range:max,height,charge,datafile:20250402_PMA_tp24_solanum_qc_05.mzML:feature_state,datafile:20250402_PMA_tp24_solanum_qc_05.mzML:area,datafile:20250402_PMA_tp24_solanum_qc_05.mzML:rt,datafile:20250402_PMA_tp24_solanum_qc_05.mzML:mz_range:min,datafile:20250402_PMA_tp24_solanum_qc_05.mzML:mz_range:max,datafile:20250402_PMA_tp24_solanum_qc_05.mzML:fragment_scans,datafile:20250402_PMA_tp24_solanum_qc_05.mzML:rt_ms2_apex_distance,datafile:20250402_PMA_tp24_solanum_qc_05.mzML:fwhm,datafile:20250402_PMA_tp24_solanum_qc_05.mzML:rt_range:min,datafile:20250402_PMA_tp24_solanum_qc_05.mzML:rt_range:max,datafile:20250402_PMA_tp24_solanum_qc_05.mzML:mz,datafile:20250402_PMA_tp24_solanum_qc_05.mzML:intensity_range:min,datafile:20250402_PMA_tp24_solanum_qc_05.mzML:intensity_range:max,datafile:20250402_PMA_tp24_solanum_qc_05.mzML:asymmetry_factor,datafile:20250402_PMA_tp24_solanum_qc_05.mzML:tailing_factor,datafile:20250402_PMA_tp24_solanum_qc_05.mzML:height,datafile:20250402_PMA_tp24_solanum_qc_05.mzML:charge,datafile:20250402_PMA_tp24_solanum_qc_05.mzML:isotopes
1,1.596E5,0.3445,129.13873,129.13899,1,0.319,0.3919,129.13887,5.633E5,5.252E6,5.252E6,,DETECTED,1.596E5,0.3445,129.13873,129.13899,1,-0.0042,0.0251,0.319,0.3919,129.13887,5.633E5,5.252E6,3.0234,1.4327,5.252E6,,
2,1.081E6,0.3445,146.16531,146.16571,1,0.319,0.3999,146.16536,8.06E5,4.031E7,4.031E7,,DETECTED,1.081E6,0.3445,146.16531,146.16571,1,-0.0128,0.0218,0.319,0.3999,146.16536,8.06E5,4.031E7,2.0988,1.3577,4.031E7,,
3,1.113E5,0.3445,160.18088,160.18121,1,0.3278,0.3919,160.18101,5.161E5,3.796E6,3.796E6,,DETECTED,1.113E5,0.3445,160.18088,160.18121,1,-0.0019,0.0264,0.3278,0.3919,160.18101,5.161E5,3.796E6,3.7954,1.9255,3.796E6,,
4,1.199E5,0.3603,258.96378,258.96414,0,0.3364,0.3919,258.96391,7.613E5,3.666E6,3.666E6,,DETECTED,1.199E5,0.3603,258.96378,258.96414,,,0.0357,0.3364,0.3919,258.96391,7.613E5,3.666E6,1.3269,1.1635,3.666E6,,
5,8.406E4,0.3603,327.98459,327.98553,0,0.3364,0.3919,327.985,6.313E5,2.497E6,2.497E6,,DETECTED,8.406E4,0.3603,327.98459,327.98553,,,0.0352,0.3364,0.3919,327.985,6.313E5,2.497E6,1.3269,1.1635,2.497E6,,
6,6.116E4,0.3603,355.97952,355.98029,0,0.3364,0.3919,355.97983,5.126E5,1.654E6,1.654E6,,DETECTED,6.116E4,0.3603,355.97952,355.98029,,,0.0365,0.3364,0.3919,355.97983,5.126E5,1.654E6,1.3269,1.1635,1.654E6,,
7,1.365E6,0.3682,123.0406,123.0407,1,0.3364,0.3999,123.04062,2.56E6,5.061E7,5.061E7,,DETECTED,1.365E6,0.3682,123.0406,123.0407,1,-0.0096,0.0264,0.3364,0.3999,123.04062,2.56E6,5.061E7,0.9838,0.9959,5.061E7,,
8,2.743E5,0.3682,125.03814,125.03838,0,0.3364,0.3999,125.03816,5.064E5,1.033E7,1.033E7,,DETECTED,2.743E5,0.3682,125.03814,125.03838,,,0.0261,0.3364,0.3999,125.03816,5.064E5,1.033E7,0.9779,0.9932,1.033E7,,
9,2.366E6,0.3682,125.98648,125.98662,9,0.0028,0.3999,125.98651,5.566E5,6.589E7,6.589E7,,DETECTED,2.366E6,0.3682,125.98648,125.98662,9,-0.3491,0.0272,0.0028,0.3999,125.98651,5.566E5,6.589E7,0.9489,0.535,6.589E7,,
10,2.276E6,0.3682,128.0195,128.01976,1,0.3364,0.4159,128.01953,6.002E5,8.105E7,8.105E7,,DETECTED,2.276E6,0.3682,128.0195,128.01976,1,-0.0175,0.0276,0.3364,0.4159,128.01953,6.002E5,8.105E7,0.9627,0.9868,8.105E7,,
11,3.081E5,0.3682,129.0201,129.02026,0,0.3364,0.3999,129.02012,5.868E5,1.119E7,1.119E7,,DETECTED,3.081E5,0.3682,129.0201,129.02026,,,0.0279,0.3364,0.3999,129.02012,5.868E5,1.119E7,0.96,0.9886,1.119E7,,
12,4.499E5,0.3682,130.01704,130.01723,0,0.3364,0.3999,130.01706,9.277E5,1.606E7,1.606E7,,DETECTED,4.499E5,0.3682,130.01704,130.01723,,,0.0279,0.3364,0.3999,130.01706,9.277E5,1.606E7,0.9675,0.9903,1.606E7,,
13,3.34E5,0.3682,143.99698,143.99721,0,0.3364,0.3999,143.99705,8.604E5,1.088E7,1.088E7,,DETECTED,3.34E5,0.3682,143.99698,143.99721,,,0.0298,0.3364,0.3999,143.99705,8.604E5,1.088E7,0.9527,0.8851,1.088E7,,
14,2.725E7,0.3682,151.0352,151.0358,2,0.3278,0.4716,151.03542,5.091E5,9.136E8,9.136E8,,DETECTED,2.725E7,0.3682,151.0352,151.0358,2,-0.0267,0.029,0.3278,0.4716,151.03542,5.091E5,9.136E8,0.9702,0.9367,9.136E8,,
15,1.722E5,0.3682,151.04497,151.04514,0,0.3364,0.3999,151.04501,5.014E5,6.117E6,6.117E6,,DETECTED,1.722E5,0.3682,151.04497,151.04514,,-0.0267,0.0306,0.3364,0.3999,151.04501,5.014E5,6.117E6,0.9983,1.0045,6.117E6,,
16,4.151E6,0.3682,152.03557,152.03679,0,0.3364,0.4239,152.03671,6.624E5,1.392E8,1.392E8,,DETECTED,4.151E6,0.3682,152.03557,152.03679,,,0.0293,0.3364,0.4239,152.03671,6.624E5,1.392E8,0.9688,0.9895,1.392E8,,
17,4.319E6,0.3682,153.0329,153.0334,0,0.3364,0.4239,153.03293,9.873E5,1.469E8,1.469E8,1,DETECTED,4.319E6,0.3682,153.0329,153.0334,,,0.0289,0.3364,0.4239,153.03293,9.873E5,1.469E8,0.9649,0.986,1.469E8,1,2
18,2.385E5,0.3682,153.03893,153.03957,0,0.3364,0.3999,153.03898,5.86E5,8.304E6,8.304E6,,DETECTED,2.385E5,0.3682,153.03893,153.03957,,,0.0286,0.3364,0.3999,153.03898,5.86E5,8.304E6,0.9743,0.9949,8.304E6,,
20,5.569E5,0.3682,169.04599,169.04613,1,0.3364,0.3999,169.04602,1.691E6,1.802E7,1.802E7,,DETECTED,5.569E5,0.3682,169.04599,169.04613,1,0.005,0.0305,0.3364,0.3999,169.04602,1.691E6,1.802E7,0.9729,0.8921,1.802E7,,
21,1.74E5,0.3682,181.98824,181.98856,0,0.3364,0.3919,181.98834,6.368E5,6.102E6,6.102E6,,DETECTED,1.74E5,0.3682,181.98824,181.98856,,,0.0288,0.3364,0.3919,181.98834,6.368E5,6.102E6,0.9993,0.8745,6.102E6,,
22,3.906E5,0.3682,182.96222,182.96228,1,0.3364,0.3919,182.96227,7.054E5,1.572E7,1.572E7,,DETECTED,3.906E5,0.3682,182.96222,182.96228,1,0.0107,0.0246,0.3364,0.3919,182.96227,7.054E5,1.572E7,1.0649,1.0046,1.572E7,,
23,1.215E6,0.3682,200.97252,200.97322,1,0.3364,0.3919,200.97313,2.107E6,5.139E7,5.139E7,,DETECTED,1.215E6,0.3682,200.97252,200.97322,1,-0.004,0.0289,0.3364,0.3919,200.97313,2.107E6,5.139E7,1.077,1.0072,5.139E7,,
24,3.143E5,0.3682,202.97037,202.97066,0,0.3364,0.3919,202.97055,5.828E5,1.221E7,1.221E7,,DETECTED,3.143E5,0.3682,202.97037,202.97066,,,0.0251,0.3364,0.3919,202.97055,5.828E5,1.221E7,1.0621,1.0031,1.221E7,,
25,2.308E5,0.3682,214.00352,214.00504,0,0.3364,0.3919,214.00486,6.529E5,9.051E6,9.051E6,,DETECTED,2.308E5,0.3682,214.00352,214.00504,,,0.0257,0.3364,0.3919,214.00486,6.529E5,9.051E6,1.0311,0.9915,9.051E6,,
26,7.551E5,0.3682,216.95084,216.95096,1,0.3364,0.3919,216.95089,1.657E6,2.937E7,2.937E7,,DETECTED,7.551E5,0.3682,216.95084,216.95096,1,0.0028,0.0258,0.3364,0.3919,216.95089,1.657E6,2.937E7,1.0468,0.9989,2.937E7,,
27,2.829E6,0.3682,218.98296,218.98404,1,0.3364,0.3999,218.98381,1.06E6,1.108E8,1.108E8,,DETECTED,2.829E6,0.3682,218.98296,218.98404,1,-0.013,0.0255,0.3364,0.3999,218.98381,1.06E6,1.108E8,0.919,0.9706,1.108E8,,
28,7.135E5,0.3682,219.98457,219.98479,0,0.3364,0.3919,219.98466,1.684E6,2.809E7,2.809E7,,DETECTED,7.135E5,0.3682,219.98457,219.98479,,,0.0254,0.3364,0.3919,219.98466,1.684E6,2.809E7,1.0443,0.9971,2.809E7,,
29,7.622E5,0.3682,220.98117,220.98132,0,0.3364,0.3919,220.98121,1.873E6,2.89E7,2.89E7,,DETECTED,7.622E5,0.3682,220.98117,220.98132,,,0.0265,0.3364,0.3919,220.98121,1.873E6,2.89E7,1.037,0.9952,2.89E7,,
30,3.919E6,0.3682,223.98906,223.98951,1,0.3364,0.3919,223.9891,9.973E5,1.589E8,1.589E8,,DETECTED,3.919E6,0.3682,223.98906,223.98951,1,-0.0141,0.0244,0.3364,0.3919,223.9891,9.973E5,1.589E8,1.0682,1.0047,1.589E8,,
31,1.054E6,0.3682,224.98916,224.99022,0,0.3364,0.3919,224.99014,1.727E6,4.226E7,4.226E7,,DETECTED,1.054E6,0.3682,224.98916,224.99022,,,0.0247,0.3364,0.3919,224.99014,1.727E6,4.226E7,1.072,1.0069,4.226E7,,
32,1.039E6,0.3682,225.98642,225.98657,0,0.3364,0.3919,225.98645,1.888E6,4.21E7,4.21E7,,DETECTED,1.039E6,0.3682,225.98642,225.98657,,,0.0245,0.3364,0.3919,225.98645,1.888E6,4.21E7,1.067,1.0047,4.21E7,,
33,2.777E5,0.3682,234.96132,234.96164,0,0.3364,0.3919,234.96146,7.49E5,9.967E6,9.967E6,,DETECTED,2.777E5,0.3682,234.96132,234.96164,,,0.0274,0.3364,0.3919,234.96146,7.49E5,9.967E6,1.0293,0.9896,9.967E6,,
34,2.476E5,0.3682,237.02075,237.02098,0,0.3364,0.3919,237.02089,6.697E5,9.473E6,9.473E6,,DETECTED,2.476E5,0.3682,237.02075,237.02098,,,0.0263,0.3364,0.3919,237.02089,6.697E5,9.473E6,1.0326,0.9922,9.473E6,,
35,1.933E6,0.3682,239.96666,239.96684,1,0.3364,0.3999,239.96672,7.788E5,7.486E7,7.486E7,,DETECTED,1.933E6,0.3682,239.96666,239.96684,1,-0.0119,0.0253,0.3364,0.3999,239.96672,7.788E5,7.486E7,0.9313,0.9708,7.486E7,,
36,2.044E5,0.3682,240.95317,240.95346,0,0.3364,0.3919,240.95331,1.02E6,7.443E6,7.443E6,,DETECTED,2.044E5,0.3682,240.95317,240.95346,,,0.0309,0.3364,0.3919,240.95331,1.02E6,7.443E6,0.9752,0.8745,7.443E6,,
