id,area,rt,mz_range:min,mz_range:max,rt_range:min,rt_range:max,mz,intensity_range:min,intensity_range:max,height,fragment_scans,charge,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:feature_state,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:area,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:rt,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:mz_range:min,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:mz_range:max,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:fwhm,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:rt_range:min,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:rt_range:max,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:mz,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:intensity_range:min,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:intensity_range:max,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:asymmetry_factor,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:tailing_factor,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:height,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:fragment_scans,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:rt_ms2_apex_distance,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:charge,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:isotopes
17,1.016E5,0.4565,224.89894,224.89917,0.3877,0.4735,224.89903,8.319E5,1.839E6,1.839E6,2,,DETECTED,1.016E5,0.4565,224.89894,224.89917,0.0649,0.3877,0.4735,224.89903,8.319E5,1.839E6,0.2474,0.6237,1.839E6,2,-0.038,,
18,1.181E6,0.4565,267.9017,267.90213,0.3877,1.4196,267.90188,6.591E5,1.446E6,1.446E6,24,,DETECTED,1.181E6,0.4565,267.9017,267.90213,0.9051,0.3877,1.4196,267.90188,6.591E5,1.446E6,13.9963,7.4982,1.446E6,24,-0.0369,,
19,8.408E5,0.4819,172.97722,172.97745,0.4565,0.6866,172.97728,5.368E5,8.574E6,8.574E6,4,,DETECTED,8.408E5,0.4819,172.97722,172.97745,0.0853,0.4565,0.6866,172.97728,5.368E5,8.574E6,6.3371,5.3048,8.574E6,4,-0.0107,,
20,5.151E5,0.4819,196.00854,196.00867,0.4565,0.6352,196.00861,5.185E5,5.803E6,5.803E6,4,,DETECTED,5.151E5,0.4819,196.00854,196.00867,0.0876,0.4565,0.6352,196.00861,5.185E5,5.803E6,5.349,3.9679,5.803E6,4,-0.0023,,
21,1.314E5,0.4819,257.89362,257.89377,0.4565,0.6095,257.89371,5.683E5,1.207E6,1.207E6,2,,DETECTED,1.314E5,0.4819,257.89362,257.89377,0.1314,0.4565,0.6095,257.89371,5.683E5,1.207E6,5.0133,3.0066,1.207E6,2,0.023,,
22,1.544E6,0.4903,168.01344,168.01378,0.4565,0.661,168.01373,5.976E5,1.641E7,1.641E7,4,,DETECTED,1.544E6,0.4903,168.01344,168.01378,0.0851,0.4565,0.661,168.01373,5.976E5,1.641E7,3.721,2.7134,1.641E7,4,-0.0202,,
23,3.433E5,0.4903,214.00352,214.00377,0.4565,0.6266,214.00364,5.165E5,3.808E6,3.808E6,3,,DETECTED,3.433E5,0.4903,214.00352,214.00377,0.085,0.4565,0.6266,214.00364,5.165E5,3.808E6,4.1217,2.5153,3.808E6,3,-0.0056,,
24,5.349E4,0.4988,180.03407,180.03421,0.465,0.5325,180.03414,5.311E5,1.124E6,1.124E6,1,,DETECTED,5.349E4,0.4988,180.03407,180.03421,0.0515,0.465,0.5325,180.03414,5.311E5,1.124E6,0.9997,0.9998,1.124E6,1,0.0039,,
25,6.523E5,0.4988,182.02924,182.02939,0.465,0.5923,182.02933,5.369E5,1.094E7,1.094E7,3,,DETECTED,6.523E5,0.4988,182.02924,182.02939,0.0539,0.465,0.5923,182.02933,5.369E5,1.094E7,2.1315,1.7564,1.094E7,3,-0.0203,,
26,6.51E4,0.4988,245.99089,245.99101,0.465,0.5495,245.99093,6.047E5,1.097E6,1.097E6,1,,DETECTED,6.51E4,0.4988,245.99089,245.99101,0.1589,0.465,0.5495,245.99093,6.047E5,1.097E6,1.5033,1.2517,1.097E6,1,0.005,,
27,7.426E4,0.4988,266.94595,266.9462,0.465,0.5495,266.94604,5.703E5,1.266E6,1.266E6,1,,DETECTED,7.426E4,0.4988,266.94595,266.9462,0.0599,0.465,0.5495,266.94604,5.703E5,1.266E6,1.5033,1.2517,1.266E6,1,-0.0023,,
28,7.58E6,0.6781,158.96149,158.96165,0.4988,1.2977,158.96156,4.58E6,1.181E7,1.181E7,19,,DETECTED,7.58E6,0.6781,158.96149,158.96165,0.7351,0.4988,1.2977,158.96156,4.58E6,1.181E7,3.4567,2.2283,1.181E7,19,-0.1586,,
29,7.651E5,0.6781,236.93863,236.9389,0.5072,1.2977,236.93876,5.439E5,1.187E6,1.187E6,15,,DETECTED,7.651E5,0.6781,236.93863,236.9389,0.7775,0.5072,1.2977,236.93876,5.439E5,1.187E6,3.6259,2.313,1.187E6,15,-0.0903,,
30,9.163E5,0.8153,130.96655,130.96669,0.4988,1.2977,130.96663,6.135E5,1.434E6,1.434E6,17,,DETECTED,9.163E5,0.8153,130.96655,130.96669,0.7792,0.4988,1.2977,130.96663,6.135E5,1.434E6,1.524,1.262,1.434E6,17,-0.2253,,
31,7.919E5,0.8153,137.98721,137.98737,0.5752,1.0991,137.98728,9.608E5,1.972E6,1.972E6,10,,DETECTED,7.919E5,0.8153,137.98721,137.98737,0.5084,0.5752,1.0991,137.98728,9.608E5,1.972E6,1.1817,1.0909,1.972E6,10,-0.1848,,
32,5.427E6,0.8153,139.98235,139.98254,0.4988,1.0903,139.98248,3.499E6,1.362E7,1.362E7,18,,DETECTED,5.427E6,0.8153,139.98235,139.98254,0.2446,0.4988,1.0903,139.98248,3.499E6,1.362E7,0.8688,0.9344,1.362E7,18,-0.2896,,
33,1.886E5,0.8153,141.97908,141.97923,0.618,0.8582,141.97915,5.411E5,1.093E6,1.093E6,0,,DETECTED,1.886E5,0.8153,141.97908,141.97923,0.2336,0.618,0.8582,141.97915,5.411E5,1.093E6,0.2176,0.6088,1.093E6,,,,
34,5.649E5,0.8153,217.95967,217.95987,0.5666,1.0903,217.95976,5.328E5,1.433E6,1.433E6,10,,DETECTED,5.649E5,0.8153,217.95967,217.95987,0.3132,0.5666,1.0903,217.95976,5.328E5,1.433E6,1.1058,1.0529,1.433E6,10,-0.1654,,
35,8.599E5,0.8153,224.89883,224.89908,0.5581,1.2977,224.89897,5.205E5,1.54E6,1.54E6,15,,DETECTED,8.599E5,0.8153,224.89883,224.89908,0.6583,0.5581,1.2977,224.89897,5.205E5,1.54E6,1.8752,1.4376,1.54E6,15,-0.2083,,
36,1.007E6,0.9958,176.97205,176.97227,0.4988,1.2456,176.97215,5.692E5,1.64E6,1.64E6,16,,DETECTED,1.007E6,0.9958,176.97205,176.97227,0.7331,0.4988,1.2456,176.97215,5.692E5,1.64E6,0.5026,0.7513,1.64E6,16,-0.423,,
37,4.826E5,1.013,138.98619,138.98634,0.5838,1.0903,138.98627,5.283E5,1.267E6,1.267E6,0,,DETECTED,4.826E5,1.013,138.98619,138.98634,0.4658,0.5838,1.0903,138.98627,5.283E5,1.267E6,0.1802,0.5901,1.267E6,,,,
38,1.508E5,1.013,167.97723,167.97748,0.8582,1.0903,167.97736,5.055E5,9.447E5,9.447E5,0,,DETECTED,1.508E5,1.013,167.97723,167.97748,0.1259,0.8582,1.0903,167.97736,5.055E5,9.447E5,0.4999,0.75,9.447E5,,,,
39,1.049E6,1.013,186.95638,186.95657,0.5241,1.2977,186.95646,6.058E5,1.743E6,1.743E6,17,,DETECTED,1.049E6,1.013,186.95638,186.95657,0.7343,0.5241,1.2977,186.95646,6.058E5,1.743E6,0.5824,0.7912,1.743E6,17,-0.4316,,
40,2.73E5,1.159,182.02931,182.02943,1.1249,1.2543,182.02935,6.158E5,4.54E6,4.54E6,3,,DETECTED,2.73E5,1.159,182.02931,182.02943,0.0664,1.1249,1.2543,182.02935,6.158E5,4.54E6,2.7431,1.8946,4.54E6,3,-0.0205,,
41,8.97E4,1.159,210.02411,210.02429,1.1249,1.2282,210.0242,5.326E5,1.553E6,1.553E6,2,,DETECTED,8.97E4,1.159,210.02411,210.02429,0.0663,1.1249,1.2282,210.0242,5.326E5,1.553E6,2.0235,1.5118,1.553E6,2,-0.0131,,
42,4.67E5,1.3236,139.98236,139.98248,1.2977,1.3672,139.98243,4.008E6,9.069E6,9.069E6,4,,DETECTED,4.67E5,1.3236,139.98236,139.98248,0.0551,1.2977,1.3672,139.98243,4.008E6,9.069E6,1.6817,1.3409,9.069E6,4,-0.0243,,
43,9.802E5,1.5241,139.98233,139.98251,1.4893,1.6724,139.98244,2.912E6,8.493E6,8.493E6,8,,DETECTED,9.802E5,1.5241,139.98233,139.98251,0.1687,1.4893,1.6724,139.98244,2.912E6,8.493E6,4.2709,2.6355,8.493E6,8,-0.007,,
44,1.473E6,1.5241,247.91479,247.91513,0.6095,1.9889,247.91494,5.582E5,1.294E6,1.294E6,30,,DETECTED,1.473E6,1.5241,247.91479,247.91513,1.3528,0.6095,1.9889,247.91494,5.582E5,1.294E6,0.5082,0.7541,1.294E6,30,-0.8655,,
45,2.214E5,1.7161,139.98235,139.9825,1.6724,1.7249,139.98243,2.709E6,6.404E6,6.404E6,2,,DETECTED,2.214E5,1.7161,139.98235,139.9825,0.1338,1.6724,1.7249,139.98243,2.709E6,6.404E6,0.2017,0.6009,6.404E6,2,-0.0245,,
46,1.003E6,1.8123,139.98235,139.98253,1.7249,1.9617,139.98246,2.137E6,5.617E6,5.617E6,11,,DETECTED,1.003E6,1.8123,139.98235,139.98253,0.2124,1.7249,1.9617,139.98246,2.137E6,5.617E6,1.7083,1.3542,5.617E6,11,-0.0771,,
47,1.573E5,1.8475,239.14883,239.149,1.8036,1.8827,239.14891,9.272E5,3.961E6,3.961E6,2,,DETECTED,1.573E5,1.8475,239.14883,239.149,0.0297,1.8036,1.8827,239.14891,9.272E5,3.961E6,0.8017,0.9009,3.961E6,2,-0.0301,,
48,5.203E4,1.8475,256.17542,256.17554,1.8123,1.8739,256.17547,5.143E5,1.699E6,1.699E6,1,,DETECTED,5.203E4,1.8475,256.17542,256.17554,0.0269,1.8123,1.8739,256.17547,5.143E5,1.699E6,0.7511,0.8755,1.699E6,1,-0.0038,,
49,1.963E5,2.0773,283.17508,283.1756,2.0159,2.1125,283.17513,7.782E5,4.253E6,4.253E6,2,,DETECTED,1.963E5,2.0773,283.17508,283.1756,0.0369,2.0159,2.1125,283.17513,7.782E5,4.253E6,0.4975,0.7869,4.253E6,2,-0.0463,,
50,2.45E5,2.0773,300.20169,300.20184,2.0159,2.1212,300.20176,5.736E5,5.318E6,5.318E6,2,,DETECTED,2.45E5,2.0773,300.20169,300.20184,0.036,2.0159,2.1212,300.20176,5.736E5,5.318E6,0.5908,0.8583,5.318E6,2,-0.0485,,
51,1.187E5,2.201,286.21252,286.21268,2.1566,2.2364,286.21259,7.843E5,2.389E6,2.389E6,2,,DETECTED,1.187E5,2.201,286.21252,286.21268,0.0506,2.1566,2.2364,286.21259,7.843E5,2.389E6,0.7997,0.8998,2.389E6,2,-0.0315,,
