id,area,rt,mz_range:min,mz_range:max,fragment_scans,rt_range:min,rt_range:max,mz,intensity_range:min,intensity_range:max,height,charge,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:feature_state,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:area,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:rt,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:mz_range:min,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:mz_range:max,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:fragment_scans,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:rt_ms2_apex_distance,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:fwhm,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:rt_range:min,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:rt_range:max,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:mz,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:intensity_range:min,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:intensity_range:max,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:asymmetry_factor,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:tailing_factor,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:height,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:charge,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:isotopes
833,3.34E5,11.4996,681.41858,681.42059,0,11.42,11.6517,681.41982,5.488E5,2.449E6,2.449E6,1,DETECTED,3.34E5,11.4996,681.41858,681.42059,,,0.1467,11.42,11.6517,681.41982,5.488E5,2.449E6,1.9103,1.4551,2.449E6,1,2
834,5.565E5,11.5076,167.09274,167.093,0,11.1961,11.5315,167.09289,8.568E5,2.211E6,2.211E6,,DETECTED,5.565E5,11.5076,167.09274,167.093,,,0.3096,11.1961,11.5315,167.09289,8.568E5,2.211E6,0.0767,0.5383,2.211E6,,
838,1.821E7,11.5076,708.51074,708.5119,12,11.3002,11.7563,708.51124,2.148E7,6.682E7,6.682E7,1,DETECTED,1.821E7,11.5076,708.51074,708.5119,12,-0.2047,0.2706,11.3002,11.7563,708.51124,2.148E7,6.682E7,1.1987,1.0994,6.682E7,1,4
841,2.204E6,11.5076,736.54236,736.54309,8,11.3322,11.6517,736.54263,3.829E6,1.165E7,1.165E7,1,DETECTED,2.204E6,11.5076,736.54236,736.54309,8,-0.1465,0.177,11.3322,11.6517,736.54263,3.829E6,1.165E7,0.8213,0.9106,1.165E7,1,3
843,5.573E5,11.5076,836.55243,836.55573,0,11.1003,11.6839,836.55447,5.688E5,1.523E6,1.523E6,,DETECTED,5.573E5,11.5076,836.55243,836.55573,,,0.356,11.1003,11.6839,836.55447,5.688E5,1.523E6,0.4328,0.7164,1.523E6,,
844,7.125E5,11.5156,551.32782,551.32867,0,11.2761,11.7483,551.32828,7.558E5,2.996E6,2.996E6,1,DETECTED,7.125E5,11.5156,551.32782,551.32867,,,0.2869,11.2761,11.7483,551.32828,7.558E5,2.996E6,0.9719,0.9859,2.996E6,1,2
845,1.451E7,11.5156,663.45294,663.45392,9,11.3881,11.7563,663.4533,1.972E7,6.728E7,6.728E7,1,DETECTED,1.451E7,11.5156,663.45294,663.45392,9,-0.1098,0.1934,11.3881,11.7563,663.4533,1.972E7,6.728E7,1.8886,1.4443,6.728E7,1,4
849,1.445E5,11.5235,128.11839,128.11845,0,11.4917,11.5794,128.11841,5.796E5,2.415E6,2.415E6,,DETECTED,1.445E5,11.5235,128.11839,128.11845,,,0.0154,11.4917,11.5794,128.11841,5.796E5,2.415E6,1.7544,1.3772,2.415E6,,
850,2.618E5,11.5235,136.08696,136.08708,0,11.4917,11.5794,136.08702,1.424E6,4.148E6,4.148E6,,DETECTED,2.618E5,11.5235,136.08696,136.08708,,,0.0186,11.4917,11.5794,136.08702,1.424E6,4.148E6,1.7544,1.3772,4.148E6,,
851,1.23E5,11.5235,137.0822,137.08231,0,11.4917,11.5794,137.08226,6.655E5,1.899E6,1.899E6,,DETECTED,1.23E5,11.5235,137.0822,137.08231,,,0.0603,11.4917,11.5794,137.08226,6.655E5,1.899E6,1.7544,1.3772,1.899E6,,
852,1.509E5,11.5235,140.08183,140.08195,0,11.4917,11.5794,140.0819,8.638E5,2.475E6,2.475E6,,DETECTED,1.509E5,11.5235,140.08183,140.08195,,,0.0181,11.4917,11.5794,140.0819,8.638E5,2.475E6,1.7544,1.3772,2.475E6,,
853,1.238E5,11.5235,148.08694,148.08704,0,11.4917,11.5794,148.08699,7.492E5,1.863E6,1.863E6,,DETECTED,1.238E5,11.5235,148.08694,148.08704,,,0.0226,11.4917,11.5794,148.08699,7.492E5,1.863E6,1.7544,1.3772,1.863E6,,
854,3.324E5,11.5235,151.09784,151.09795,1,11.4917,11.5794,151.09789,2.076E6,4.984E6,4.984E6,,DETECTED,3.324E5,11.5235,151.09784,151.09795,1,0.0039,0.0621,11.4917,11.5794,151.09789,2.076E6,4.984E6,1.7544,1.3772,4.984E6,,
855,1.77E5,11.5235,161.0822,161.08229,0,11.4917,11.5794,161.08224,9.317E5,2.871E6,2.871E6,,DETECTED,1.77E5,11.5235,161.0822,161.08229,,,0.0544,11.4917,11.5794,161.08224,9.317E5,2.871E6,1.7544,1.3772,2.871E6,,
856,4.013E5,11.5235,163.09782,163.09792,2,11.4917,11.5794,163.09787,1.846E6,6.155E6,6.155E6,,DETECTED,4.013E5,11.5235,163.09782,163.09792,2,-0.0178,0.0608,11.4917,11.5794,163.09787,1.846E6,6.155E6,1.7544,1.3772,6.155E6,,
857,2.6E5,11.5235,165.11354,165.11365,0,11.4917,11.5794,165.11361,1.417E6,4.047E6,4.047E6,,DETECTED,2.6E5,11.5235,165.11354,165.11365,,,0.02,11.4917,11.5794,165.11361,1.417E6,4.047E6,1.7544,1.3772,4.047E6,,
858,9.358E4,11.5235,179.09274,179.09286,0,11.4678,11.5315,179.0928,8.753E5,1.95E6,1.95E6,,DETECTED,9.358E4,11.5235,179.09274,179.09286,,,0.1623,11.4678,11.5315,179.0928,8.753E5,1.95E6,0.1429,0.5715,1.95E6,,
859,1.47E6,11.5235,680.4798,680.48114,5,11.3561,11.7563,680.48039,1.723E6,6.736E6,6.736E6,1,DETECTED,1.47E6,11.5235,680.4798,680.48114,5,-0.0746,0.1657,11.3561,11.7563,680.48039,1.723E6,6.736E6,1.3904,1.1952,6.736E6,1,2
860,1.544E6,11.5235,685.43518,685.43616,6,11.4121,11.844,685.43565,1.66E6,6.287E6,6.287E6,1,DETECTED,1.544E6,11.5235,685.43518,685.43616,6,-0.0575,0.3091,11.4121,11.844,685.43565,1.66E6,6.287E6,2.8749,1.9375,6.287E6,1,2
861,5.412E5,11.5235,701.40875,701.4104,0,11.2921,11.7161,701.40956,7.734E5,2.072E6,2.072E6,,DETECTED,5.412E5,11.5235,701.40875,701.4104,,,0.2861,11.2921,11.7161,701.40956,7.734E5,2.072E6,0.8323,0.9162,2.072E6,,
863,1.522E5,11.5315,340.35757,340.35867,0,11.4996,11.6115,340.35785,5.214E5,2.83E6,2.83E6,,DETECTED,1.522E5,11.5315,340.35757,340.35867,,,0.0472,11.4996,11.6115,340.35785,5.214E5,2.83E6,3.3574,1.7553,2.83E6,,
864,3.968E5,11.5315,495.26468,495.26639,0,11.3082,11.6839,495.266,5.766E5,1.803E6,1.803E6,,DETECTED,3.968E5,11.5315,495.26468,495.26639,,,0.2883,11.3082,11.6839,495.266,5.766E5,1.803E6,0.6824,0.8412,1.803E6,,
865,9.463E6,11.5315,647.4566,647.46033,10,10.8129,11.8759,647.45856,5.54E5,7.275E7,7.275E7,1,DETECTED,9.463E6,11.5315,647.4566,647.46033,10,-0.1224,0.0931,10.8129,11.8759,647.45856,5.54E5,7.275E7,0.9611,1.2819,7.275E7,1,3
870,1.937E5,11.5474,922.66797,922.67328,0,11.4678,11.7242,922.6718,5.444E5,1.105E6,1.105E6,,DETECTED,1.937E5,11.5474,922.66797,922.67328,,,0.2157,11.4678,11.7242,922.6718,5.444E5,1.105E6,2.2201,1.61,1.105E6,,
871,2.188E5,11.5554,176.10573,176.10593,0,11.5315,11.6436,176.10584,6.693E5,2.868E6,2.868E6,,DETECTED,2.188E5,11.5554,176.10573,176.10593,,,0.0323,11.5315,11.6436,176.10584,6.693E5,2.868E6,3.6861,2.3431,2.868E6,,
872,1.627E5,11.5554,179.09277,179.09297,0,11.5315,11.6436,179.09288,6.922E5,2.064E6,2.064E6,,DETECTED,1.627E5,11.5554,179.09277,179.09297,,,0.0365,11.5315,11.6436,179.09288,6.922E5,2.064E6,3.6861,2.3431,2.064E6,,
873,1.179E5,11.5554,190.1087,190.10889,0,11.4917,11.5794,190.10881,5.422E5,1.798E6,1.798E6,,DETECTED,1.179E5,11.5554,190.1087,190.10889,,,0.0622,11.4917,11.5794,190.10881,5.422E5,1.798E6,0.3762,0.6881,1.798E6,,
