id,area,rt,mz_range:min,mz_range:max,fragment_scans,rt_range:min,rt_range:max,mz,intensity_range:min,intensity_range:max,height,charge,datafile:20250402_PMA_tp24_000031_01_01.mzML:feature_state,datafile:20250402_PMA_tp24_000031_01_01.mzML:area,datafile:20250402_PMA_tp24_000031_01_01.mzML:rt,datafile:20250402_PMA_tp24_000031_01_01.mzML:mz_range:min,datafile:20250402_PMA_tp24_000031_01_01.mzML:mz_range:max,datafile:20250402_PMA_tp24_000031_01_01.mzML:fragment_scans,datafile:20250402_PMA_tp24_000031_01_01.mzML:rt_ms2_apex_distance,datafile:20250402_PMA_tp24_000031_01_01.mzML:fwhm,datafile:20250402_PMA_tp24_000031_01_01.mzML:rt_range:min,datafile:20250402_PMA_tp24_000031_01_01.mzML:rt_range:max,datafile:20250402_PMA_tp24_000031_01_01.mzML:mz,datafile:20250402_PMA_tp24_000031_01_01.mzML:intensity_range:min,datafile:20250402_PMA_tp24_000031_01_01.mzML:intensity_range:max,datafile:20250402_PMA_tp24_000031_01_01.mzML:asymmetry_factor,datafile:20250402_PMA_tp24_000031_01_01.mzML:tailing_factor,datafile:20250402_PMA_tp24_000031_01_01.mzML:height,datafile:20250402_PMA_tp24_000031_01_01.mzML:charge,datafile:20250402_PMA_tp24_000031_01_01.mzML:isotopes
1,7.636E5,0.3429,267.90186,267.90228,8,0.0028,0.4068,267.902,9.239E5,8.5E6,8.5E6,,DETECTED,7.636E5,0.3429,267.90186,267.90228,8,-0.3192,0.4031,0.0028,0.4068,267.902,9.239E5,8.5E6,0.529,0.5939,8.5E6,,
2,3.83E5,0.3429,295.89673,295.89716,5,0.0028,0.3906,295.89691,6.613E5,4.281E6,4.281E6,,DETECTED,3.83E5,0.3429,295.89673,295.89716,5,-0.3017,0.4337,0.0028,0.3906,295.89691,6.613E5,4.281E6,0.2151,0.5701,4.281E6,,
3,6.301E5,0.3587,125.9865,125.98664,8,0.0028,0.3826,125.98659,6.617E5,3.71E6,3.71E6,,DETECTED,6.301E5,0.3587,125.9865,125.98664,8,-0.3402,0.1589,0.0028,0.3826,125.98659,6.617E5,3.71E6,0.0671,0.5336,3.71E6,,
4,6.785E5,0.3587,128.95096,128.95117,8,0.0028,0.4068,128.95105,8.014E5,1.292E7,1.292E7,,DETECTED,6.785E5,0.3587,128.95096,128.95117,8,-0.3251,0.0249,0.0028,0.4068,128.95105,8.014E5,1.292E7,0.3374,0.6463,1.292E7,,
5,4.87E5,0.3587,130.96654,130.96678,8,0.0028,0.4147,130.96668,6.835E5,5.172E6,5.172E6,,DETECTED,4.87E5,0.3587,130.96654,130.96678,8,-0.324,0.0292,0.0028,0.4147,130.96668,6.835E5,5.172E6,0.2291,0.5787,5.172E6,,
6,7.661E5,0.3587,137.98726,137.98775,8,0.0028,0.4147,137.98743,6.914E5,1.24E7,1.24E7,,DETECTED,7.661E5,0.3587,137.98726,137.98775,8,-0.3338,0.025,0.0028,0.4147,137.98743,6.914E5,1.24E7,0.2564,1.0296,1.24E7,,
7,2.778E5,0.3587,138.99542,138.9961,0,0.3347,0.3906,138.99548,5.48E5,1.25E7,1.25E7,,DETECTED,2.778E5,0.3587,138.99542,138.9961,,,0.022,0.3347,0.3906,138.99548,5.48E5,1.25E7,1.5201,1.4638,1.25E7,,
8,4.388E5,0.3587,139.96338,139.96358,0,0.3347,0.3987,139.96341,8.644E5,1.941E7,1.941E7,,DETECTED,4.388E5,0.3587,139.96338,139.96358,,,0.0221,0.3347,0.3987,139.96341,8.644E5,1.941E7,1.5133,1.4484,1.941E7,,
9,8.24E6,0.3587,141.9586,141.95894,10,0.0028,0.4226,141.95874,8.594E5,3.371E8,3.371E8,1,DETECTED,8.24E6,0.3587,141.9586,141.95894,10,-0.3448,0.0199,0.0028,0.4226,141.95874,8.594E5,3.371E8,1.5131,1.4246,3.371E8,1,2
11,1.134E6,0.3587,151.0354,151.03563,1,0.3347,0.4068,151.03545,5.503E5,4.929E7,4.929E7,,DETECTED,1.134E6,0.3587,151.0354,151.03563,1,-0.0097,0.0233,0.3347,0.4068,151.03545,5.503E5,4.929E7,1.4335,1.1337,4.929E7,,
12,2.752E5,0.3587,152.99512,152.99532,0,0.3347,0.3987,152.99515,5.382E5,1.29E7,1.29E7,,DETECTED,2.752E5,0.3587,152.99512,152.99532,,,0.0187,0.3347,0.3987,152.99515,5.382E5,1.29E7,1.5179,1.4268,1.29E7,,
13,1.627E5,0.3587,153.03302,153.03319,0,0.3347,0.3906,153.03306,6.917E5,7.615E6,7.615E6,,DETECTED,1.627E5,0.3587,153.03302,153.03319,,,0.0199,0.3347,0.3906,153.03306,6.917E5,7.615E6,1.4364,1.0359,7.615E6,,
14,5.46E6,0.3587,154.99033,154.99059,10,0.0028,0.4226,154.9904,1.523E6,2.041E8,2.041E8,1,DETECTED,5.46E6,0.3587,154.99033,154.99059,10,-0.3425,0.0216,0.0028,0.4226,154.9904,1.523E6,2.041E8,1.5393,0.5189,2.041E8,1,2
16,6.172E4,0.3587,156.96632,156.96652,0,0.3429,0.4068,156.96638,5.444E5,2.123E6,2.123E6,,DETECTED,6.172E4,0.3587,156.96632,156.96652,,,0.0553,0.3429,0.4068,156.96638,5.444E5,2.123E6,3.0415,2.0208,2.123E6,,
17,1.772E6,0.3587,159.96928,159.96956,0,0.0028,0.4147,159.96935,7.08E5,6.254E7,6.254E7,,DETECTED,1.772E6,0.3587,159.96928,159.96956,,,0.0226,0.0028,0.4147,159.96935,7.08E5,6.254E7,1.5478,0.5314,6.254E7,,
18,1.463E6,0.3587,169.97746,169.97774,9,0.0028,0.4147,169.9776,1.017E6,2.891E7,2.891E7,,DETECTED,1.463E6,0.3587,169.97746,169.97774,9,-0.3414,0.0249,0.0028,0.4147,169.9776,1.017E6,2.891E7,0.0924,0.758,2.891E7,,
