id,area,rt,mz_range:min,mz_range:max,fragment_scans,rt_range:min,rt_range:max,mz,intensity_range:min,intensity_range:max,height,charge,datafile:20250402_PMA_tp24_000032_01_01.mzML:feature_state,datafile:20250402_PMA_tp24_000032_01_01.mzML:area,datafile:20250402_PMA_tp24_000032_01_01.mzML:rt,datafile:20250402_PMA_tp24_000032_01_01.mzML:mz_range:min,datafile:20250402_PMA_tp24_000032_01_01.mzML:mz_range:max,datafile:20250402_PMA_tp24_000032_01_01.mzML:fragment_scans,datafile:20250402_PMA_tp24_000032_01_01.mzML:rt_ms2_apex_distance,datafile:20250402_PMA_tp24_000032_01_01.mzML:fwhm,datafile:20250402_PMA_tp24_000032_01_01.mzML:rt_range:min,datafile:20250402_PMA_tp24_000032_01_01.mzML:rt_range:max,datafile:20250402_PMA_tp24_000032_01_01.mzML:mz,datafile:20250402_PMA_tp24_000032_01_01.mzML:intensity_range:min,datafile:20250402_PMA_tp24_000032_01_01.mzML:intensity_range:max,datafile:20250402_PMA_tp24_000032_01_01.mzML:asymmetry_factor,datafile:20250402_PMA_tp24_000032_01_01.mzML:tailing_factor,datafile:20250402_PMA_tp24_000032_01_01.mzML:height,datafile:20250402_PMA_tp24_000032_01_01.mzML:charge,datafile:20250402_PMA_tp24_000032_01_01.mzML:isotopes
1,1.033E6,0.2376,139.98213,139.98253,4,0.2202,0.3569,139.98245,3.383E6,9.757E6,9.757E6,,DETECTED,1.033E6,0.2376,139.98213,139.98253,4,-0.0157,0.1305,0.2202,0.3569,139.98245,3.383E6,9.757E6,6.8627,3.9313,9.757E6,,
2,8.07E5,0.3411,267.90161,267.90213,8,0.0029,0.405,267.90183,1.213E6,9.908E6,9.908E6,,DETECTED,8.07E5,0.3411,267.90161,267.90213,8,-0.3169,0.3037,0.0029,0.405,267.90183,1.213E6,9.908E6,0.945,0.5944,9.908E6,,
3,4.297E5,0.3411,295.89636,295.89713,0,0.0029,0.405,295.8967,6.484E5,5.432E6,5.432E6,,DETECTED,4.297E5,0.3411,295.89636,295.89713,,,0.531,0.0029,0.405,295.8967,6.484E5,5.432E6,1.4388,0.5944,5.432E6,,
4,7.214E5,0.3569,125.98638,125.98654,8,0.0029,0.3807,125.98649,1.037E6,5.151E6,5.151E6,,DETECTED,7.214E5,0.3569,125.98638,125.98654,8,-0.338,0.0253,0.0029,0.3807,125.98649,1.037E6,5.151E6,0.0673,0.5336,5.151E6,,
5,8.444E5,0.3569,128.95088,128.95113,8,0.0029,0.405,128.95097,8.475E5,1.566E7,1.566E7,,DETECTED,8.444E5,0.3569,128.95088,128.95113,8,-0.3241,0.0285,0.0029,0.405,128.95097,8.475E5,1.566E7,0.118,0.7847,1.566E7,,
6,5.666E5,0.3569,130.96646,130.96674,8,0.0029,0.413,130.96659,6.489E5,5.398E6,5.398E6,,DETECTED,5.666E5,0.3569,130.96646,130.96674,8,-0.3229,0.0299,0.0029,0.413,130.96659,6.489E5,5.398E6,0.4874,0.5791,5.398E6,,
7,6.342E5,0.3569,137.98721,137.98756,4,0.2202,0.4209,137.98746,8.259E5,1.778E7,1.778E7,,DETECTED,6.342E5,0.3569,137.98721,137.98756,4,-0.1143,0.0256,0.2202,0.4209,137.98746,8.259E5,1.778E7,0.3759,1.0185,1.778E7,,
8,4.195E5,0.3569,138.99539,138.99644,0,0.333,0.397,138.99541,8.785E5,1.759E7,1.759E7,,DETECTED,4.195E5,0.3569,138.99539,138.99644,,,0.0235,0.333,0.397,138.99541,8.785E5,1.759E7,1.5732,1.4647,1.759E7,,
9,6.385E5,0.3569,139.96329,139.96365,1,0.333,0.405,139.96333,6.225E5,2.661E7,2.661E7,,DETECTED,6.385E5,0.3569,139.96329,139.96365,1,0.014,0.0231,0.333,0.405,139.96333,6.225E5,2.661E7,1.5541,1.4774,2.661E7,,
10,1.127E7,0.3569,141.95862,141.95889,10,0.0029,0.4289,141.95865,1.126E6,4.362E8,4.362E8,1,DETECTED,1.127E7,0.3569,141.95862,141.95889,10,-0.3413,0.0226,0.0029,0.4289,141.95865,1.126E6,4.362E8,1.5573,1.4593,4.362E8,1,2
