id,area,rt,mz_range:min,mz_range:max,fragment_scans,rt_range:min,rt_range:max,mz,intensity_range:min,intensity_range:max,height,charge,datafile:20250402_PMA_tp24_solanum_qc_00.mzML:feature_state,datafile:20250402_PMA_tp24_solanum_qc_00.mzML:area,datafile:20250402_PMA_tp24_solanum_qc_00.mzML:rt,datafile:20250402_PMA_tp24_solanum_qc_00.mzML:mz_range:min,datafile:20250402_PMA_tp24_solanum_qc_00.mzML:mz_range:max,datafile:20250402_PMA_tp24_solanum_qc_00.mzML:fragment_scans,datafile:20250402_PMA_tp24_solanum_qc_00.mzML:rt_ms2_apex_distance,datafile:20250402_PMA_tp24_solanum_qc_00.mzML:fwhm,datafile:20250402_PMA_tp24_solanum_qc_00.mzML:rt_range:min,datafile:20250402_PMA_tp24_solanum_qc_00.mzML:rt_range:max,datafile:20250402_PMA_tp24_solanum_qc_00.mzML:mz,datafile:20250402_PMA_tp24_solanum_qc_00.mzML:intensity_range:min,datafile:20250402_PMA_tp24_solanum_qc_00.mzML:intensity_range:max,datafile:20250402_PMA_tp24_solanum_qc_00.mzML:asymmetry_factor,datafile:20250402_PMA_tp24_solanum_qc_00.mzML:tailing_factor,datafile:20250402_PMA_tp24_solanum_qc_00.mzML:height,datafile:20250402_PMA_tp24_solanum_qc_00.mzML:charge,datafile:20250402_PMA_tp24_solanum_qc_00.mzML:isotopes
1,1.735E5,0.3455,129.13878,129.13898,1,0.3206,0.4009,129.13882,5.26E5,6.019E6,6.019E6,,DETECTED,1.735E5,0.3455,129.13878,129.13898,1,-0.0018,0.0194,0.3206,0.4009,129.13882,5.26E5,6.019E6,2.6597,1.4909,6.019E6,,
2,9.794E5,0.3455,146.16527,146.16557,1,0.3206,0.4009,146.16532,7.107E5,4.157E7,4.157E7,,DETECTED,9.794E5,0.3455,146.16527,146.16557,1,-0.0125,0.0187,0.3206,0.4009,146.16532,7.107E5,4.157E7,1.7582,1.3615,4.157E7,,
3,9.478E4,0.3455,160.1808,160.18105,0,0.3206,0.385,160.18091,5.645E5,3.829E6,3.829E6,,DETECTED,9.478E4,0.3455,160.1808,160.18105,,,0.0198,0.3206,0.385,160.18091,5.645E5,3.829E6,1.9619,1.2918,3.829E6,,
4,1.472E5,0.3455,235.95198,235.95219,1,0.3291,0.3929,235.95204,5.118E5,7.503E6,7.503E6,,DETECTED,1.472E5,0.3455,235.95198,235.95219,1,-0.0029,0.0138,0.3291,0.3929,235.95204,5.118E5,7.503E6,2.0911,1.797,7.503E6,,
5,6.782E5,0.3613,130.01697,130.01715,0,0.3375,0.4009,130.01701,7.617E5,2.331E7,2.331E7,,DETECTED,6.782E5,0.3613,130.01697,130.01715,,,0.0331,0.3375,0.4009,130.01701,7.617E5,2.331E7,1.6531,1.1499,2.331E7,,
6,1.964E5,0.3613,146.02992,146.03006,0,0.3375,0.3929,146.02997,1.222E6,6.628E6,6.628E6,,DETECTED,1.964E5,0.3613,146.02992,146.03006,,,0.0315,0.3375,0.3929,146.02997,1.222E6,6.628E6,1.8346,1.1664,6.628E6,,
7,3.837E5,0.3613,156.01424,156.01448,0,0.3375,0.3929,156.01429,2.131E6,1.34E7,1.34E7,,DETECTED,3.837E5,0.3613,156.01424,156.01448,,,0.0325,0.3375,0.3929,156.01429,2.131E6,1.34E7,1.4772,1.1664,1.34E7,,
8,2.836E6,0.3613,167.01286,167.01309,1,0.3375,0.3929,167.01291,2.905E6,9.395E7,9.395E7,1,DETECTED,2.836E6,0.3613,167.01286,167.01309,1,-0.0051,0.0294,0.3375,0.3929,167.01291,2.905E6,9.395E7,1.7872,1.1664,9.395E7,1,2
10,7.173E5,0.3613,169.04588,169.04613,1,0.3375,0.4009,169.04594,1.295E6,2.336E7,2.336E7,,DETECTED,7.173E5,0.3613,169.04588,169.04613,1,0.014,0.0363,0.3375,0.4009,169.04594,1.295E6,2.336E7,1.2567,1.171,2.336E7,,
11,1.145E5,0.3613,184.9595,184.96004,0,0.3375,0.3929,184.95971,5.587E5,3.855E6,3.855E6,,DETECTED,1.145E5,0.3613,184.9595,184.96004,,,0.0289,0.3375,0.3929,184.95971,5.587E5,3.855E6,1.3871,1.1664,3.855E6,,
12,1.327E5,0.3613,190.98767,190.98898,0,0.3375,0.3929,190.98869,5.195E5,5.032E6,5.032E6,,DETECTED,1.327E5,0.3613,190.98767,190.98898,,,0.027,0.3375,0.3929,190.98869,5.195E5,5.032E6,1.5225,1.1664,5.032E6,,
13,8.088E5,0.3613,192.0618,192.06207,1,0.3375,0.4009,192.06187,1.206E6,2.623E7,2.623E7,,DETECTED,8.088E5,0.3613,192.0618,192.06207,1,0.0106,0.0317,0.3375,0.4009,192.06187,1.206E6,2.623E7,1.2539,1.1635,2.623E7,,
14,1.783E5,0.3613,197.04079,197.04109,0,0.3375,0.3929,197.04089,9.667E5,6.041E6,6.041E6,,DETECTED,1.783E5,0.3613,197.04079,197.04109,,,0.0291,0.3375,0.3929,197.04089,9.667E5,6.041E6,1.868,1.1664,6.041E6,,
15,1.269E5,0.3613,209.02567,209.02623,0,0.3375,0.3929,209.02573,5.006E5,5.207E6,5.207E6,,DETECTED,1.269E5,0.3613,209.02567,209.02623,,,0.0265,0.3375,0.3929,209.02573,5.006E5,5.207E6,1.4829,1.0137,5.207E6,,
16,1.673E5,0.3613,245.99379,245.99416,0,0.3375,0.3929,245.994,7.418E5,5.963E6,5.963E6,,DETECTED,1.673E5,0.3613,245.99379,245.99416,,,0.0338,0.3375,0.3929,245.994,7.418E5,5.963E6,1.4285,1.1664,5.963E6,,
17,1.466E5,0.3613,258.96365,258.96399,0,0.3375,0.3929,258.96375,1.006E6,4.435E6,4.435E6,,DETECTED,1.466E5,0.3613,258.96365,258.96399,,,0.0329,0.3375,0.3929,258.96375,1.006E6,4.435E6,1.3328,1.1664,4.435E6,,
18,2.371E5,0.3613,268.94781,268.94806,0,0.3375,0.3929,268.94785,1.435E6,7.188E6,7.188E6,,DETECTED,2.371E5,0.3613,268.94781,268.94806,,,0.0332,0.3375,0.3929,268.94785,1.435E6,7.188E6,1.044,1.1664,7.188E6,,
19,2.191E5,0.3613,281.97952,281.97983,0,0.3375,0.3929,281.97959,1.377E6,6.995E6,6.995E6,,DETECTED,2.191E5,0.3613,281.97952,281.97983,,,0.0324,0.3375,0.3929,281.97959,1.377E6,6.995E6,1.0488,1.1664,6.995E6,,
20,1.943E5,0.3613,281.9946,281.99496,0,0.3375,0.3929,281.9947,1.059E6,6.902E6,6.902E6,,DETECTED,1.943E5,0.3613,281.9946,281.99496,,,0.0424,0.3375,0.3929,281.9947,1.059E6,6.902E6,1.4073,1.1664,6.902E6,,
21,9.131E5,0.3613,309.97427,309.97467,1,0.3375,0.3929,309.97437,5.177E6,2.869E7,2.869E7,,DETECTED,9.131E5,0.3613,309.97427,309.97467,1,0.0095,0.0324,0.3375,0.3929,309.97437,5.177E6,2.869E7,1.0398,1.1664,2.869E7,,
22,1.186E5,0.3613,312.9726,312.97363,0,0.3375,0.3929,312.97287,7.333E5,3.357E6,3.357E6,,DETECTED,1.186E5,0.3613,312.9726,312.97363,,,0.0348,0.3375,0.3929,312.97287,7.333E5,3.357E6,1.3328,1.1664,3.357E6,,
23,1.548E5,0.3613,337.96909,337.9693,0,0.3375,0.3929,337.9692,7.268E5,4.778E6,4.778E6,,DETECTED,1.548E5,0.3613,337.96909,337.9693,,,0.0327,0.3375,0.3929,337.9692,7.268E5,4.778E6,1.0216,1.1664,4.778E6,,
24,2.372E5,0.3613,353.94681,353.94696,0,0.3375,0.3929,353.94688,1.271E6,7.512E6,7.512E6,,DETECTED,2.372E5,0.3613,353.94681,353.94696,,,0.0477,0.3375,0.3929,353.94688,1.271E6,7.512E6,1.0336,1.1664,7.512E6,,
25,3.725E5,0.3613,382.92725,382.92813,1,0.3375,0.3929,382.92784,1.113E6,1.254E7,1.254E7,,DETECTED,3.725E5,0.3613,382.92725,382.92813,1,0.0265,0.0484,0.3375,0.3929,382.92784,1.113E6,1.254E7,1.3766,1.0078,1.254E7,,
26,2.145E5,0.3613,383.9285,383.9288,0,0.3375,0.3929,383.92865,6.894E5,6.792E6,6.792E6,,DETECTED,2.145E5,0.3613,383.9285,383.9288,,,0.0347,0.3375,0.3929,383.92865,6.894E5,6.792E6,0.999,1.1664,6.792E6,,
27,2.397E5,0.3613,398.90524,398.90683,0,0.3375,0.3929,398.90557,6.988E5,7.89E6,7.89E6,,DETECTED,2.397E5,0.3613,398.90524,398.90683,,,0.0415,0.3375,0.3929,398.90557,6.988E5,7.89E6,0.9931,1.0083,7.89E6,,
28,4.553E5,0.3613,400.93842,400.93903,1,0.3375,0.3929,400.9386,1.7E6,1.492E7,1.492E7,,DETECTED,4.553E5,0.3613,400.93842,400.93903,1,0.0219,0.0431,0.3375,0.3929,400.9386,1.7E6,1.492E7,1.0051,1.1664,1.492E7,,
29,1.465E6,0.3613,423.9548,423.9552,1,0.3375,0.3929,423.95497,4.979E6,4.84E7,4.84E7,,DETECTED,1.465E6,0.3613,423.9548,423.9552,1,0.0028,0.043,0.3375,0.3929,423.95497,4.979E6,4.84E7,0.9998,1.1664,4.84E7,,
30,3.932E5,0.3613,426.95358,426.95444,0,0.3375,0.3929,426.95395,1.326E6,1.406E7,1.406E7,,DETECTED,3.932E5,0.3613,426.95358,426.95444,,,0.0477,0.3375,0.3929,426.95395,1.326E6,1.406E7,0.9955,1.0105,1.406E7,,
31,2.045E5,0.3613,427.95047,427.95151,0,0.3375,0.3929,427.95089,6.867E5,6.975E6,6.975E6,,DETECTED,2.045E5,0.3613,427.95047,427.95151,,,0.036,0.3375,0.3929,427.95089,6.867E5,6.975E6,0.9977,1.0103,6.975E6,,
33,2.097E6,0.3692,123.04054,123.04067,1,0.3375,0.4089,123.04057,6.406E5,7.568E7,7.568E7,,DETECTED,2.097E6,0.3692,123.04054,123.04067,1,-0.0096,0.0303,0.3375,0.4089,123.04057,6.406E5,7.568E7,0.8296,0.8594,7.568E7,,
34,3.946E5,0.3692,125.03804,125.03828,0,0.3375,0.3929,125.03811,1.916E6,1.457E7,1.457E7,,DETECTED,3.946E5,0.3692,125.03804,125.03828,,,0.0298,0.3375,0.3929,125.03811,1.916E6,1.457E7,0.7087,0.8758,1.457E7,,
35,2.871E6,0.3692,125.98639,125.98666,9,0.0027,0.4009,125.98646,5.371E5,7.686E7,7.686E7,,DETECTED,2.871E6,0.3692,125.98639,125.98666,9,-0.3506,0.0348,0.0027,0.4009,125.98646,5.371E5,7.686E7,0.605,0.8662,7.686E7,,
36,3.523E6,0.3692,128.01945,128.01976,2,0.3291,0.4169,128.01948,8.166E5,1.201E8,1.201E8,,DETECTED,3.523E6,0.3692,128.01945,128.01976,2,-0.0141,0.0326,0.3291,0.4169,128.01948,8.166E5,1.201E8,0.8357,0.8895,1.201E8,,
37,4.699E5,0.3692,129.02002,129.02019,0,0.3375,0.4009,129.02006,5.889E5,1.652E7,1.652E7,,DETECTED,4.699E5,0.3692,129.02002,129.02019,,,0.0306,0.3375,0.4009,129.02006,5.889E5,1.652E7,0.828,0.8648,1.652E7,,
38,2.086E5,0.3692,138.02754,138.02768,0,0.3375,0.3929,138.02757,1.469E6,7.856E6,7.856E6,,DETECTED,2.086E5,0.3692,138.02754,138.02768,,,0.0299,0.3375,0.3929,138.02757,1.469E6,7.856E6,0.654,0.8758,7.856E6,,
39,1.625E5,0.3692,139.0179,139.01834,0,0.3375,0.3929,139.01797,9.846E5,6.213E6,6.213E6,,DETECTED,1.625E5,0.3692,139.0179,139.01834,,,0.0266,0.3375,0.3929,139.01797,9.846E5,6.213E6,0.7019,0.8758,6.213E6,,
40,1.006E5,0.3692,140.9617,140.96191,0,0.3375,0.3929,140.96176,7.241E5,3.596E6,3.596E6,,DETECTED,1.006E5,0.3692,140.9617,140.96191,,,0.0285,0.3375,0.3929,140.96176,7.241E5,3.596E6,0.7517,0.8758,3.596E6,,
