id,area,rt,mz_range:min,mz_range:max,fragment_scans,rt_range:min,rt_range:max,mz,intensity_range:min,intensity_range:max,height,charge,datafile:20250402_PMA_tp24_000023_01_01.mzML:feature_state,datafile:20250402_PMA_tp24_000023_01_01.mzML:area,datafile:20250402_PMA_tp24_000023_01_01.mzML:rt,datafile:20250402_PMA_tp24_000023_01_01.mzML:mz_range:min,datafile:20250402_PMA_tp24_000023_01_01.mzML:mz_range:max,datafile:20250402_PMA_tp24_000023_01_01.mzML:fragment_scans,datafile:20250402_PMA_tp24_000023_01_01.mzML:rt_ms2_apex_distance,datafile:20250402_PMA_tp24_000023_01_01.mzML:fwhm,datafile:20250402_PMA_tp24_000023_01_01.mzML:rt_range:min,datafile:20250402_PMA_tp24_000023_01_01.mzML:rt_range:max,datafile:20250402_PMA_tp24_000023_01_01.mzML:mz,datafile:20250402_PMA_tp24_000023_01_01.mzML:intensity_range:min,datafile:20250402_PMA_tp24_000023_01_01.mzML:intensity_range:max,datafile:20250402_PMA_tp24_000023_01_01.mzML:asymmetry_factor,datafile:20250402_PMA_tp24_000023_01_01.mzML:tailing_factor,datafile:20250402_PMA_tp24_000023_01_01.mzML:height,datafile:20250402_PMA_tp24_000023_01_01.mzML:charge,datafile:20250402_PMA_tp24_000023_01_01.mzML:isotopes
1,2.357E5,0.3503,129.13879,129.13893,1,0.3171,0.3898,129.13886,6.446E5,7.985E6,7.985E6,,DETECTED,2.357E5,0.3503,129.13879,129.13893,1,-0.0121,0.0271,0.3171,0.3898,129.13886,6.446E5,7.985E6,1.4611,1.2687,7.985E6,,
2,1.522E6,0.3503,146.1653,146.16556,2,0.3171,0.3977,146.16533,2.308E6,5.358E7,5.358E7,1,DETECTED,1.522E6,0.3503,146.1653,146.16556,2,-0.0206,0.0231,0.3171,0.3977,146.16533,2.308E6,5.358E7,1.4832,1.2535,5.358E7,1,2
4,1.638E5,0.3503,160.18082,160.18102,1,0.3257,0.3898,160.18096,9.416E5,5.721E6,5.721E6,,DETECTED,1.638E5,0.3503,160.18082,160.18102,1,-0.011,0.0254,0.3257,0.3898,160.18096,9.416E5,5.721E6,1.5044,1.3052,5.721E6,,
5,5.62E4,0.3503,385.87448,385.87546,0,0.3343,0.3898,385.87503,6.679E5,1.903E6,1.903E6,,DETECTED,5.62E4,0.3503,385.87448,385.87546,,,0.0379,0.3343,0.3898,385.87503,6.679E5,1.903E6,2.4684,1.7342,1.903E6,,
6,2.196E5,0.366,138.02759,138.02776,0,0.3343,0.3977,138.02764,5.203E5,7.488E6,7.488E6,,DETECTED,2.196E5,0.366,138.02759,138.02776,,,0.0282,0.3343,0.3977,138.02764,5.203E5,7.488E6,1.0202,1.001,7.488E6,,
7,6.888E5,0.366,169.04593,169.04622,1,0.3343,0.4056,169.04599,5.934E5,2.143E7,2.143E7,,DETECTED,6.888E5,0.366,169.04593,169.04622,1,0.005,0.0322,0.3343,0.4056,169.04599,5.934E5,2.143E7,1.0379,1.1118,2.143E7,,
8,4.111E5,0.366,202.97043,202.97069,0,0.3343,0.3898,202.97049,5.478E5,1.553E7,1.553E7,,DETECTED,4.111E5,0.366,202.97043,202.97069,,,0.026,0.3343,0.3898,202.97049,5.478E5,1.553E7,1.0817,1.0094,1.553E7,,
9,1.114E5,0.366,242.95044,242.95097,0,0.3343,0.3898,242.95062,5.646E5,3.932E6,3.932E6,,DETECTED,1.114E5,0.366,242.95044,242.95097,,,0.0344,0.3343,0.3898,242.95062,5.646E5,3.932E6,0.9681,0.8735,3.932E6,,
10,1.352E5,0.366,270.94485,270.94595,0,0.3343,0.3898,270.94503,5.805E5,4.632E6,4.632E6,,DETECTED,1.352E5,0.366,270.94485,270.94595,,,0.0318,0.3343,0.3898,270.94503,5.805E5,4.632E6,0.9811,0.8735,4.632E6,,
11,1.39E5,0.366,398.90433,398.90598,0,0.3343,0.3898,398.90552,5.05E5,4.491E6,4.491E6,,DETECTED,1.39E5,0.366,398.90433,398.90598,,,0.032,0.3343,0.3898,398.90552,5.05E5,4.491E6,0.9918,0.8735,4.491E6,,
