id,area,rt,mz_range:min,mz_range:max,rt_range:min,rt_range:max,mz,intensity_range:min,intensity_range:max,height,fragment_scans,charge,datafile:20250402_PMA_tp24_000028_01_01.mzML:feature_state,datafile:20250402_PMA_tp24_000028_01_01.mzML:area,datafile:20250402_PMA_tp24_000028_01_01.mzML:rt,datafile:20250402_PMA_tp24_000028_01_01.mzML:mz_range:min,datafile:20250402_PMA_tp24_000028_01_01.mzML:mz_range:max,datafile:20250402_PMA_tp24_000028_01_01.mzML:fwhm,datafile:20250402_PMA_tp24_000028_01_01.mzML:rt_range:min,datafile:20250402_PMA_tp24_000028_01_01.mzML:rt_range:max,datafile:20250402_PMA_tp24_000028_01_01.mzML:mz,datafile:20250402_PMA_tp24_000028_01_01.mzML:intensity_range:min,datafile:20250402_PMA_tp24_000028_01_01.mzML:intensity_range:max,datafile:20250402_PMA_tp24_000028_01_01.mzML:asymmetry_factor,datafile:20250402_PMA_tp24_000028_01_01.mzML:tailing_factor,datafile:20250402_PMA_tp24_000028_01_01.mzML:height,datafile:20250402_PMA_tp24_000028_01_01.mzML:fragment_scans,datafile:20250402_PMA_tp24_000028_01_01.mzML:rt_ms2_apex_distance,datafile:20250402_PMA_tp24_000028_01_01.mzML:charge,datafile:20250402_PMA_tp24_000028_01_01.mzML:isotopes
21,6.336E5,0.3634,192.06184,192.062,0.3315,0.395,192.06192,1.417E6,2.094E7,2.094E7,1,,DETECTED,6.336E5,0.3634,192.06184,192.062,0.0298,0.3315,0.395,192.06192,1.417E6,2.094E7,1.0477,1.1579,2.094E7,1,0.0106,,
22,1.036E6,0.3634,200.9725,200.97334,0.3315,0.395,200.9731,6.274E5,3.896E7,3.896E7,1,,DETECTED,1.036E6,0.3634,200.9725,200.97334,0.0256,0.3315,0.395,200.9731,6.274E5,3.896E7,1.004,0.9989,3.896E7,1,0.0039,,
23,8.848E5,0.3634,216.95078,216.95097,0.3315,0.395,216.95082,6.232E5,3.434E7,3.434E7,1,,DETECTED,8.848E5,0.3634,216.95078,216.95097,0.0256,0.3315,0.395,216.95082,6.232E5,3.434E7,1.0145,0.9976,3.434E7,1,0.0061,,
24,2.587E6,0.3634,218.98244,218.9839,0.3315,0.395,218.98377,1.821E6,9.425E7,9.425E7,1,,DETECTED,2.587E6,0.3634,218.98244,218.9839,0.0268,0.3315,0.395,218.98377,1.821E6,9.425E7,1.0148,1.0013,9.425E7,1,-0.0096,,
25,6.738E5,0.3634,219.98454,219.9847,0.3315,0.3871,219.98462,7.309E5,2.542E7,2.542E7,0,,DETECTED,6.738E5,0.3634,219.98454,219.9847,0.026,0.3315,0.3871,219.98462,7.309E5,2.542E7,1.1109,1.0163,2.542E7,,,,
26,6.885E5,0.3634,220.98111,220.98126,0.3315,0.395,220.98117,5.476E5,2.547E7,2.547E7,0,,DETECTED,6.885E5,0.3634,220.98111,220.98126,0.0265,0.3315,0.395,220.98117,5.476E5,2.547E7,1.013,1.0011,2.547E7,,,,
27,3.481E6,0.3634,223.98891,223.98948,0.3315,0.395,223.98906,2.164E6,1.367E8,1.367E8,1,,DETECTED,3.481E6,0.3634,223.98891,223.98948,0.0274,0.3315,0.395,223.98906,2.164E6,1.367E8,1.0103,1.0014,1.367E8,1,-0.0119,,
28,9.38E5,0.3634,224.98893,224.99014,0.3315,0.3871,224.99009,5.969E5,3.479E7,3.479E7,0,,DETECTED,9.38E5,0.3634,224.98893,224.99014,0.0262,0.3315,0.3871,224.99009,5.969E5,3.479E7,1.111,1.0215,3.479E7,,,,
29,9.191E5,0.3634,225.98634,225.98663,0.3315,0.395,225.9864,5.368E5,3.571E7,3.571E7,0,,DETECTED,9.191E5,0.3634,225.98634,225.98663,0.0252,0.3315,0.395,225.9864,5.368E5,3.571E7,1.0153,1.0031,3.571E7,,,,
30,2.272E6,0.3634,239.96658,239.96683,0.3315,0.395,239.96666,1.657E6,8.23E7,8.23E7,1,,DETECTED,2.272E6,0.3634,239.96658,239.96683,0.0268,0.3315,0.395,239.96666,1.657E6,8.23E7,1.0137,0.9981,8.23E7,1,-0.0051,,
31,7.478E6,0.3634,241.99951,241.99977,0.3315,0.395,241.99959,5.966E6,2.768E8,2.768E8,2,,DETECTED,7.478E6,0.3634,241.99951,241.99977,0.0263,0.3315,0.395,241.99959,5.966E6,2.768E8,1.0046,0.9997,2.768E8,2,-0.0175,,
32,2.177E6,0.3634,242.99958,243.00089,0.3315,0.395,243.00082,1.552E6,8.155E7,8.155E7,0,,DETECTED,2.177E6,0.3634,242.99958,243.00089,0.026,0.3315,0.395,243.00082,1.552E6,8.155E7,1.0128,1.0008,8.155E7,,,,
