id,area,rt,mz_range:min,mz_range:max,fragment_scans,rt_range:min,rt_range:max,mz,intensity_range:min,intensity_range:max,height,charge,datafile:20250402_PMA_tp24_000022_01_01.mzML:feature_state,datafile:20250402_PMA_tp24_000022_01_01.mzML:area,datafile:20250402_PMA_tp24_000022_01_01.mzML:rt,datafile:20250402_PMA_tp24_000022_01_01.mzML:mz_range:min,datafile:20250402_PMA_tp24_000022_01_01.mzML:mz_range:max,datafile:20250402_PMA_tp24_000022_01_01.mzML:fragment_scans,datafile:20250402_PMA_tp24_000022_01_01.mzML:rt_ms2_apex_distance,datafile:20250402_PMA_tp24_000022_01_01.mzML:fwhm,datafile:20250402_PMA_tp24_000022_01_01.mzML:rt_range:min,datafile:20250402_PMA_tp24_000022_01_01.mzML:rt_range:max,datafile:20250402_PMA_tp24_000022_01_01.mzML:mz,datafile:20250402_PMA_tp24_000022_01_01.mzML:intensity_range:min,datafile:20250402_PMA_tp24_000022_01_01.mzML:intensity_range:max,datafile:20250402_PMA_tp24_000022_01_01.mzML:asymmetry_factor,datafile:20250402_PMA_tp24_000022_01_01.mzML:tailing_factor,datafile:20250402_PMA_tp24_000022_01_01.mzML:height,datafile:20250402_PMA_tp24_000022_01_01.mzML:charge,datafile:20250402_PMA_tp24_000022_01_01.mzML:isotopes
21,2.929E5,0.3671,288.95557,288.95627,0,0.3354,0.3988,288.95568,8.041E5,8.268E6,8.268E6,,DETECTED,2.929E5,0.3671,288.95557,288.95627,,,0.0513,0.3354,0.3988,288.95568,8.041E5,8.268E6,0.9336,0.8834,8.268E6,,
22,1.103E6,0.3671,309.97446,309.97507,1,0.3354,0.3988,309.97455,3.28E6,3.16E7,3.16E7,,DETECTED,1.103E6,0.3671,309.97446,309.97507,1,-0.0051,0.0503,0.3354,0.3988,309.97455,3.28E6,3.16E7,0.7503,0.9999,3.16E7,,
23,4.703E5,0.3671,310.97298,310.97607,0,0.3354,0.3988,310.9756,1.369E6,1.395E7,1.395E7,,DETECTED,4.703E5,0.3671,310.97298,310.97607,,,0.0573,0.3354,0.3988,310.9756,1.369E6,1.395E7,0.7479,0.8853,1.395E7,,
24,4.769E5,0.3671,311.97088,311.97238,0,0.3354,0.3988,311.97172,1.337E6,1.335E7,1.335E7,,DETECTED,4.769E5,0.3671,311.97088,311.97238,,,0.0533,0.3354,0.3988,311.97172,1.337E6,1.335E7,0.7488,0.9999,1.335E7,,
25,1.8E5,0.3671,325.9519,325.95255,0,0.3354,0.3988,325.95208,5.961E5,5.878E6,5.878E6,,DETECTED,1.8E5,0.3671,325.9519,325.95255,,,0.0491,0.3354,0.3988,325.95208,5.961E5,5.878E6,0.7494,0.9999,5.878E6,,
26,1.903E5,0.3671,353.9469,353.94708,0,0.3354,0.3988,353.94698,5.505E5,6.274E6,6.274E6,,DETECTED,1.903E5,0.3671,353.9469,353.94708,,,0.0392,0.3354,0.3988,353.94698,5.505E5,6.274E6,0.915,0.883,6.274E6,,
27,4.99E5,0.3671,382.92685,382.92838,1,0.3354,0.3988,382.92812,6.268E5,1.664E7,1.664E7,,DETECTED,4.99E5,0.3671,382.92685,382.92838,1,0.0197,0.037,0.3354,0.3988,382.92812,6.268E5,1.664E7,0.9872,0.9872,1.664E7,,
28,9.26E4,0.3671,400.90448,400.90771,0,0.3354,0.3908,400.90636,5.375E5,3E6,3E6,,DETECTED,9.26E4,0.3671,400.90448,400.90771,,,0.0333,0.3354,0.3908,400.90636,5.375E5,3E6,0.9352,0.8744,3E6,,
29,5.708E5,0.3671,400.93866,400.93921,1,0.3354,0.3988,400.93882,8.325E5,1.666E7,1.666E7,,DETECTED,5.708E5,0.3671,400.93866,400.93921,1,0.014,0.0493,0.3354,0.3988,400.93882,8.325E5,1.666E7,0.9531,0.8744,1.666E7,,
30,6.889E4,0.3671,416.9155,416.91711,0,0.3354,0.3908,416.91659,5.287E5,2.238E6,2.238E6,,DETECTED,6.889E4,0.3671,416.9155,416.91711,,,0.0346,0.3354,0.3908,416.91659,5.287E5,2.238E6,0.7488,0.8744,2.238E6,,
31,1.809E6,0.3671,423.95505,423.95535,1,0.3354,0.3988,423.95514,2.508E6,5.628E7,5.628E7,,DETECTED,1.809E6,0.3671,423.95505,423.95535,1,-0.0119,0.0419,0.3354,0.3988,423.95514,2.508E6,5.628E7,0.9616,0.8733,5.628E7,,
32,1.052E6,0.3671,424.95618,424.95676,0,0.3354,0.3988,424.95631,1.597E6,3.104E7,3.104E7,,DETECTED,1.052E6,0.3671,424.95618,424.95676,,,0.0394,0.3354,0.3988,424.95631,1.597E6,3.104E7,0.9623,0.8747,3.104E7,,
33,1.174E6,0.3671,425.95316,425.95358,0,0.3354,0.3988,425.95334,1.624E6,3.55E7,3.55E7,,DETECTED,1.174E6,0.3671,425.95316,425.95358,,,0.0398,0.3354,0.3988,425.95334,1.624E6,3.55E7,0.9527,0.8736,3.55E7,,
34,4.793E5,0.3671,426.9541,426.9549,0,0.3354,0.3988,426.95428,5.719E5,1.508E7,1.508E7,,DETECTED,4.793E5,0.3671,426.9541,426.9549,,,0.0401,0.3354,0.3988,426.95428,5.719E5,1.508E7,0.9456,0.8718,1.508E7,,
35,2.027E6,0.375,123.04058,123.04095,1,0.3354,0.4148,123.04062,9.432E5,6.813E7,6.813E7,,DETECTED,2.027E6,0.375,123.04058,123.04095,1,-0.0186,0.032,0.3354,0.4148,123.04062,9.432E5,6.813E7,0.5263,0.8328,6.813E7,,
36,4.663E5,0.375,124.03955,124.04141,0,0.0028,0.3988,124.04057,5.391E5,8.32E6,8.32E6,,DETECTED,4.663E5,0.375,124.03955,124.04141,,,0.0361,0.0028,0.3988,124.04057,5.391E5,8.32E6,0.0685,0.8732,8.32E6,,
37,3.939E5,0.375,125.03808,125.03838,0,0.3354,0.3988,125.03814,1.136E6,1.275E7,1.275E7,,DETECTED,3.939E5,0.375,125.03808,125.03838,,,0.034,0.3354,0.3988,125.03814,1.136E6,1.275E7,0.5187,0.8652,1.275E7,,
38,2.046E6,0.375,125.98645,125.98672,9,0.0028,0.3988,125.98652,8.918E5,4.797E7,4.797E7,,DETECTED,2.046E6,0.375,125.98645,125.98672,9,-0.3564,0.0368,0.0028,0.3988,125.98652,8.918E5,4.797E7,0.5021,0.5573,4.797E7,,
