id,area,rt,mz_range:min,mz_range:max,fragment_scans,rt_range:min,rt_range:max,mz,intensity_range:min,intensity_range:max,height,charge,datafile:20250402_PMA_tp24_000027_01_01.mzML:feature_state,datafile:20250402_PMA_tp24_000027_01_01.mzML:area,datafile:20250402_PMA_tp24_000027_01_01.mzML:rt,datafile:20250402_PMA_tp24_000027_01_01.mzML:mz_range:min,datafile:20250402_PMA_tp24_000027_01_01.mzML:mz_range:max,datafile:20250402_PMA_tp24_000027_01_01.mzML:fragment_scans,datafile:20250402_PMA_tp24_000027_01_01.mzML:rt_ms2_apex_distance,datafile:20250402_PMA_tp24_000027_01_01.mzML:fwhm,datafile:20250402_PMA_tp24_000027_01_01.mzML:rt_range:min,datafile:20250402_PMA_tp24_000027_01_01.mzML:rt_range:max,datafile:20250402_PMA_tp24_000027_01_01.mzML:mz,datafile:20250402_PMA_tp24_000027_01_01.mzML:intensity_range:min,datafile:20250402_PMA_tp24_000027_01_01.mzML:intensity_range:max,datafile:20250402_PMA_tp24_000027_01_01.mzML:asymmetry_factor,datafile:20250402_PMA_tp24_000027_01_01.mzML:tailing_factor,datafile:20250402_PMA_tp24_000027_01_01.mzML:height,datafile:20250402_PMA_tp24_000027_01_01.mzML:charge,datafile:20250402_PMA_tp24_000027_01_01.mzML:isotopes
1,1.627E6,0.299,139.98227,139.98259,6,0.1772,0.3657,139.98253,9.524E5,1.172E7,1.172E7,,DETECTED,1.627E6,0.299,139.98227,139.98259,6,-0.1202,0.1474,0.1772,0.3657,139.98253,9.524E5,1.172E7,0.5474,0.7737,1.172E7,,
2,1.929E5,0.299,217.95969,217.95989,4,0.1772,0.3499,217.95979,6.729E5,1.436E6,1.436E6,,DETECTED,1.929E5,0.299,217.95969,217.95989,4,-0.0906,0.146,0.1772,0.3499,217.95979,6.729E5,1.436E6,0.418,0.709,1.436E6,,
3,2.467E5,0.3499,129.13889,129.13895,1,0.3251,0.3974,129.13891,1.116E6,8.15E6,8.15E6,,DETECTED,2.467E5,0.3499,129.13889,129.13895,1,-0.0123,0.0257,0.3251,0.3974,129.13891,1.116E6,8.15E6,2.4676,1.4553,8.15E6,,
4,1.694E6,0.3499,146.16536,146.16571,2,0.3164,0.4053,146.16539,7.821E5,6.124E7,6.124E7,1,DETECTED,1.694E6,0.3499,146.16536,146.16571,2,-0.0209,0.0223,0.3164,0.4053,146.16539,7.821E5,6.124E7,8.3855,1.4373,6.124E7,1,2
6,1.703E5,0.3499,160.18097,160.18109,1,0.3251,0.3974,160.18105,7.485E5,5.473E6,5.473E6,,DETECTED,1.703E5,0.3499,160.18097,160.18109,1,-0.0111,0.0259,0.3251,0.3974,160.18105,7.485E5,5.473E6,1.7191,1.4553,5.473E6,,
7,8.389E4,0.3578,282.98032,282.98074,0,0.342,0.3974,282.98045,5.975E5,2.544E6,2.544E6,,DETECTED,8.389E4,0.3578,282.98032,282.98074,,,0.0351,0.342,0.3974,282.98045,5.975E5,2.544E6,2.5007,1.7504,2.544E6,,
8,4.557E5,0.3578,311.97089,311.97195,0,0.3338,0.3974,311.97179,6.548E5,1.255E7,1.255E7,,DETECTED,4.557E5,0.3578,311.97089,311.97195,,,0.036,0.3338,0.3974,311.97179,6.548E5,1.255E7,2.6596,1.747,1.255E7,,
9,9.015E4,0.3657,193.06337,193.06387,0,0.342,0.3974,193.06355,8.947E5,2.54E6,2.54E6,,DETECTED,9.015E4,0.3657,193.06337,193.06387,,,0.0355,0.342,0.3974,193.06355,8.947E5,2.54E6,1.3356,1.1678,2.54E6,,
10,1.167E5,0.3657,304.96939,304.96985,0,0.342,0.3974,304.96957,1.08E6,3.339E6,3.339E6,,DETECTED,1.167E5,0.3657,304.96939,304.96985,,,0.0377,0.342,0.3974,304.96957,1.08E6,3.339E6,1.3356,1.1678,3.339E6,,
11,6.7E4,0.3657,332.96365,332.9649,0,0.342,0.3974,332.96393,5.242E5,2.086E6,2.086E6,,DETECTED,6.7E4,0.3657,332.96365,332.9649,,,0.0285,0.342,0.3974,332.96393,5.242E5,2.086E6,1.3356,1.1678,2.086E6,,
12,1.708E5,0.3657,337.96936,337.96957,0,0.342,0.3974,337.96945,1.21E6,4.618E6,4.618E6,,DETECTED,1.708E5,0.3657,337.96936,337.96957,,,0.0366,0.342,0.3974,337.96945,1.21E6,4.618E6,1.3356,1.1678,4.618E6,,
13,1.217E5,0.3657,399.90625,399.90808,0,0.342,0.3974,399.90686,5.492E5,3.576E6,3.576E6,,DETECTED,1.217E5,0.3657,399.90625,399.90808,,,0.0342,0.342,0.3974,399.90686,5.492E5,3.576E6,1.0216,1.1678,3.576E6,,
14,1.291E5,0.3657,403.93735,403.93784,0,0.342,0.3974,403.93767,7.378E5,3.98E6,3.98E6,,DETECTED,1.291E5,0.3657,403.93735,403.93784,,,0.033,0.342,0.3974,403.93767,7.378E5,3.98E6,1.0444,1.1678,3.98E6,,
15,2.653E5,0.3657,470.91251,470.91367,0,0.342,0.3974,470.91267,1.188E6,7.84E6,7.84E6,,DETECTED,2.653E5,0.3657,470.91251,470.91367,,,0.0341,0.342,0.3974,470.91267,1.188E6,7.84E6,1.0219,1.1678,7.84E6,,
17,1.212E5,0.3657,514.88458,514.88593,0,0.342,0.3974,514.88469,7.101E5,3.778E6,3.778E6,,DETECTED,1.212E5,0.3657,514.88458,514.88593,,,0.033,0.342,0.3974,514.88469,7.101E5,3.778E6,1.0464,1.1678,3.778E6,,
18,1.134E5,0.3657,539.93365,539.93597,0,0.342,0.3974,539.93451,5.613E5,3.564E6,3.564E6,,DETECTED,1.134E5,0.3657,539.93365,539.93597,,,0.0507,0.342,0.3974,539.93451,5.613E5,3.564E6,1.0302,1.1678,3.564E6,,
19,2.068E6,0.3736,123.04061,123.04082,1,0.3338,0.4134,123.04063,7.73E5,6.663E7,6.663E7,,DETECTED,2.068E6,0.3736,123.04061,123.04082,1,-0.0108,0.0408,0.3338,0.4134,123.04063,7.73E5,6.663E7,0.7356,0.8769,6.663E7,,
20,4.003E5,0.3736,125.03812,125.03822,0,0.342,0.3974,125.03815,2.869E6,1.313E7,1.313E7,,DETECTED,4.003E5,0.3736,125.03812,125.03822,,,0.0396,0.342,0.3974,125.03815,2.869E6,1.313E7,0.7526,0.8763,1.313E7,,
21,2.829E6,0.3736,125.9865,125.98676,9,0.0028,0.4053,125.98653,7.404E5,7.18E7,7.18E7,1,DETECTED,2.829E6,0.3736,125.9865,125.98676,9,-0.35,0.038,0.0028,0.4053,125.98653,7.404E5,7.18E7,0.6999,0.8621,7.18E7,1,2
23,3.342E6,0.3736,128.01952,128.0199,2,0.3338,0.4213,128.01954,8.28E5,1.046E8,1.046E8,,DETECTED,3.342E6,0.3736,128.01952,128.0199,2,-0.0186,0.0381,0.3338,0.4213,128.01954,8.28E5,1.046E8,0.7271,0.8757,1.046E8,,
24,6.421E5,0.3736,130.01706,130.01715,0,0.3338,0.4053,130.01708,6.825E5,2.039E7,2.039E7,,DETECTED,6.421E5,0.3736,130.01706,130.01715,,,0.0362,0.3338,0.4053,130.01708,6.825E5,2.039E7,0.7236,0.8736,2.039E7,,
25,2.616E5,0.3736,138.0276,138.02769,0,0.342,0.3974,138.02766,1.738E6,8.545E6,8.545E6,,DETECTED,2.616E5,0.3736,138.0276,138.02769,,,0.0304,0.342,0.3974,138.02766,1.738E6,8.545E6,0.7526,0.8763,8.545E6,,
26,7.248E4,0.3736,140.96181,140.96205,0,0.342,0.3974,140.96191,5.029E5,2.64E6,2.64E6,,DETECTED,7.248E4,0.3736,140.96181,140.96205,,,0.0291,0.342,0.3974,140.96191,5.029E5,2.64E6,0.9168,0.8763,2.64E6,,
27,1.429E5,0.3736,141.05095,141.05107,0,0.342,0.3974,141.05101,1.122E6,4.774E6,4.774E6,,DETECTED,1.429E5,0.3736,141.05095,141.05107,,,0.035,0.342,0.3974,141.05101,1.122E6,4.774E6,0.7526,0.8763,4.774E6,,
28,1.512E5,0.3736,150.9373,150.93924,0,0.342,0.3974,150.93812,7.544E5,5.531E6,5.531E6,,DETECTED,1.512E5,0.3736,150.9373,150.93924,,,0.0269,0.342,0.3974,150.93812,7.544E5,5.531E6,0.966,0.8763,5.531E6,,
29,2.436E5,0.3736,151.02568,151.02797,0,0.342,0.3974,151.02599,2.162E6,8.662E6,8.662E6,,DETECTED,2.436E5,0.3736,151.02568,151.02797,,-0.0277,0.1415,0.342,0.3974,151.02599,2.162E6,8.662E6,0.7526,0.8763,8.662E6,,
30,3.764E7,0.3736,151.03523,151.03584,3,0.3338,0.4689,151.03544,6.866E5,1.182E9,1.182E9,,DETECTED,3.764E7,0.3736,151.03523,151.03584,3,-0.0277,0.0416,0.3338,0.4689,151.03544,6.866E5,1.182E9,0.7292,0.8762,1.182E9,,
31,5.892E6,0.3736,152.03589,152.03683,0,0.3338,0.4293,152.03673,5.749E5,1.969E8,1.969E8,,DETECTED,5.892E6,0.3736,152.03589,152.03683,,,0.051,0.3338,0.4293,152.03673,5.749E5,1.969E8,0.7217,0.8711,1.969E8,,
32,5.966E6,0.3736,153.03293,153.0334,0,0.3338,0.4293,153.03295,7.645E5,1.876E8,1.876E8,1,DETECTED,5.966E6,0.3736,153.03293,153.0334,,,0.0465,0.3338,0.4293,153.03295,7.645E5,1.876E8,0.7279,0.8748,1.876E8,1,2
34,4.07E5,0.3736,156.01436,156.01451,0,0.342,0.3974,156.0144,3.06E6,1.377E7,1.377E7,,DETECTED,4.07E5,0.3736,156.01436,156.01451,,,0.0349,0.342,0.3974,156.0144,3.06E6,1.377E7,0.7526,0.8763,1.377E7,,
35,2.016E5,0.3736,164.06696,164.06711,0,0.342,0.3974,164.06704,1.796E6,6.361E6,6.361E6,,DETECTED,2.016E5,0.3736,164.06696,164.06711,,,0.0366,0.342,0.3974,164.06704,1.796E6,6.361E6,0.7526,0.8763,6.361E6,,
36,2.823E6,0.3736,167.01297,167.01314,1,0.3338,0.3974,167.01301,2.958E6,8.968E7,8.968E7,1,DETECTED,2.823E6,0.3736,167.01297,167.01314,1,-0.0141,0.0533,0.3338,0.3974,167.01301,2.958E6,8.968E7,0.7886,0.8729,8.968E7,1,2
38,7.077E5,0.3736,169.04601,169.0464,1,0.3338,0.4134,169.04605,5.461E5,2.13E7,2.13E7,,DETECTED,7.077E5,0.3736,169.04601,169.0464,1,0.005,0.0339,0.3338,0.4134,169.04605,5.461E5,2.13E7,0.7478,0.887,2.13E7,,
39,7.839E4,0.3736,170.04621,170.04727,0,0.342,0.3974,170.04711,6.675E5,2.339E6,2.339E6,,DETECTED,7.839E4,0.3736,170.04621,170.04727,,,0.0347,0.342,0.3974,170.04711,6.675E5,2.339E6,0.7526,0.8763,2.339E6,,
40,1.157E5,0.3736,171.04356,171.04376,0,0.342,0.3974,171.0436,9.794E5,3.615E6,3.615E6,,DETECTED,1.157E5,0.3736,171.04356,171.04376,,,0.0337,0.342,0.3974,171.0436,9.794E5,3.615E6,0.7526,0.8763,3.615E6,,
41,8.897E4,0.3736,174.02492,174.02512,0,0.342,0.3974,174.02498,7.827E5,2.85E6,2.85E6,,DETECTED,8.897E4,0.3736,174.02492,174.02512,,,0.0411,0.342,0.3974,174.02498,7.827E5,2.85E6,0.7526,0.8763,2.85E6,,
42,1.654E5,0.3736,181.98825,181.9886,0,0.342,0.3974,181.98834,1.54E6,4.992E6,4.992E6,,DETECTED,1.654E5,0.3736,181.98825,181.9886,,,0.0344,0.342,0.3974,181.98834,1.54E6,4.992E6,0.7526,0.8763,4.992E6,,
43,5.403E5,0.3736,182.96228,182.96234,1,0.342,0.3974,182.96231,2.781E6,1.903E7,1.903E7,,DETECTED,5.403E5,0.3736,182.96228,182.96234,1,0.0061,0.0321,0.342,0.3974,182.96231,2.781E6,1.903E7,0.5165,0.8763,1.903E7,,
44,7.969E5,0.3736,192.06194,192.06218,1,0.3338,0.4134,192.06198,5.159E5,2.486E7,2.486E7,,DETECTED,7.969E5,0.3736,192.06194,192.06218,1,0.0028,0.0329,0.3338,0.4134,192.06198,5.159E5,2.486E7,0.7338,0.8767,2.486E7,,
45,1.703E5,0.3736,197.04099,197.04124,0,0.342,0.3974,197.04107,1.271E6,5.687E6,5.687E6,,DETECTED,1.703E5,0.3736,197.04099,197.04124,,,0.0363,0.342,0.3974,197.04107,1.271E6,5.687E6,0.7526,0.8763,5.687E6,,
46,2.566E5,0.3736,198.93993,198.94014,0,0.342,0.3974,198.93998,1.532E6,9.233E6,9.233E6,,DETECTED,2.566E5,0.3736,198.93993,198.94014,,,0.0294,0.342,0.3974,198.93998,1.532E6,9.233E6,0.6346,0.8763,9.233E6,,
47,1.661E6,0.3736,200.97279,200.9733,1,0.3338,0.3974,200.97316,8.768E5,5.579E7,5.579E7,,DETECTED,1.661E6,0.3736,200.97279,200.9733,1,-0.0096,0.0352,0.3338,0.3974,200.97316,8.768E5,5.579E7,0.5765,0.8956,5.579E7,,
48,4.382E5,0.3736,202.97054,202.97076,0,0.342,0.3974,202.97058,1.937E6,1.508E7,1.508E7,,DETECTED,4.382E5,0.3736,202.97054,202.97076,,,0.0337,0.342,0.3974,202.97058,1.937E6,1.508E7,0.6467,0.8763,1.508E7,,
49,1.798E5,0.3736,209.07724,209.07739,0,0.342,0.3974,209.07729,1.119E6,5.782E6,5.782E6,,DETECTED,1.798E5,0.3736,209.07724,209.07739,,,0.0345,0.342,0.3974,209.07729,1.119E6,5.782E6,0.5355,0.8763,5.782E6,,
50,8.952E5,0.3736,216.95085,216.95108,1,0.3338,0.3974,216.9509,8.307E5,3.014E7,3.014E7,,DETECTED,8.952E5,0.3736,216.95085,216.95108,1,0.0016,0.0427,0.3338,0.3974,216.9509,8.307E5,3.014E7,0.567,0.8873,3.014E7,,
51,1.224E5,0.3736,218.94817,218.94859,0,0.342,0.3974,218.94839,7.265E5,4.024E6,4.024E6,,DETECTED,1.224E5,0.3736,218.94817,218.94859,,,0.0314,0.342,0.3974,218.94839,7.265E5,4.024E6,0.6625,0.8763,4.024E6,,
52,3.889E6,0.3736,218.98337,218.98419,2,0.3338,0.4053,218.98384,7.753E5,1.271E8,1.271E8,,DETECTED,3.889E6,0.3736,218.98337,218.98419,2,-0.0175,0.0384,0.3338,0.4053,218.98384,7.753E5,1.271E8,0.5832,0.8571,1.271E8,,
53,9.786E5,0.3736,219.98465,219.9848,0,0.3338,0.3974,219.98469,6.462E5,3.273E7,3.273E7,,DETECTED,9.786E5,0.3736,219.98465,219.9848,,,0.0339,0.3338,0.3974,219.98469,6.462E5,3.273E7,0.5803,0.8912,3.273E7,,
54,1.042E6,0.3736,220.9812,220.98137,0,0.3338,0.3974,220.98124,6.358E5,3.562E7,3.562E7,,DETECTED,1.042E6,0.3736,220.9812,220.98137,,,0.0384,0.3338,0.3974,220.98124,6.358E5,3.562E7,0.5799,0.8919,3.562E7,,
