id,area,rt,mz_range:min,mz_range:max,fragment_scans,rt_range:min,rt_range:max,mz,intensity_range:min,intensity_range:max,height,charge,datafile:20250402_PMA_tp24_000026_01_01.mzML:feature_state,datafile:20250402_PMA_tp24_000026_01_01.mzML:area,datafile:20250402_PMA_tp24_000026_01_01.mzML:rt,datafile:20250402_PMA_tp24_000026_01_01.mzML:mz_range:min,datafile:20250402_PMA_tp24_000026_01_01.mzML:mz_range:max,datafile:20250402_PMA_tp24_000026_01_01.mzML:fragment_scans,datafile:20250402_PMA_tp24_000026_01_01.mzML:rt_ms2_apex_distance,datafile:20250402_PMA_tp24_000026_01_01.mzML:fwhm,datafile:20250402_PMA_tp24_000026_01_01.mzML:rt_range:min,datafile:20250402_PMA_tp24_000026_01_01.mzML:rt_range:max,datafile:20250402_PMA_tp24_000026_01_01.mzML:mz,datafile:20250402_PMA_tp24_000026_01_01.mzML:intensity_range:min,datafile:20250402_PMA_tp24_000026_01_01.mzML:intensity_range:max,datafile:20250402_PMA_tp24_000026_01_01.mzML:asymmetry_factor,datafile:20250402_PMA_tp24_000026_01_01.mzML:tailing_factor,datafile:20250402_PMA_tp24_000026_01_01.mzML:height,datafile:20250402_PMA_tp24_000026_01_01.mzML:charge,datafile:20250402_PMA_tp24_000026_01_01.mzML:isotopes
2,1.955E5,0.343,160.18085,160.18106,1,0.3178,0.3904,160.18098,6.341E5,6.598E6,6.598E6,,DETECTED,1.955E5,0.343,160.18085,160.18106,1,-0.0031,0.0243,0.3178,0.3904,160.18098,6.341E5,6.598E6,2.5206,1.8215,6.598E6,,
3,2.659E5,0.3509,129.13882,129.13898,1,0.3178,0.3904,129.13887,8.808E5,8.775E6,8.775E6,,DETECTED,2.659E5,0.3509,129.13882,129.13898,1,-0.0121,0.027,0.3178,0.3904,129.13887,8.808E5,8.775E6,1.2711,1.0967,8.775E6,,
4,1.883E6,0.3509,146.16528,146.16576,2,0.3178,0.3983,146.16534,2.431E6,6.388E7,6.388E7,1,DETECTED,1.883E6,0.3509,146.16528,146.16576,2,-0.0206,0.023,0.3178,0.3983,146.16534,2.431E6,6.388E7,1.3013,1.0772,6.388E7,1,2
5,1.005E5,0.3667,141.05095,141.05124,0,0.343,0.3983,141.05098,5.602E5,3.674E6,3.674E6,,DETECTED,1.005E5,0.3667,141.05095,141.05124,,,0.0249,0.343,0.3983,141.05098,5.602E5,3.674E6,1.0471,1.1683,3.674E6,,
6,6.524E5,0.3667,169.04594,169.0463,1,0.3349,0.4063,169.04604,8.081E5,1.945E7,1.945E7,,DETECTED,6.524E5,0.3667,169.04594,169.0463,1,0.0095,0.0346,0.3349,0.4063,169.04604,8.081E5,1.945E7,1.1943,1.1309,1.945E7,,
7,6.842E5,0.3667,192.06187,192.06224,1,0.3349,0.3983,192.06196,2.453E6,2.123E7,2.123E7,,DETECTED,6.842E5,0.3667,192.06187,192.06224,1,0.0061,0.0356,0.3349,0.3983,192.06196,2.453E6,2.123E7,1.0345,0.9985,2.123E7,,
8,7.92E4,0.3667,193.06239,193.06348,0,0.343,0.3983,193.06298,5.286E5,2.399E6,2.399E6,,DETECTED,7.92E4,0.3667,193.06239,193.06348,,,0.0323,0.343,0.3983,193.06298,5.286E5,2.399E6,1.3366,1.1683,2.399E6,,
9,1.602E5,0.3667,197.04095,197.0415,0,0.3349,0.3983,197.04106,5.802E5,5.233E6,5.233E6,,DETECTED,1.602E5,0.3667,197.04095,197.0415,,,0.0313,0.3349,0.3983,197.04106,5.802E5,5.233E6,1.0027,0.9985,5.233E6,,
10,2.842E5,0.3667,325.95197,325.9523,0,0.3349,0.3983,325.95209,6.22E5,8.16E6,8.16E6,,DETECTED,2.842E5,0.3667,325.95197,325.9523,,,0.0442,0.3349,0.3983,325.95209,6.22E5,8.16E6,0.9167,0.8783,8.16E6,,
11,4.408E5,0.3667,439.93265,439.93301,1,0.3349,0.3983,439.9329,5.365E5,1.302E7,1.302E7,,DETECTED,4.408E5,0.3667,439.93265,439.93301,1,0.0197,0.0392,0.3349,0.3983,439.9329,5.365E5,1.302E7,0.9523,0.8719,1.302E7,,
12,1.663E6,0.3746,123.04057,123.04077,1,0.3349,0.4063,123.04063,1.042E6,5.811E7,5.811E7,,DETECTED,1.663E6,0.3746,123.04057,123.04077,1,-0.013,0.0295,0.3349,0.4063,123.04063,1.042E6,5.811E7,0.5237,0.8265,5.811E7,,
13,2.087E5,0.3746,124.03968,124.04143,0,0.343,0.3983,124.04126,6.927E5,7.945E6,7.945E6,,DETECTED,2.087E5,0.3746,124.03968,124.04143,,,0.0268,0.343,0.3983,124.04126,6.927E5,7.945E6,0.4952,0.7604,7.945E6,,
14,3.472E5,0.3746,125.0381,125.03828,0,0.3349,0.3983,125.03816,7.696E5,1.286E7,1.286E7,,DETECTED,3.472E5,0.3746,125.0381,125.03828,,,0.0266,0.3349,0.3983,125.03816,7.696E5,1.286E7,0.5312,0.8723,1.286E7,,
15,2.794E6,0.3746,125.98647,125.98666,9,0.0029,0.4063,125.98652,5.556E5,7.81E7,7.81E7,,DETECTED,2.794E6,0.3746,125.98647,125.98666,9,-0.3557,0.0298,0.0029,0.4063,125.98652,5.556E5,7.81E7,0.5084,0.5249,7.81E7,,
16,2.877E6,0.3746,128.01949,128.01991,1,0.3349,0.4223,128.01953,6.523E5,9.881E7,9.881E7,,DETECTED,2.877E6,0.3746,128.01949,128.01991,1,-0.0254,0.0301,0.3349,0.4223,128.01953,6.523E5,9.881E7,0.5194,0.826,9.881E7,,
17,3.905E5,0.3746,129.02005,129.02026,0,0.3349,0.3983,129.02011,1.018E6,1.407E7,1.407E7,,DETECTED,3.905E5,0.3746,129.02005,129.02026,,,0.027,0.3349,0.3983,129.02011,1.018E6,1.407E7,0.5229,0.8683,1.407E7,,
18,5.698E5,0.3746,130.01703,130.01721,0,0.3349,0.3983,130.01707,1.563E6,1.886E7,1.886E7,,DETECTED,5.698E5,0.3746,130.01703,130.01721,,,0.0316,0.3349,0.3983,130.01707,1.563E6,1.886E7,0.5165,0.8664,1.886E7,,
19,2.365E5,0.3746,138.02762,138.0278,0,0.3349,0.3983,138.02765,6.045E5,7.969E6,7.969E6,,DETECTED,2.365E5,0.3746,138.02762,138.0278,,,0.0311,0.3349,0.3983,138.02765,6.045E5,7.969E6,0.5178,0.8679,7.969E6,,
20,1.51E5,0.3746,139.01796,139.01838,0,0.343,0.3983,139.01805,8.37E5,5.057E6,5.057E6,,DETECTED,1.51E5,0.3746,139.01796,139.01838,,,0.0313,0.343,0.3983,139.01805,8.37E5,5.057E6,0.5381,0.8765,5.057E6,,
21,4.253E5,0.3746,143.99699,143.99727,1,0.3349,0.3983,143.99706,1.525E6,1.404E7,1.404E7,,DETECTED,4.253E5,0.3746,143.99699,143.99727,1,0.014,0.0311,0.3349,0.3983,143.99706,1.525E6,1.404E7,0.5102,0.7999,1.404E7,,
22,1.477E5,0.3746,146.02998,146.03011,0,0.343,0.3983,146.03,8.181E5,4.821E6,4.821E6,,DETECTED,1.477E5,0.3746,146.02998,146.03011,,,0.0326,0.343,0.3983,146.03,8.181E5,4.821E6,0.5387,0.8765,4.821E6,,
23,2.323E5,0.3746,151.02579,151.02792,0,0.3349,0.3983,151.02609,6.416E5,8.033E6,8.033E6,,DETECTED,2.323E5,0.3746,151.02579,151.02792,,-0.0335,0.0319,0.3349,0.3983,151.02609,6.416E5,8.033E6,0.5195,0.8677,8.033E6,,
24,3.293E7,0.3746,151.03532,151.03586,2,0.3264,0.47,151.03542,6.251E5,1.083E9,1.083E9,,DETECTED,3.293E7,0.3746,151.03532,151.03586,2,-0.0335,0.0315,0.3264,0.47,151.03542,6.251E5,1.083E9,0.5209,0.8359,1.083E9,,
25,2.035E5,0.3746,151.045,151.0452,0,0.3349,0.3983,151.04505,6.426E5,6.806E6,6.806E6,,DETECTED,2.035E5,0.3746,151.045,151.0452,,-0.0335,0.0298,0.3349,0.3983,151.04505,6.426E5,6.806E6,0.5249,0.8621,6.806E6,,
26,4.994E6,0.3746,152.03574,152.03679,0,0.3349,0.4223,152.0367,8.954E5,1.701E8,1.701E8,1,DETECTED,4.994E6,0.3746,152.03574,152.03679,,,0.0321,0.3349,0.4223,152.0367,8.954E5,1.701E8,0.512,0.8164,1.701E8,1,2
27,5.211E6,0.3746,153.03288,153.03342,0,0.3349,0.4223,153.03294,1.35E6,1.76E8,1.76E8,1,DETECTED,5.211E6,0.3746,153.03288,153.03342,,,0.0304,0.3349,0.4223,153.03294,1.35E6,1.76E8,0.5185,0.8299,1.76E8,1,2
30,3.517E5,0.3746,156.01428,156.01463,0,0.3349,0.3983,156.01437,8.852E5,1.21E7,1.21E7,,DETECTED,3.517E5,0.3746,156.01428,156.01463,,,0.03,0.3349,0.3983,156.01437,8.852E5,1.21E7,0.5163,0.8689,1.21E7,,
31,1.836E5,0.3746,164.06694,164.06715,0,0.3349,0.3983,164.067,5.194E5,5.897E6,5.897E6,,DETECTED,1.836E5,0.3746,164.06694,164.06715,,,0.0325,0.3349,0.3983,164.067,5.194E5,5.897E6,0.5287,0.8632,5.897E6,,
32,2.899E6,0.3746,167.01292,167.01326,1,0.3349,0.3983,167.01299,1.689E6,9.708E7,9.708E7,1,DETECTED,2.899E6,0.3746,167.01292,167.01326,1,-0.0141,0.0317,0.3349,0.3983,167.01299,1.689E6,9.708E7,0.5073,0.7999,9.708E7,1,2
34,1.565E5,0.3746,181.98825,181.99017,0,0.343,0.3983,181.98836,8.473E5,4.927E6,4.927E6,,DETECTED,1.565E5,0.3746,181.98825,181.99017,,,0.0329,0.343,0.3983,181.98836,8.473E5,4.927E6,0.5293,0.8765,4.927E6,,
35,4.732E5,0.3746,182.96219,182.96242,1,0.3349,0.3983,182.96228,5.356E5,1.799E7,1.799E7,,DETECTED,4.732E5,0.3746,182.96219,182.96242,1,0.005,0.0269,0.3349,0.3983,182.96228,5.356E5,1.799E7,0.4908,0.7464,1.799E7,,
36,1.045E5,0.3746,194.05949,194.05992,0,0.343,0.3983,194.05962,5.155E5,3.745E6,3.745E6,,DETECTED,1.045E5,0.3746,194.05949,194.05992,,,0.03,0.343,0.3983,194.05962,5.155E5,3.745E6,0.5227,0.8765,3.745E6,,
37,1.354E6,0.3746,200.97296,200.97345,1,0.3349,0.3983,200.97312,1.5E6,5.179E7,5.179E7,,DETECTED,1.354E6,0.3746,200.97296,200.97345,1,-0.0119,0.0266,0.3349,0.3983,200.97312,1.5E6,5.179E7,0.4959,0.748,5.179E7,,
38,8.853E5,0.3746,216.95082,216.95126,1,0.3349,0.3983,216.95088,1.286E6,3.273E7,3.273E7,,DETECTED,8.853E5,0.3746,216.95082,216.95126,1,-0.004,0.0275,0.3349,0.3983,216.95088,1.286E6,3.273E7,0.4911,0.7456,3.273E7,,
39,3.276E6,0.3746,218.98353,218.98416,1,0.3349,0.3983,218.9838,4.91E6,1.179E8,1.179E8,,DETECTED,3.276E6,0.3746,218.98353,218.98416,1,-0.0209,0.0283,0.3349,0.3983,218.9838,4.91E6,1.179E8,0.4936,0.7475,1.179E8,,
40,8.193E5,0.3746,219.98457,219.98483,0,0.3349,0.3983,219.98466,1.3E6,3.014E7,3.014E7,,DETECTED,8.193E5,0.3746,219.98457,219.98483,,,0.0286,0.3349,0.3983,219.98466,1.3E6,3.014E7,0.493,0.7485,3.014E7,,
41,8.61E5,0.3746,220.98114,220.98151,0,0.3349,0.3983,220.9812,1.256E6,3.298E7,3.298E7,,DETECTED,8.61E5,0.3746,220.98114,220.98151,,,0.0289,0.3349,0.3983,220.9812,1.256E6,3.298E7,0.4945,0.7478,3.298E7,,
42,4.558E6,0.3746,223.98904,223.98985,2,0.3349,0.3983,223.98911,4.728E6,1.813E8,1.813E8,,DETECTED,4.558E6,0.3746,223.98904,223.98985,2,-0.0198,0.0249,0.3349,0.3983,223.98911,4.728E6,1.813E8,0.4974,0.7484,1.813E8,,
43,1.213E6,0.3746,224.98924,224.99028,0,0.3349,0.3983,224.99011,1.197E6,4.848E7,4.848E7,,DETECTED,1.213E6,0.3746,224.98924,224.99028,,,0.0254,0.3349,0.3983,224.99011,1.197E6,4.848E7,0.4935,0.7479,4.848E7,,
44,1.21E6,0.3746,225.98639,225.9868,0,0.3349,0.3983,225.98645,1.303E6,4.741E7,4.741E7,,DETECTED,1.21E6,0.3746,225.98639,225.9868,,,0.0253,0.3349,0.3983,225.98645,1.303E6,4.741E7,0.4942,0.7477,4.741E7,,
45,3.255E5,0.3746,234.96144,234.96178,0,0.3349,0.3983,234.96152,6.529E5,1.116E7,1.116E7,,DETECTED,3.255E5,0.3746,234.96144,234.96178,,,0.0319,0.3349,0.3983,234.96152,6.529E5,1.116E7,0.5031,0.7524,1.116E7,,
46,3.214E5,0.3746,237.0208,237.02087,0,0.3349,0.3904,237.02085,9.076E5,1.239E7,1.239E7,,DETECTED,3.214E5,0.3746,237.0208,237.02087,,,0.026,0.3349,0.3904,237.02085,9.076E5,1.239E7,0.5151,0.7454,1.239E7,,
47,2.287E6,0.3746,239.96663,239.96704,1,0.3349,0.3983,239.96671,2.989E6,8.577E7,8.577E7,,DETECTED,2.287E6,0.3746,239.96663,239.96704,1,-0.0187,0.0274,0.3349,0.3983,239.96671,2.989E6,8.577E7,0.491,0.7456,8.577E7,,
48,3.191E5,0.3746,241.9641,241.9644,0,0.3349,0.3904,241.96422,7.31E5,1.207E7,1.207E7,,DETECTED,3.191E5,0.3746,241.9641,241.9644,,,0.0261,0.3349,0.3904,241.96422,7.31E5,1.207E7,0.5236,0.7481,1.207E7,,
49,9.33E6,0.3746,241.99957,242.00038,2,0.3349,0.4063,241.99965,5.799E5,3.43E8,3.43E8,,DETECTED,9.33E6,0.3746,241.99957,242.00038,2,-0.0266,0.0281,0.3349,0.4063,241.99965,5.799E5,3.43E8,0.4937,0.7477,3.43E8,,
50,2.698E6,0.3746,242.99998,243.00113,0,0.3349,0.3983,243.00087,3.484E6,9.976E7,9.976E7,,DETECTED,2.698E6,0.3746,242.99998,243.00113,,,0.0282,0.3349,0.3983,243.00087,3.484E6,9.976E7,0.4906,0.7462,9.976E7,,
51,2.533E6,0.3746,243.99692,243.99747,0,0.3349,0.3983,243.997,3.642E6,9.215E7,9.215E7,,DETECTED,2.533E6,0.3746,243.99692,243.99747,,,0.0281,0.3349,0.3983,243.997,3.642E6,9.215E7,0.4928,0.747,9.215E7,,
52,3.78E5,0.3746,244.99812,244.99837,0,0.3349,0.3904,244.9982,8.405E5,1.456E7,1.456E7,,DETECTED,3.78E5,0.3746,244.99812,244.99837,,,0.0252,0.3349,0.3904,244.9982,8.405E5,1.456E7,0.5196,0.7493,1.456E7,,
53,1.037E6,0.3746,257.9772,257.97766,1,0.3349,0.3983,257.97727,1.7E6,3.556E7,3.556E7,,DETECTED,1.037E6,0.3746,257.9772,257.97766,1,-0.0096,0.0321,0.3349,0.3983,257.97727,1.7E6,3.556E7,0.4878,0.7435,3.556E7,,
54,1.03E7,0.3746,265.01562,265.01706,2,0.3349,0.4063,265.0157,6.86E5,3.8E8,3.8E8,,DETECTED,1.03E7,0.3746,265.01562,265.01706,2,-0.0277,0.0279,0.3349,0.4063,265.0157,6.86E5,3.8E8,0.4915,0.7467,3.8E8,,
55,3.369E6,0.3746,266.01421,266.01736,0,0.3349,0.3983,266.01696,4.167E6,1.231E8,1.231E8,,DETECTED,3.369E6,0.3746,266.01421,266.01736,,,0.0277,0.3349,0.3983,266.01696,4.167E6,1.231E8,0.4892,0.7461,1.231E8,,
56,2.842E6,0.3746,267.01285,267.01324,0,0.3349,0.3983,267.01292,3.899E6,1.047E8,1.047E8,,DETECTED,2.842E6,0.3746,267.01285,267.01324,,,0.0295,0.3349,0.3983,267.01292,3.899E6,1.047E8,0.4932,0.7473,1.047E8,,
