id,area,rt,mz_range:min,mz_range:max,fragment_scans,rt_range:min,rt_range:max,mz,intensity_range:min,intensity_range:max,height,charge,datafile:20250402_PMA_tp24_000029_01_01.mzML:feature_state,datafile:20250402_PMA_tp24_000029_01_01.mzML:area,datafile:20250402_PMA_tp24_000029_01_01.mzML:rt,datafile:20250402_PMA_tp24_000029_01_01.mzML:mz_range:min,datafile:20250402_PMA_tp24_000029_01_01.mzML:mz_range:max,datafile:20250402_PMA_tp24_000029_01_01.mzML:fragment_scans,datafile:20250402_PMA_tp24_000029_01_01.mzML:rt_ms2_apex_distance,datafile:20250402_PMA_tp24_000029_01_01.mzML:fwhm,datafile:20250402_PMA_tp24_000029_01_01.mzML:rt_range:min,datafile:20250402_PMA_tp24_000029_01_01.mzML:rt_range:max,datafile:20250402_PMA_tp24_000029_01_01.mzML:mz,datafile:20250402_PMA_tp24_000029_01_01.mzML:intensity_range:min,datafile:20250402_PMA_tp24_000029_01_01.mzML:intensity_range:max,datafile:20250402_PMA_tp24_000029_01_01.mzML:asymmetry_factor,datafile:20250402_PMA_tp24_000029_01_01.mzML:tailing_factor,datafile:20250402_PMA_tp24_000029_01_01.mzML:height,datafile:20250402_PMA_tp24_000029_01_01.mzML:charge,datafile:20250402_PMA_tp24_000029_01_01.mzML:isotopes
1,3.94E5,0.3473,129.13879,129.13908,1,0.3223,0.4026,129.13882,6.167E5,1.275E7,1.275E7,,DETECTED,3.94E5,0.3473,129.13879,129.13908,1,-0.0114,0.0261,0.3223,0.4026,129.13882,6.167E5,1.275E7,2.4242,1.4457,1.275E7,,
2,2.576E6,0.3473,146.16527,146.16562,2,0.3223,0.4026,146.16529,4.839E6,8.815E7,8.815E7,1,DETECTED,2.576E6,0.3473,146.16527,146.16562,2,-0.0126,0.0228,0.3223,0.4026,146.16529,4.839E6,8.815E7,2.3984,1.4586,8.815E7,1,2
4,1.98E5,0.3473,160.18073,160.18115,1,0.3223,0.4026,160.18092,5.889E5,6.295E6,6.295E6,,DETECTED,1.98E5,0.3473,160.18073,160.18115,1,-0.003,0.0265,0.3223,0.4026,160.18092,5.889E5,6.295E6,2.8188,1.5716,6.295E6,,
5,1.283E5,0.3473,235.95195,235.95232,1,0.3308,0.3867,235.95207,7.763E5,7.325E6,7.325E6,,DETECTED,1.283E5,0.3473,235.95195,235.95232,1,-0.0018,0.0138,0.3308,0.3867,235.95207,7.763E5,7.325E6,3.8736,1.6977,7.325E6,,
6,5.031E5,0.3709,125.03809,125.03826,0,0.3393,0.4026,125.03812,1.044E6,1.647E7,1.647E7,,DETECTED,5.031E5,0.3709,125.03809,125.03826,,,0.0317,0.3393,0.4026,125.03812,1.044E6,1.647E7,1.0543,1.1589,1.647E7,,
7,1.519E5,0.3709,141.05086,141.05113,0,0.3473,0.4026,141.05093,1.053E6,5.004E6,5.004E6,,DETECTED,1.519E5,0.3709,141.05086,141.05113,,,0.0351,0.3473,0.4026,141.05093,1.053E6,5.004E6,1.3368,1.1684,5.004E6,,
8,7.473E4,0.3709,170.04617,170.0473,0,0.3473,0.4026,170.04702,5.759E5,2.319E6,2.319E6,,DETECTED,7.473E4,0.3709,170.04617,170.0473,,,0.0347,0.3473,0.4026,170.04702,5.759E5,2.319E6,1.3368,1.1684,2.319E6,,
9,5.904E5,0.3709,182.96214,182.96223,1,0.3393,0.4026,182.96221,8.417E5,1.942E7,1.942E7,,DETECTED,5.904E5,0.3709,182.96214,182.96223,1,0.0129,0.0351,0.3393,0.4026,182.96221,8.417E5,1.942E7,0.9957,0.9758,1.942E7,,
10,1.379E5,0.3709,194.05945,194.05974,0,0.3473,0.4026,194.05957,8.18E5,4.077E6,4.077E6,,DETECTED,1.379E5,0.3709,194.05945,194.05974,,,0.0349,0.3473,0.4026,194.05957,8.18E5,4.077E6,1.3368,1.1684,4.077E6,,
11,1.729E5,0.3709,197.04083,197.04123,0,0.3393,0.4026,197.04096,6.087E5,4.401E6,4.401E6,,DETECTED,1.729E5,0.3709,197.04083,197.04123,,,0.041,0.3393,0.4026,197.04096,6.087E5,4.401E6,1.3047,0.9996,4.401E6,,
12,1.094E6,0.3709,219.98453,219.98485,0,0.3393,0.4026,219.98459,1.956E6,3.522E7,3.522E7,,DETECTED,1.094E6,0.3709,219.98453,219.98485,,,0.0362,0.3393,0.4026,219.98459,1.956E6,3.522E7,1.0012,0.9835,3.522E7,,
13,1.591E6,0.3709,224.98949,224.99026,0,0.3393,0.4026,224.99005,1.862E6,5.407E7,5.407E7,,DETECTED,1.591E6,0.3709,224.98949,224.99026,,,0.0311,0.3393,0.4026,224.99005,1.862E6,5.407E7,1.0186,0.9885,5.407E7,,
14,2.824E5,0.3709,234.96133,234.96162,0,0.3393,0.4026,234.96139,6.169E5,9.156E6,9.156E6,,DETECTED,2.824E5,0.3709,234.96133,234.96162,,,0.0351,0.3393,0.4026,234.96139,6.169E5,9.156E6,0.9998,0.9836,9.156E6,,
15,3.349E5,0.3709,268.94769,268.94818,0,0.3393,0.4026,268.94777,6.018E5,9.54E6,9.54E6,,DETECTED,3.349E5,0.3709,268.94769,268.94818,,,0.0461,0.3393,0.4026,268.94777,6.018E5,9.54E6,0.7361,0.8767,9.54E6,,
16,2.925E5,0.3709,281.97952,281.98022,0,0.3393,0.4026,281.97959,7.105E5,7.763E6,7.763E6,,DETECTED,2.925E5,0.3709,281.97952,281.98022,,,0.0812,0.3393,0.4026,281.97959,7.105E5,7.763E6,0.7461,0.8814,7.763E6,,
17,2.999E5,0.3709,288.95544,288.95621,0,0.3393,0.4026,288.95561,7.45E5,8.215E6,8.215E6,,DETECTED,2.999E5,0.3709,288.95544,288.95621,,,0.0486,0.3393,0.4026,288.95561,7.45E5,8.215E6,0.7456,0.8816,8.215E6,,
18,5.438E4,0.3709,306.96631,306.96704,0,0.3393,0.3946,306.9666,5.774E5,1.663E6,1.663E6,,DETECTED,5.438E4,0.3709,306.96631,306.96704,,,0.036,0.3393,0.3946,306.9666,5.774E5,1.663E6,0.7489,0.8745,1.663E6,,
19,1.254E6,0.3709,309.97437,309.97485,1,0.3393,0.4026,309.97442,2.865E6,3.303E7,3.303E7,,DETECTED,1.254E6,0.3709,309.97437,309.97485,1,-0.013,0.0562,0.3393,0.4026,309.97442,2.865E6,3.303E7,0.7445,0.8806,3.303E7,,
20,5.222E5,0.3709,310.97294,310.97556,0,0.3393,0.4026,310.97546,1.359E6,1.371E7,1.371E7,,DETECTED,5.222E5,0.3709,310.97294,310.97556,,,0.0527,0.3393,0.4026,310.97546,1.359E6,1.371E7,0.7486,0.8829,1.371E7,,
21,3.793E5,0.3709,402.93655,402.93765,0,0.3393,0.4026,402.93667,5.342E5,1.087E7,1.087E7,,DETECTED,3.793E5,0.3709,402.93655,402.93765,,,0.0449,0.3393,0.4026,402.93667,5.342E5,1.087E7,0.9448,0.8743,1.087E7,,
22,2.041E6,0.3709,423.95496,423.95563,1,0.3393,0.4026,423.95501,2.46E6,6.106E7,6.106E7,,DETECTED,2.041E6,0.3709,423.95496,423.95563,1,-0.0096,0.0389,0.3393,0.4026,423.95501,2.46E6,6.106E7,0.9299,0.8726,6.106E7,,
23,1.154E6,0.3709,424.95593,424.95682,0,0.3393,0.4026,424.95617,1.61E6,3.393E7,3.393E7,,DETECTED,1.154E6,0.3709,424.95593,424.95682,,,0.039,0.3393,0.4026,424.95617,1.61E6,3.393E7,0.9296,0.874,3.393E7,,
24,5.289E5,0.3709,426.95395,426.95419,0,0.3393,0.4026,426.95407,5.441E5,1.587E7,1.587E7,,DETECTED,5.289E5,0.3709,426.95395,426.95419,,,0.0429,0.3393,0.4026,426.95407,5.441E5,1.587E7,0.9232,0.8716,1.587E7,,
25,2.442E6,0.3788,123.04056,123.04076,1,0.3393,0.4186,123.04058,9.35E5,7.904E7,7.904E7,,DETECTED,2.442E6,0.3788,123.04056,123.04076,1,-0.0141,0.032,0.3393,0.4186,123.04058,9.35E5,7.904E7,0.5281,0.8373,7.904E7,,
26,3.134E5,0.3788,124.03966,124.04134,0,0.3473,0.4026,124.04122,1.051E6,1.097E7,1.097E7,,DETECTED,3.134E5,0.3788,124.03966,124.04134,,,0.0306,0.3473,0.4026,124.04122,1.051E6,1.097E7,0.4994,0.7619,1.097E7,,
27,2.559E6,0.3788,125.98643,125.98664,9,0.0027,0.4105,125.98648,5.711E5,6.083E7,6.083E7,,DETECTED,2.559E6,0.3788,125.98643,125.98664,9,-0.3603,0.035,0.0027,0.4105,125.98648,5.711E5,6.083E7,0.504,0.5274,6.083E7,,
28,3.826E6,0.3788,128.01945,128.0199,1,0.3393,0.4265,128.01949,5.498E5,1.204E8,1.204E8,,DETECTED,3.826E6,0.3788,128.01945,128.0199,1,-0.0198,0.0343,0.3393,0.4265,128.01949,5.498E5,1.204E8,0.522,0.8401,1.204E8,,
29,5.024E5,0.3788,129.01947,129.02025,0,0.3393,0.4105,129.02006,5.139E5,1.553E7,1.553E7,,DETECTED,5.024E5,0.3788,129.01947,129.02025,,,0.0395,0.3393,0.4105,129.02006,5.139E5,1.553E7,0.5142,0.8441,1.553E7,,
30,7.339E5,0.3788,130.01698,130.01723,0,0.3393,0.4105,130.01702,6.635E5,2.207E7,2.207E7,,DETECTED,7.339E5,0.3788,130.01698,130.01723,,,0.0401,0.3393,0.4105,130.01702,6.635E5,2.207E7,0.5189,0.7829,2.207E7,,
31,2.615E5,0.3788,138.02751,138.02776,0,0.3393,0.4026,138.02759,7.541E5,8.229E6,8.229E6,,DETECTED,2.615E5,0.3788,138.02751,138.02776,,,0.0343,0.3393,0.4026,138.02759,7.541E5,8.229E6,0.5044,0.7518,8.229E6,,
32,1.502E5,0.3788,139.01791,139.01832,0,0.3473,0.4026,139.01797,7.831E5,4.653E6,4.653E6,,DETECTED,1.502E5,0.3788,139.01791,139.01832,,,0.0369,0.3473,0.4026,139.01797,7.831E5,4.653E6,0.5321,0.8763,4.653E6,,
33,1.042E5,0.3788,140.96172,140.9619,0,0.3473,0.4026,140.96181,5.619E5,3.704E6,3.704E6,,DETECTED,1.042E5,0.3788,140.96172,140.9619,,,0.034,0.3473,0.4026,140.96181,5.619E5,3.704E6,0.5204,0.8763,3.704E6,,
34,3.518E5,0.3788,143.99695,143.99724,0,0.3393,0.4026,143.997,1.332E6,1.065E7,1.065E7,,DETECTED,3.518E5,0.3788,143.99695,143.99724,,,0.041,0.3393,0.4026,143.997,1.332E6,1.065E7,0.5233,0.8003,1.065E7,,
35,1.946E5,0.3788,146.02992,146.03018,0,0.3393,0.4026,146.02997,7.361E5,5.882E6,5.882E6,,DETECTED,1.946E5,0.3788,146.02992,146.03018,,,0.0358,0.3393,0.4026,146.02997,7.361E5,5.882E6,0.5266,0.8003,5.882E6,,
36,1.452E5,0.3788,150.93571,150.93742,0,0.3473,0.4026,150.93721,1.045E6,5.958E6,5.958E6,,DETECTED,1.452E5,0.3788,150.93571,150.93742,,,0.0298,0.3473,0.4026,150.93721,1.045E6,5.958E6,0.6099,0.8763,5.958E6,,
37,4.037E7,0.3788,151.03532,151.03581,3,0.3308,0.4741,151.03537,7.285E5,1.252E9,1.252E9,,DETECTED,4.037E7,0.3788,151.03532,151.03581,3,-0.0356,0.0349,0.3308,0.4741,151.03537,7.285E5,1.252E9,0.5223,0.8148,1.252E9,,
38,2.619E5,0.3788,151.04488,151.0453,0,0.3393,0.4026,151.04504,9.302E5,7.965E6,7.965E6,,DETECTED,2.619E5,0.3788,151.04488,151.0453,,-0.0356,0.0428,0.3393,0.4026,151.04504,9.302E5,7.965E6,0.5171,0.8003,7.965E6,,
39,7.413E4,0.3788,151.13062,151.13254,0,0.3473,0.4026,151.13113,6.778E5,2.43E6,2.43E6,,DETECTED,7.413E4,0.3788,151.13062,151.13254,,,0.0573,0.3473,0.4026,151.13113,6.778E5,2.43E6,0.7527,0.8763,2.43E6,,
40,6.213E6,0.3788,152.03574,152.03668,0,0.3308,0.4265,152.03663,5.007E5,2.009E8,2.009E8,,DETECTED,6.213E6,0.3788,152.03574,152.03668,,,0.0331,0.3308,0.4265,152.03663,5.007E5,2.009E8,0.5158,0.831,2.009E8,,
41,6.37E6,0.3788,153.03282,153.03337,0,0.3308,0.4345,153.03287,6.655E5,1.966E8,1.966E8,1,DETECTED,6.37E6,0.3788,153.03282,153.03337,,,0.0349,0.3308,0.4345,153.03287,6.655E5,1.966E8,0.5184,0.8135,1.966E8,1,2
42,3.453E5,0.3788,153.0388,153.0399,0,0.3393,0.4026,153.03892,1.129E6,1.07E7,1.07E7,,DETECTED,3.453E5,0.3788,153.0388,153.0399,,,0.0409,0.3393,0.4026,153.03892,1.129E6,1.07E7,0.5225,0.8003,1.07E7,,
44,4.076E5,0.3788,156.01427,156.01463,1,0.3393,0.4026,156.01429,9.684E5,1.319E7,1.319E7,,DETECTED,4.076E5,0.3788,156.01427,156.01463,1,0.0118,0.036,0.3393,0.4026,156.01429,9.684E5,1.319E7,0.5159,0.8704,1.319E7,,
45,2.529E5,0.3788,164.06685,164.06726,0,0.3393,0.4026,164.06695,6.171E5,7.703E6,7.703E6,,DETECTED,2.529E5,0.3788,164.06685,164.06726,,,0.038,0.3393,0.4026,164.06695,6.171E5,7.703E6,0.542,0.8677,7.703E6,,
46,2.495E6,0.3788,167.01289,167.0132,1,0.3393,0.4026,167.01293,2E6,7.701E7,7.701E7,1,DETECTED,2.495E6,0.3788,167.01289,167.0132,1,-0.0186,0.0364,0.3393,0.4026,167.01293,2E6,7.701E7,0.5153,0.8003,7.701E7,1,2
48,8.352E5,0.3788,169.04591,169.04623,1,0.3393,0.4186,169.04598,5.492E5,2.372E7,2.372E7,,DETECTED,8.352E5,0.3788,169.04591,169.04623,1,-0.0017,0.0392,0.3393,0.4186,169.04598,5.492E5,2.372E7,0.6445,0.7979,2.372E7,,
49,1.285E5,0.3788,171.04338,171.04373,0,0.3473,0.4026,171.04351,6.704E5,4.137E6,4.137E6,,DETECTED,1.285E5,0.3788,171.04338,171.04373,,,0.0337,0.3473,0.4026,171.04351,6.704E5,4.137E6,0.5327,0.8763,4.137E6,,
50,2.37E5,0.3788,181.98817,181.98863,0,0.3393,0.4026,181.98825,8.942E5,7.538E6,7.538E6,,DETECTED,2.37E5,0.3788,181.98817,181.98863,,,0.0405,0.3393,0.4026,181.98825,8.942E5,7.538E6,0.5203,0.8003,7.538E6,,
51,8.671E5,0.3788,192.06183,192.06213,1,0.3393,0.4186,192.0619,5.434E5,2.465E7,2.465E7,,DETECTED,8.671E5,0.3788,192.06183,192.06213,1,-0.0051,0.0371,0.3393,0.4186,192.0619,5.434E5,2.465E7,0.6447,0.793,2.465E7,,
52,1.004E5,0.3788,193.06265,193.06369,0,0.3473,0.4026,193.06305,5.313E5,3.313E6,3.313E6,,DETECTED,1.004E5,0.3788,193.06265,193.06369,,,0.0323,0.3473,0.4026,193.06305,5.313E5,3.313E6,0.533,0.8763,3.313E6,,
53,1.744E6,0.3788,200.97251,200.9734,1,0.3393,0.4026,200.97306,2.072E6,6.172E7,6.172E7,,DETECTED,1.744E6,0.3788,200.97251,200.9734,1,-0.0108,0.0318,0.3393,0.4026,200.97306,2.072E6,6.172E7,0.4952,0.7434,6.172E7,,
54,4.248E5,0.3788,201.97379,201.97414,0,0.3393,0.4026,201.97386,5.054E5,1.425E7,1.425E7,,DETECTED,4.248E5,0.3788,201.97379,201.97414,,,0.0324,0.3393,0.4026,201.97386,5.054E5,1.425E7,0.4954,0.7457,1.425E7,,
55,4.59E5,0.3788,202.97034,202.97066,0,0.3393,0.4026,202.97047,5.88E5,1.599E7,1.599E7,,DETECTED,4.59E5,0.3788,202.97034,202.97066,,,0.0283,0.3393,0.4026,202.97047,5.88E5,1.599E7,0.4921,0.7452,1.599E7,,
56,1.88E5,0.3788,209.07706,209.07736,0,0.3393,0.4026,209.07713,6.485E5,5.924E6,5.924E6,,DETECTED,1.88E5,0.3788,209.07706,209.07736,,,0.0347,0.3393,0.4026,209.07713,6.485E5,5.924E6,0.5002,0.8003,5.924E6,,
57,3.516E5,0.3788,214.00358,214.00511,0,0.3393,0.4026,214.00477,6.903E5,1.162E7,1.162E7,,DETECTED,3.516E5,0.3788,214.00358,214.00511,,,0.0348,0.3393,0.4026,214.00477,6.903E5,1.162E7,0.4955,0.7446,1.162E7,,
58,8.047E5,0.3788,216.95079,216.95116,1,0.3393,0.4026,216.95083,1.408E6,2.72E7,2.72E7,,DETECTED,8.047E5,0.3788,216.95079,216.95116,1,-0.0029,0.0345,0.3393,0.4026,216.95083,1.408E6,2.72E7,0.4838,0.7381,2.72E7,,
59,4.144E6,0.3788,218.98322,218.98407,1,0.3393,0.4026,218.98375,7.315E6,1.378E8,1.378E8,,DETECTED,4.144E6,0.3788,218.98322,218.98407,1,-0.022,0.0329,0.3393,0.4026,218.98375,7.315E6,1.378E8,0.4893,0.7433,1.378E8,,
60,1.113E6,0.3788,220.98105,220.98128,0,0.3393,0.4026,220.98113,1.776E6,3.816E7,3.816E7,,DETECTED,1.113E6,0.3788,220.98105,220.98128,,,0.0315,0.3393,0.4026,220.98113,1.776E6,3.816E7,0.4859,0.7415,3.816E7,,
61,5.935E6,0.3788,223.98897,223.98936,2,0.3393,0.4026,223.98903,7.241E6,2.079E8,2.079E8,,DETECTED,5.935E6,0.3788,223.98897,223.98936,2,-0.0254,0.0304,0.3393,0.4026,223.98903,7.241E6,2.079E8,0.4925,0.7446,2.079E8,,
62,1.568E6,0.3788,225.98633,225.98672,0,0.3393,0.4026,225.98638,2.013E6,5.578E7,5.578E7,,DETECTED,1.568E6,0.3788,225.98633,225.98672,,,0.0293,0.3393,0.4026,225.98638,2.013E6,5.578E7,0.496,0.7452,5.578E7,,
63,4.221E5,0.3788,237.02046,237.02126,0,0.3393,0.4026,237.02083,7.295E5,1.432E7,1.432E7,,DETECTED,4.221E5,0.3788,237.02046,237.02126,,,0.0311,0.3393,0.4026,237.02083,7.295E5,1.432E7,0.4923,0.7455,1.432E7,,
64,2.068E6,0.3788,239.9666,239.96695,1,0.3393,0.4026,239.96665,3.157E6,6.933E7,6.933E7,,DETECTED,2.068E6,0.3788,239.9666,239.96695,1,-0.0119,0.0321,0.3393,0.4026,239.96665,3.157E6,6.933E7,0.4853,0.7405,6.933E7,,
65,2.964E5,0.3788,240.95305,240.9537,0,0.3393,0.4026,240.95325,6.958E5,8.512E6,8.512E6,,DETECTED,2.964E5,0.3788,240.95305,240.9537,,,0.041,0.3393,0.4026,240.95325,6.958E5,8.512E6,0.3947,0.7048,8.512E6,,
66,2.848E5,0.3788,240.96756,240.96793,0,0.3393,0.4026,240.96779,5.453E5,9.163E6,9.163E6,,DETECTED,2.848E5,0.3788,240.96756,240.96793,,,0.0393,0.3393,0.4026,240.96779,5.453E5,9.163E6,0.4898,0.741,9.163E6,,
