id,area,rt,mz_range:min,mz_range:max,fragment_scans,rt_range:min,rt_range:max,mz,intensity_range:min,intensity_range:max,height,charge,datafile:20250402_PMA_tp24_000033_01_01.mzML:feature_state,datafile:20250402_PMA_tp24_000033_01_01.mzML:area,datafile:20250402_PMA_tp24_000033_01_01.mzML:rt,datafile:20250402_PMA_tp24_000033_01_01.mzML:mz_range:min,datafile:20250402_PMA_tp24_000033_01_01.mzML:mz_range:max,datafile:20250402_PMA_tp24_000033_01_01.mzML:fragment_scans,datafile:20250402_PMA_tp24_000033_01_01.mzML:rt_ms2_apex_distance,datafile:20250402_PMA_tp24_000033_01_01.mzML:fwhm,datafile:20250402_PMA_tp24_000033_01_01.mzML:rt_range:min,datafile:20250402_PMA_tp24_000033_01_01.mzML:rt_range:max,datafile:20250402_PMA_tp24_000033_01_01.mzML:mz,datafile:20250402_PMA_tp24_000033_01_01.mzML:intensity_range:min,datafile:20250402_PMA_tp24_000033_01_01.mzML:intensity_range:max,datafile:20250402_PMA_tp24_000033_01_01.mzML:asymmetry_factor,datafile:20250402_PMA_tp24_000033_01_01.mzML:tailing_factor,datafile:20250402_PMA_tp24_000033_01_01.mzML:height,datafile:20250402_PMA_tp24_000033_01_01.mzML:charge,datafile:20250402_PMA_tp24_000033_01_01.mzML:isotopes
1,7.273E5,0.3492,267.90173,267.90219,8,0.0028,0.389,267.90184,7.324E5,7.569E6,7.569E6,,DETECTED,7.273E5,0.3492,267.90173,267.90219,8,-0.3264,0.5515,0.0028,0.389,267.90184,7.324E5,7.569E6,0.0918,0.5472,7.569E6,,
2,3.785E5,0.3492,295.89651,295.89688,6,0.0028,0.381,295.8967,6.759E5,3.546E6,3.546E6,,DETECTED,3.785E5,0.3492,295.89651,295.89688,6,-0.3045,0.3673,0.0028,0.381,295.8967,6.759E5,3.546E6,0.3602,0.5459,3.546E6,,
3,2.496E5,0.3571,128.01949,128.01971,0,0.3329,0.389,128.01952,6.791E5,1.191E7,1.191E7,,DETECTED,2.496E5,0.3571,128.01949,128.01971,,,0.0207,0.3329,0.389,128.01952,6.791E5,1.191E7,1.4053,1.2283,1.191E7,,
4,7.947E5,0.3571,128.95096,128.95129,8,0.0028,0.4209,128.95102,7.392E5,1.225E7,1.225E7,,DETECTED,7.947E5,0.3571,128.95096,128.95129,8,-0.3245,0.0266,0.0028,0.4209,128.95102,7.392E5,1.225E7,0.3408,0.6728,1.225E7,,
5,9.232E5,0.3571,137.9872,137.98784,8,0.0028,0.4367,137.98742,7.504E5,1.483E7,1.483E7,,DETECTED,9.232E5,0.3571,137.9872,137.98784,8,-0.3309,0.026,0.0028,0.4367,137.98742,7.504E5,1.483E7,0.2273,0.6944,1.483E7,,
6,2.563E5,0.3571,138.99544,138.99643,0,0.3329,0.389,138.99546,8.397E5,1.1E7,1.1E7,,DETECTED,2.563E5,0.3571,138.99544,138.99643,,,0.024,0.3329,0.389,138.99546,8.397E5,1.1E7,1.5262,1.2679,1.1E7,,
7,4.063E5,0.3571,139.96335,139.96367,1,0.3329,0.3971,139.96339,5.322E5,1.75E7,1.75E7,,DETECTED,4.063E5,0.3571,139.96335,139.96367,1,0.0175,0.0229,0.3329,0.3971,139.96339,5.322E5,1.75E7,1.518,1.3811,1.75E7,,
8,7.727E6,0.3571,141.95857,141.95908,10,0.0028,0.4367,141.95872,9.165E5,2.88E8,2.88E8,,DETECTED,7.727E6,0.3571,141.95857,141.95908,10,-0.3428,0.0229,0.0028,0.4367,141.95872,9.165E5,2.88E8,1.5236,1.3919,2.88E8,,
9,3.116E6,0.3571,151.03542,151.03584,2,0.3329,0.413,151.03544,6.88E5,1.39E8,1.39E8,,DETECTED,3.116E6,0.3571,151.03542,151.03584,2,-0.0119,0.0224,0.3329,0.413,151.03544,6.88E5,1.39E8,1.4437,1.0117,1.39E8,,
10,3.213E5,0.3571,152.0359,152.03648,0,0.3329,0.389,152.03639,9.406E5,1.537E7,1.537E7,,DETECTED,3.213E5,0.3571,152.0359,152.03648,,,0.0198,0.3329,0.389,152.03639,9.406E5,1.537E7,1.4196,1.0035,1.537E7,,
