id,area,rt,mz_range:min,mz_range:max,fragment_scans,rt_range:min,rt_range:max,mz,intensity_range:min,intensity_range:max,height,charge,datafile:20250402_PMA_tp24_000024_03_01.mzML:feature_state,datafile:20250402_PMA_tp24_000024_03_01.mzML:area,datafile:20250402_PMA_tp24_000024_03_01.mzML:rt,datafile:20250402_PMA_tp24_000024_03_01.mzML:mz_range:min,datafile:20250402_PMA_tp24_000024_03_01.mzML:mz_range:max,datafile:20250402_PMA_tp24_000024_03_01.mzML:fragment_scans,datafile:20250402_PMA_tp24_000024_03_01.mzML:rt_ms2_apex_distance,datafile:20250402_PMA_tp24_000024_03_01.mzML:fwhm,datafile:20250402_PMA_tp24_000024_03_01.mzML:rt_range:min,datafile:20250402_PMA_tp24_000024_03_01.mzML:rt_range:max,datafile:20250402_PMA_tp24_000024_03_01.mzML:mz,datafile:20250402_PMA_tp24_000024_03_01.mzML:intensity_range:min,datafile:20250402_PMA_tp24_000024_03_01.mzML:intensity_range:max,datafile:20250402_PMA_tp24_000024_03_01.mzML:asymmetry_factor,datafile:20250402_PMA_tp24_000024_03_01.mzML:tailing_factor,datafile:20250402_PMA_tp24_000024_03_01.mzML:height,datafile:20250402_PMA_tp24_000024_03_01.mzML:charge,datafile:20250402_PMA_tp24_000024_03_01.mzML:isotopes
1,3.424E6,0.1937,139.98224,139.98251,9,0.0027,0.364,139.98245,1.475E6,1.3E7,1.3E7,,DETECTED,3.424E6,0.1937,139.98224,139.98251,9,-0.186,0.3528,0.0027,0.364,139.98245,1.475E6,1.3E7,0.8915,0.9458,1.3E7,,
2,1.693E5,0.3482,129.13878,129.13889,1,0.3231,0.3956,129.13882,8.153E5,6.345E6,6.345E6,,DETECTED,1.693E5,0.3482,129.13878,129.13889,1,-0.003,0.0217,0.3231,0.3956,129.13882,8.153E5,6.345E6,1.9071,1.4437,6.345E6,,
3,1.239E6,0.3482,146.16525,146.16548,1,0.3231,0.4035,146.1653,1.96E6,4.789E7,4.789E7,1,DETECTED,1.239E6,0.3482,146.16525,146.16548,1,-0.0126,0.02,0.3231,0.4035,146.1653,1.96E6,4.789E7,2.0982,1.4312,4.789E7,1,2
5,1.438E5,0.3482,160.1808,160.18098,1,0.3231,0.3956,160.18091,6.526E5,5.08E6,5.08E6,,DETECTED,1.438E5,0.3482,160.1808,160.18098,1,-0.0018,0.0247,0.3231,0.3956,160.18091,6.526E5,5.08E6,3.3141,1.4437,5.08E6,,
6,1.335E5,0.3482,235.95198,235.95221,0,0.3316,0.3877,235.95211,8.952E5,6.955E6,6.955E6,,DETECTED,1.335E5,0.3482,235.95198,235.95221,,,0.017,0.3316,0.3877,235.95211,8.952E5,6.955E6,2.1915,1.6941,6.955E6,,
7,9.477E4,0.3482,244.94675,244.94736,0,0.3316,0.3956,244.9469,7.131E5,3.209E6,3.209E6,,DETECTED,9.477E4,0.3482,244.94675,244.94736,,,0.0209,0.3316,0.3956,244.9469,7.131E5,3.209E6,2.8686,1.9343,3.209E6,,
8,9.081E4,0.3482,263.94681,263.94702,0,0.3316,0.3877,263.94695,6.727E5,4.531E6,4.531E6,,DETECTED,9.081E4,0.3482,263.94681,263.94702,,,0.0184,0.3316,0.3877,263.94695,6.727E5,4.531E6,1.6794,1.6941,4.531E6,,
9,8.433E4,0.3482,272.94168,272.94199,0,0.3316,0.3956,272.94181,5.515E5,2.857E6,2.857E6,,DETECTED,8.433E4,0.3482,272.94168,272.94199,,,0.0263,0.3316,0.3956,272.94181,5.515E5,2.857E6,2.5622,1.9343,2.857E6,,
10,9.296E4,0.364,186.00987,186.0101,0,0.3402,0.3956,186.00998,5.055E5,3.435E6,3.435E6,,DETECTED,9.296E4,0.364,186.00987,186.0101,,,0.0276,0.3402,0.3956,186.00998,5.055E5,3.435E6,1.838,1.1659,3.435E6,,
11,1.097E5,0.364,269.94867,269.94901,0,0.3402,0.3956,269.94879,8.236E5,3.367E6,3.367E6,,DETECTED,1.097E5,0.364,269.94867,269.94901,,,0.0351,0.3402,0.3956,269.94879,8.236E5,3.367E6,1.3318,1.1659,3.367E6,,
12,1.125E5,0.364,270.94461,270.9455,0,0.3402,0.3956,270.94495,8.277E5,3.669E6,3.669E6,,DETECTED,1.125E5,0.364,270.94461,270.9455,,,0.03,0.3402,0.3956,270.94495,8.277E5,3.669E6,1.3318,1.1659,3.669E6,,
13,9.069E4,0.364,282.98016,282.98053,0,0.3402,0.3956,282.98025,8.787E5,2.913E6,2.913E6,,DETECTED,9.069E4,0.364,282.98016,282.98053,,,0.0324,0.3402,0.3956,282.98025,8.787E5,2.913E6,1.3318,1.1659,2.913E6,,
14,5.128E4,0.364,305.96997,305.97101,0,0.3402,0.3956,305.97036,5.144E5,1.572E6,1.572E6,,DETECTED,5.128E4,0.364,305.96997,305.97101,,,0.0327,0.3402,0.3956,305.97036,5.144E5,1.572E6,1.3318,1.1659,1.572E6,,
15,4.957E4,0.364,327.9487,327.94989,0,0.3402,0.3956,327.94924,5.025E5,1.591E6,1.591E6,,DETECTED,4.957E4,0.364,327.9487,327.94989,,,0.0301,0.3402,0.3956,327.94924,5.025E5,1.591E6,1.3318,1.1659,1.591E6,,
16,4.99E4,0.364,329.98175,329.98322,0,0.3402,0.3956,329.98234,5.602E5,1.495E6,1.495E6,,DETECTED,4.99E4,0.364,329.98175,329.98322,,,0.0351,0.3402,0.3956,329.98234,5.602E5,1.495E6,1.3318,1.1659,1.495E6,,
17,1.077E5,0.364,372.94333,372.94385,0,0.3402,0.3956,372.94359,6.661E5,3.559E6,3.559E6,,DETECTED,1.077E5,0.364,372.94333,372.94385,,,0.0294,0.3402,0.3956,372.94359,6.661E5,3.559E6,1.4033,1.1659,3.559E6,,
18,3.335E5,0.364,395.95905,395.95959,0,0.3402,0.3956,395.9595,1.582E6,1.134E7,1.134E7,,DETECTED,3.335E5,0.364,395.95905,395.95959,,,0.0298,0.3402,0.3956,395.9595,1.582E6,1.134E7,1.4838,1.1659,1.134E7,,
19,2.122E5,0.364,397.95715,397.95801,0,0.3402,0.3956,397.95749,1.081E6,6.938E6,6.938E6,,DETECTED,2.122E5,0.364,397.95715,397.95801,,,0.0314,0.3402,0.3956,397.95749,1.081E6,6.938E6,1.4372,1.1659,6.938E6,,
20,5.005E5,0.364,400.93851,400.93878,1,0.3402,0.3956,400.93862,3.311E6,1.657E7,1.657E7,,DETECTED,5.005E5,0.364,400.93851,400.93878,1,0.0197,0.0302,0.3402,0.3956,400.93862,3.311E6,1.657E7,1.7849,1.1659,1.657E7,,
21,3.101E5,0.364,402.93655,402.93668,0,0.3402,0.3956,402.93663,2.048E6,9.909E6,9.909E6,,DETECTED,3.101E5,0.364,402.93655,402.93668,,,0.0336,0.3402,0.3956,402.93663,2.048E6,9.909E6,1.3318,1.1659,9.909E6,,
22,1.176E5,0.364,403.9371,403.93829,0,0.3402,0.3956,403.93748,7.745E5,3.799E6,3.799E6,,DETECTED,1.176E5,0.364,403.9371,403.93829,,,0.0324,0.3402,0.3956,403.93748,7.745E5,3.799E6,1.3318,1.1659,3.799E6,,
23,8.608E4,0.364,442.91339,442.91788,0,0.3402,0.3956,442.91517,5.421E5,2.643E6,2.643E6,,DETECTED,8.608E4,0.364,442.91339,442.91788,,,0.0386,0.3402,0.3956,442.91517,5.421E5,2.643E6,1.3318,1.1659,2.643E6,,
24,2.331E5,0.364,470.91208,470.91318,0,0.3402,0.3956,470.91246,1.107E6,7.335E6,7.335E6,,DETECTED,2.331E5,0.364,470.91208,470.91318,,,0.0346,0.3402,0.3956,470.91246,1.107E6,7.335E6,1.0188,1.1659,7.335E6,,
25,1.235E5,0.364,471.9122,471.91315,0,0.3402,0.3956,471.91272,7.421E5,3.794E6,3.794E6,,DETECTED,1.235E5,0.364,471.9122,471.91315,,,0.0362,0.3402,0.3956,471.91272,7.421E5,3.794E6,1.04,1.1659,3.794E6,,
26,9.707E4,0.364,626.86487,626.8678,0,0.3402,0.3956,626.86555,5.517E5,3.541E6,3.541E6,,DETECTED,9.707E4,0.364,626.86487,626.8678,,,0.0281,0.3402,0.3956,626.86555,5.517E5,3.541E6,1.4129,1.1659,3.541E6,,
27,1.791E6,0.3718,123.04054,123.04075,1,0.3402,0.4115,123.04056,6.197E5,6.604E7,6.604E7,,DETECTED,1.791E6,0.3718,123.04054,123.04075,1,-0.0096,0.0294,0.3402,0.4115,123.04056,6.197E5,6.604E7,0.8843,0.8636,6.604E7,,
28,3.497E5,0.3718,125.03808,125.03816,0,0.3402,0.3956,125.0381,1.342E6,1.355E7,1.355E7,,DETECTED,3.497E5,0.3718,125.03808,125.03816,,,0.0264,0.3402,0.3956,125.0381,1.342E6,1.355E7,1.0053,0.9782,1.355E7,,
29,2.142E6,0.3718,125.98637,125.98654,9,0.0027,0.4035,125.98646,1.518E6,5.651E7,5.651E7,,DETECTED,2.142E6,0.3718,125.98637,125.98654,9,-0.3532,0.0275,0.0027,0.4035,125.98646,1.518E6,5.651E7,0.8663,0.5284,5.651E7,,
30,3.01E6,0.3718,128.01945,128.01979,2,0.3316,0.4195,128.01947,5.247E5,1.072E8,1.072E8,,DETECTED,3.01E6,0.3718,128.01945,128.01979,2,-0.0141,0.0283,0.3316,0.4195,128.01947,5.247E5,1.072E8,0.8846,0.9056,1.072E8,,
31,3.952E5,0.3718,129.02002,129.02013,0,0.3402,0.4035,129.02005,6.853E5,1.325E7,1.325E7,,DETECTED,3.952E5,0.3718,129.02002,129.02013,,,0.0295,0.3402,0.4035,129.02005,6.853E5,1.325E7,0.9068,0.8764,1.325E7,,
32,5.912E5,0.3718,130.01698,130.01718,0,0.3402,0.4035,130.01701,8.658E5,1.975E7,1.975E7,,DETECTED,5.912E5,0.3718,130.01698,130.01718,,,0.0308,0.3402,0.4035,130.01701,8.658E5,1.975E7,0.8914,0.8723,1.975E7,,
33,1.687E5,0.3718,138.02754,138.02762,0,0.3402,0.3956,138.0276,7.638E5,5.911E6,5.911E6,,DETECTED,1.687E5,0.3718,138.02754,138.02762,,,0.0295,0.3402,0.3956,138.0276,7.638E5,5.911E6,0.9827,0.8755,5.911E6,,
34,1.182E5,0.3718,141.05089,141.05106,0,0.3402,0.3956,141.05095,6.184E5,4.039E6,4.039E6,,DETECTED,1.182E5,0.3718,141.05089,141.05106,,,0.0287,0.3402,0.3956,141.05095,6.184E5,4.039E6,0.9557,0.8755,4.039E6,,
35,2.831E5,0.3718,143.99698,143.9971,0,0.3402,0.3956,143.99701,1.568E6,9.523E6,9.523E6,,DETECTED,2.831E5,0.3718,143.99698,143.9971,,,0.0317,0.3402,0.3956,143.99701,1.568E6,9.523E6,0.9563,0.8755,9.523E6,,
36,1.607E5,0.3718,146.02994,146.03004,0,0.3402,0.3956,146.02997,9.655E5,5.046E6,5.046E6,,DETECTED,1.607E5,0.3718,146.02994,146.03004,,,0.032,0.3402,0.3956,146.02997,9.655E5,5.046E6,0.9357,0.8755,5.046E6,,
37,1.857E5,0.3718,151.02565,151.02788,0,0.3402,0.3956,151.0258,1.17E6,7.195E6,7.195E6,,DETECTED,1.857E5,0.3718,151.02565,151.02788,,-0.0277,0.0266,0.3402,0.3956,151.0258,1.17E6,7.195E6,0.9428,0.8755,7.195E6,,
38,3.276E7,0.3718,151.03519,151.03578,2,0.3316,0.467,151.03535,6.385E5,1.143E9,1.143E9,,DETECTED,3.276E7,0.3718,151.03519,151.03578,2,-0.0277,0.0291,0.3316,0.467,151.03535,6.385E5,1.143E9,0.8937,0.9064,1.143E9,,
39,2.115E5,0.3718,151.04488,151.04504,0,0.3402,0.3956,151.04497,9.526E5,7.105E6,7.105E6,,DETECTED,2.115E5,0.3718,151.04488,151.04504,,-0.0277,0.033,0.3402,0.3956,151.04497,9.526E5,7.105E6,0.9805,0.8755,7.105E6,,
40,5.073E6,0.3718,152.03581,152.03673,0,0.3316,0.4195,152.03665,7.595E5,1.89E8,1.89E8,,DETECTED,5.073E6,0.3718,152.03581,152.03673,,,0.0298,0.3316,0.4195,152.03665,7.595E5,1.89E8,0.8895,0.9073,1.89E8,,
