id,area,rt,mz_range:min,mz_range:max,fragment_scans,rt_range:min,rt_range:max,mz,intensity_range:min,intensity_range:max,height,charge,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:feature_state,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:area,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:rt,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:mz_range:min,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:mz_range:max,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:fragment_scans,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:rt_ms2_apex_distance,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:fwhm,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:rt_range:min,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:rt_range:max,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:mz,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:intensity_range:min,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:intensity_range:max,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:asymmetry_factor,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:tailing_factor,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:height,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:charge,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:isotopes
17,1.154E5,0.584,238.91441,238.91461,1,0.4991,0.6437,238.91452,5.247E5,1.104E6,1.104E6,,DETECTED,1.154E5,0.584,238.91441,238.91461,1,-0.0291,0.1261,0.4991,0.6437,238.91452,5.247E5,1.104E6,0.7034,0.8517,1.104E6,,
18,1.09E6,0.6522,176.97205,176.97223,19,0.5076,1.332,176.97213,5.717E5,1.74E6,1.74E6,,DETECTED,1.09E6,0.6522,176.97205,176.97223,19,-0.1058,0.7608,0.5076,1.332,176.97213,5.717E5,1.74E6,4.7009,2.8505,1.74E6,,
19,1.106E6,0.6607,186.95633,186.95653,18,0.5161,1.332,186.95645,5.404E5,1.739E6,1.739E6,,DETECTED,1.106E6,0.6607,186.95633,186.95653,18,-0.0877,0.7753,0.5161,1.332,186.95645,5.404E5,1.739E6,4.6397,2.8199,1.739E6,,
20,9.151E4,0.6692,141.97903,141.9792,0,0.584,0.7119,141.97909,5.003E5,1.039E6,1.039E6,,DETECTED,9.151E4,0.6692,141.97903,141.9792,,,0.098,0.584,0.7119,141.97909,5.003E5,1.039E6,0.5006,0.7503,1.039E6,,
21,1.926E5,0.6862,138.98619,138.98633,0,0.5755,0.7893,138.98625,6.069E5,1.252E6,1.252E6,,DETECTED,1.926E5,0.6862,138.98619,138.98633,,,0.2092,0.5755,0.7893,138.98625,6.069E5,1.252E6,0.9307,0.9653,1.252E6,,
22,5.379E6,0.6862,139.98232,139.98257,18,0.5076,1.1164,139.98246,3.264E6,1.266E7,1.266E7,,DETECTED,5.379E6,0.6862,139.98232,139.98257,18,-0.1601,0.2202,0.5076,1.1164,139.98246,3.264E6,1.266E7,2.4092,1.7046,1.266E7,,
23,9.257E5,0.6862,236.93858,236.93889,18,0.4906,1.4808,236.93874,5.605E5,1.202E6,1.202E6,,DETECTED,9.257E5,0.6862,236.93858,236.93889,18,-0.0875,0.9378,0.4906,1.4808,236.93874,5.605E5,1.202E6,4.0632,2.5316,1.202E6,,
24,5.899E5,1.0391,243.87801,243.87825,4,0.5584,1.332,243.87814,5.067E5,9.81E5,9.81E5,,DETECTED,5.899E5,1.0391,243.87801,243.87825,4,-0.2523,0.762,0.5584,1.332,243.87814,5.067E5,9.81E5,0.6094,0.8047,9.81E5,,
25,9.665E5,1.0647,130.96655,130.96667,18,0.5076,1.3407,130.96661,5.951E5,1.459E6,1.459E6,,DETECTED,9.665E5,1.0647,130.96655,130.96667,18,-0.4757,0.8971,0.5076,1.3407,130.96661,5.951E5,1.459E6,0.4954,0.7477,1.459E6,,
26,8.447E6,1.0647,158.96147,158.96162,21,0.4906,1.3931,158.96154,4.36E6,1.184E7,1.184E7,,DETECTED,8.447E6,1.0647,158.96147,158.96162,21,-0.5447,0.8269,0.4906,1.3931,158.96154,4.36E6,1.184E7,0.572,0.786,1.184E7,,
27,8.811E5,1.0647,224.89882,224.89909,16,0.5584,1.332,224.89895,5.312E5,1.523E6,1.523E6,,DETECTED,8.811E5,1.0647,224.89882,224.89909,16,-0.4245,0.7267,0.5584,1.332,224.89895,5.312E5,1.523E6,0.5279,0.764,1.523E6,,
28,2.913E5,1.1509,182.02925,182.02937,3,1.125,1.2712,182.02934,5.499E5,3.779E6,3.779E6,,DETECTED,2.913E5,1.1509,182.02925,182.02937,3,-0.0058,0.0786,1.125,1.2712,182.02934,5.499E5,3.779E6,4.724,2.8293,3.779E6,,
29,4.697E4,1.1509,224.07616,224.07625,1,1.1336,1.1937,224.07619,5.996E5,1.282E6,1.282E6,,DETECTED,4.697E4,1.1509,224.07616,224.07625,1,0.0039,0.0518,1.1336,1.1937,224.07619,5.996E5,1.282E6,2.4862,1.7431,1.282E6,,
30,1.922E6,1.2108,139.98236,139.98254,5,1.1164,1.332,139.98248,4.61E6,1.258E7,1.258E7,,DETECTED,1.922E6,1.2108,139.98236,139.98254,5,-0.0842,0.2041,1.1164,1.332,139.98248,4.61E6,1.258E7,1.2833,1.1416,1.258E7,,
31,1.537E6,1.2108,247.91473,247.91507,33,0.6181,2.0858,247.91492,5.912E5,1.36E6,1.36E6,,DETECTED,1.537E6,1.2108,247.91473,247.91507,33,-0.5536,1.4811,0.6181,2.0858,247.91492,5.912E5,1.36E6,1.4761,1.238,1.36E6,,
32,5.135E5,1.542,139.98236,139.98248,4,1.4808,1.5769,139.98243,3.137E6,7.282E6,7.282E6,,DETECTED,5.135E5,1.542,139.98236,139.98248,4,-0.0245,0.0693,1.4808,1.5769,139.98243,3.137E6,7.282E6,0.5699,0.785,7.282E6,,
33,1.29E5,1.8485,239.1488,239.14894,2,1.8047,1.8833,239.14886,8.372E5,2.904E6,2.904E6,,DETECTED,1.29E5,1.8485,239.1488,239.14894,2,-0.0399,0.0372,1.8047,1.8833,239.14886,8.372E5,2.904E6,0.7967,0.8984,2.904E6,,
34,4.09E4,1.8485,256.17538,256.17545,1,1.8134,1.8746,256.17541,5.293E5,1.177E6,1.177E6,,DETECTED,4.09E4,1.8485,256.17538,256.17545,1,-0.0048,0.0383,1.8134,1.8746,256.17541,5.293E5,1.177E6,0.7462,0.8731,1.177E6,,
