id,area,rt,mz_range:min,mz_range:max,fragment_scans,rt_range:min,rt_range:max,mz,intensity_range:min,intensity_range:max,height,charge,datafile:20250402_PMA_tp24_solanum_qc_04.mzML:feature_state,datafile:20250402_PMA_tp24_solanum_qc_04.mzML:area,datafile:20250402_PMA_tp24_solanum_qc_04.mzML:rt,datafile:20250402_PMA_tp24_solanum_qc_04.mzML:mz_range:min,datafile:20250402_PMA_tp24_solanum_qc_04.mzML:mz_range:max,datafile:20250402_PMA_tp24_solanum_qc_04.mzML:fragment_scans,datafile:20250402_PMA_tp24_solanum_qc_04.mzML:rt_ms2_apex_distance,datafile:20250402_PMA_tp24_solanum_qc_04.mzML:fwhm,datafile:20250402_PMA_tp24_solanum_qc_04.mzML:rt_range:min,datafile:20250402_PMA_tp24_solanum_qc_04.mzML:rt_range:max,datafile:20250402_PMA_tp24_solanum_qc_04.mzML:mz,datafile:20250402_PMA_tp24_solanum_qc_04.mzML:intensity_range:min,datafile:20250402_PMA_tp24_solanum_qc_04.mzML:intensity_range:max,datafile:20250402_PMA_tp24_solanum_qc_04.mzML:asymmetry_factor,datafile:20250402_PMA_tp24_solanum_qc_04.mzML:tailing_factor,datafile:20250402_PMA_tp24_solanum_qc_04.mzML:height,datafile:20250402_PMA_tp24_solanum_qc_04.mzML:charge,datafile:20250402_PMA_tp24_solanum_qc_04.mzML:isotopes
1,1.561E5,0.3454,129.13881,129.13907,1,0.32,0.3929,129.13893,5.997E5,6.174E6,6.174E6,,DETECTED,1.561E5,0.3454,129.13881,129.13907,1,-0.003,0.0204,0.32,0.3929,129.13893,5.997E5,6.174E6,2.592,1.8043,6.174E6,,
2,9.944E5,0.3454,146.16522,146.16563,1,0.32,0.4008,146.16543,6.869E5,4.667E7,4.667E7,,DETECTED,9.944E5,0.3454,146.16522,146.16563,1,-0.0127,0.015,0.32,0.4008,146.16543,6.869E5,4.667E7,1.8133,2.0424,4.667E7,,
3,1.016E5,0.3454,160.18092,160.18114,1,0.3287,0.3849,160.18107,6.073E5,4.429E6,4.429E6,,DETECTED,1.016E5,0.3454,160.18092,160.18114,1,-0.0019,0.0193,0.3287,0.3849,160.18107,6.073E5,4.429E6,2.0219,1.6869,4.429E6,,
4,1.315E5,0.3454,235.95201,235.95239,0,0.3287,0.3849,235.95226,9.271E5,7.68E6,7.68E6,,DETECTED,1.315E5,0.3454,235.95201,235.95239,,,0.0132,0.3287,0.3849,235.95226,9.271E5,7.68E6,3.0269,1.6869,7.68E6,,
5,8.776E4,0.3612,171.04356,171.0437,0,0.3374,0.3929,171.04362,5.256E5,3.204E6,3.204E6,,DETECTED,8.776E4,0.3612,171.04356,171.0437,,,0.0408,0.3374,0.3929,171.04362,5.256E5,3.204E6,1.8445,1.1643,3.204E6,,
6,1.161E5,0.3612,258.9639,258.96411,0,0.3374,0.3929,258.96398,1.013E6,3.5E6,3.5E6,,DETECTED,1.161E5,0.3612,258.9639,258.96411,,,0.0335,0.3374,0.3929,258.96398,1.013E6,3.5E6,1.3286,1.1643,3.5E6,,
7,9.477E4,0.3612,304.96936,304.96979,0,0.3374,0.3929,304.96956,9.625E5,3.13E6,3.13E6,,DETECTED,9.477E4,0.3612,304.96936,304.96979,,,0.0304,0.3374,0.3929,304.96956,9.625E5,3.13E6,1.3286,1.1643,3.13E6,,
8,1.185E5,0.3612,312.97293,312.97342,0,0.3374,0.3929,312.97313,1.036E6,3.575E6,3.575E6,,DETECTED,1.185E5,0.3612,312.97293,312.97342,,,0.0338,0.3374,0.3929,312.97313,1.036E6,3.575E6,1.3286,1.1643,3.575E6,,
9,6.106E4,0.3612,314.95331,314.95389,0,0.3374,0.3929,314.9536,5.145E5,2.111E6,2.111E6,,DETECTED,6.106E4,0.3612,314.95331,314.95389,,,0.0303,0.3374,0.3929,314.9536,5.145E5,2.111E6,1.3286,1.1643,2.111E6,,
10,8.165E4,0.3612,327.9845,327.98544,0,0.3374,0.3929,327.98516,8.367E5,2.58E6,2.58E6,,DETECTED,8.165E4,0.3612,327.9845,327.98544,,,0.0334,0.3374,0.3929,327.98516,8.367E5,2.58E6,1.3286,1.1643,2.58E6,,
