id,area,rt,mz_range:min,mz_range:max,fragment_scans,rt_range:min,rt_range:max,mz,intensity_range:min,intensity_range:max,height,charge,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_00.mzML:feature_state,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_00.mzML:area,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_00.mzML:rt,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_00.mzML:mz_range:min,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_00.mzML:mz_range:max,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_00.mzML:fragment_scans,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_00.mzML:rt_ms2_apex_distance,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_00.mzML:fwhm,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_00.mzML:rt_range:min,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_00.mzML:rt_range:max,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_00.mzML:mz,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_00.mzML:intensity_range:min,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_00.mzML:intensity_range:max,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_00.mzML:asymmetry_factor,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_00.mzML:tailing_factor,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_00.mzML:height,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_00.mzML:charge,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_00.mzML:isotopes
1,1.707E5,0.337,130.00819,130.00829,2,0.3196,0.3883,130.00827,5.002E5,6.31E6,6.31E6,,DETECTED,1.707E5,0.337,130.00819,130.00829,2,-0.0035,0.0222,0.3196,0.3883,130.00827,5.002E5,6.31E6,2.3202,1.8393,6.31E6,,
2,1.062E5,0.337,143.03975,143.03986,1,0.3196,0.3798,143.03983,6.366E5,3.78E6,3.78E6,,DETECTED,1.062E5,0.337,143.03975,143.03986,1,0.0039,0.0239,0.3196,0.3798,143.03983,6.366E5,3.78E6,2.1947,1.7344,3.78E6,,
3,4.263E5,0.337,158.00311,158.00325,2,0.0029,0.3883,158.00319,5.292E5,8.979E6,8.979E6,,DETECTED,4.263E5,0.337,158.00311,158.00325,2,-0.0047,0.0219,0.0029,0.3883,158.00319,5.292E5,8.979E6,0.4544,0.6026,8.979E6,,
4,6.803E5,0.3539,125.9865,125.98662,9,0.0029,0.3883,125.98656,1.062E6,5.332E6,5.332E6,,DETECTED,6.803E5,0.3539,125.9865,125.98662,9,-0.3348,0.028,0.0029,0.3883,125.98656,1.062E6,5.332E6,0.0981,0.5491,5.332E6,,
5,7.231E5,0.3539,185.98354,185.98375,0,0.0029,0.3883,185.98365,1.222E6,5.381E6,5.381E6,,DETECTED,7.231E5,0.3539,185.98354,185.98375,,,0.0284,0.0029,0.3883,185.98365,1.222E6,5.381E6,0.0981,0.5491,5.381E6,,
6,1.03E5,0.4146,217.95976,217.95996,2,0.3883,0.4756,217.95982,5.493E5,2.177E6,2.177E6,,DETECTED,1.03E5,0.4146,217.95976,217.95996,2,-0.0026,0.0575,0.3883,0.4756,217.95982,5.493E5,2.177E6,2.3216,1.6608,2.177E6,,
7,8.539E4,0.4584,224.89903,224.89922,2,0.3883,0.4756,224.89909,6.149E5,1.482E6,1.482E6,,DETECTED,8.539E4,0.4584,224.89903,224.89922,2,-0.0377,0.066,0.3883,0.4756,224.89909,6.149E5,1.482E6,0.245,0.6225,1.482E6,,
8,1.095E6,0.4584,267.90176,267.90228,24,0.3883,1.4833,267.90201,5.945E5,1.312E6,1.312E6,,DETECTED,1.095E6,0.4584,267.90176,267.90228,24,-0.0334,1.045,0.3883,1.4833,267.90201,5.945E5,1.312E6,14.614,7.807,1.312E6,,
9,3.055E5,0.4756,128.95105,128.95114,6,0.4058,0.6838,128.95108,7.399E5,1.67E6,1.67E6,,DETECTED,3.055E5,0.4756,128.95105,128.95114,6,-0.0472,0.2544,0.4058,0.6838,128.95108,7.399E5,1.67E6,2.9828,1.9914,1.67E6,,
10,5.48E5,0.4756,172.97729,172.97746,3,0.4584,0.6574,172.97734,5.252E5,5.441E6,5.441E6,,DETECTED,5.48E5,0.4756,172.97729,172.97746,3,0.005,0.0995,0.4584,0.6574,172.97734,5.252E5,5.441E6,9.8375,7.1372,5.441E6,,
11,5.226E5,0.4756,196.00862,196.00877,4,0.4584,0.6312,196.00867,5.417E5,5.662E6,5.662E6,,DETECTED,5.226E5,0.4756,196.00862,196.00877,4,-0.0023,0.1056,0.4584,0.6312,196.00867,5.417E5,5.662E6,8.4917,5.0507,5.662E6,,
12,2.184E5,0.4842,214.00366,214.0038,3,0.4584,0.6049,214.0037,5.185E5,2.474E6,2.474E6,,DETECTED,2.184E5,0.4842,214.00366,214.0038,3,-0.0024,0.0913,0.4584,0.6049,214.0037,5.185E5,2.474E6,4.6935,2.8468,2.474E6,,
13,1.525E6,0.4927,168.01357,168.01385,4,0.4584,0.6574,168.01377,5.961E5,1.52E7,1.52E7,,DETECTED,1.525E6,0.4927,168.01357,168.01385,4,-0.0205,0.1068,0.4584,0.6574,168.01377,5.961E5,1.52E7,3.7602,2.639,1.52E7,,
