row ID,row m/z,row retention time,intensity_measure,ion_mobility,ion_mobility_unit,ccs,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,20250402_PMA_tp24_000004_01_01.mzML Peak area,20250402_PMA_tp24_000008_01_01.mzML Peak area,20250402_PMA_tp24_000021_01_01.mzML Peak area,20250402_PMA_tp24_000022_01_01.mzML Peak area,20250402_PMA_tp24_000023_01_01.mzML Peak area,20250402_PMA_tp24_000024_03_01.mzML Peak area,20250402_PMA_tp24_000026_01_01.mzML Peak area,20250402_PMA_tp24_000027_01_01.mzML Peak area,20250402_PMA_tp24_000028_01_01.mzML Peak area,20250402_PMA_tp24_000029_01_01.mzML Peak area,20250402_PMA_tp24_000029_01_02.mzML Peak area,20250402_PMA_tp24_000031_01_01.mzML Peak area,20250402_PMA_tp24_000032_01_01.mzML Peak area,20250402_PMA_tp24_000033_01_01.mzML Peak area,20250402_PMA_tp24_000035_01_01.mzML Peak area,20250402_PMA_tp24_solanum_mapp_bk_post_00.mzML Peak area,20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML Peak area,20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML Peak area,20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML Peak area,20250402_PMA_tp24_solanum_qc_00.mzML Peak area,20250402_PMA_tp24_solanum_qc_01.mzML Peak area,20250402_PMA_tp24_solanum_qc_02.mzML Peak area,20250402_PMA_tp24_solanum_qc_03.mzML Peak area,20250402_PMA_tp24_solanum_qc_04.mzML Peak area,20250402_PMA_tp24_solanum_qc_05.mzML Peak area,Unnamed: 38
13,143.0397997729898,0.34294215,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3678144.5,3799356.8,5011186.5,4054161.0,0.0,0.0,0.0,0.0,0.0,0.0,
14,235.9521423829445,0.3456031,height,,,,,,,,,,,6189166.0,5432233.5,7466503.5,5303483.0,7869691.0,5444591.5,7253508.5,6519611.5,6103765.5,5195685.0,5986286.0,0.0,0.0,2265170.8,5540460.0,0.0,1187022.6,1190296.2,1925408.6,7503273.0,7133711.0,7067439.0,6985462.5,5337566.0,6170352.0,
15,146.16535065221106,0.34812886,height,,,,,,,,,,,81642020.0,74685090.0,59744336.0,49094344.0,49484188.0,40297940.0,59336988.0,54001228.0,45658384.0,81805820.0,57611860.0,0.0,0.0,2278826.8,84793980.0,0.0,0.0,0.0,0.0,33550938.0,27858526.0,34623584.0,29193622.0,35368600.0,35816024.0,
16,160.1809757345032,0.34941152,height,,,,,,,,,,,8568019.0,4327268.5,2005696.9,6062156.0,5297493.0,4266922.0,6250606.0,5256893.5,2666218.0,6099638.0,1595046.9,0.0,0.0,0.0,5327073.5,0.0,0.0,0.0,0.0,3090787.8,2567817.8,3144382.0,2734407.2,4428933.0,3735606.0,
17,267.901893804041,0.29907835,height,,,,,,,,,,,1562985.0,1576395.6,1509280.2,1488289.0,1521465.9,1608748.1,1452937.0,1555326.1,1525420.1,1516951.8,1425720.1,7331879.5,8072744.0,7116911.5,1501583.8,1499886.1,1454394.9,1596130.0,1596319.6,1610270.2,1686130.9,1512419.8,1441029.9,1363055.5,1561528.2,
18,295.8967527789791,0.30249953,height,,,,,,,,,,,801130.8,801762.25,822024.7,777597.56,771347.0,920016.0,763064.25,802376.06,796271.7,827110.75,779779.94,3643019.8,4285254.0,3511446.5,775469.6,797727.06,776626.25,857837.7,859869.3,818740.9,814317.4,816219.56,775492.8,766243.06,781948.1,
19,129.1388756765859,0.35064936,height,,,,,,,,,,,11766377.0,11154674.0,8494607.0,7056604.5,7116114.5,5340617.0,8287564.5,7589981.5,6723896.0,12204000.0,8176654.0,0.0,0.0,28613394.0,12493270.0,0.0,0.0,0.0,0.0,4782781.5,3934145.2,4856615.0,4192114.0,4767720.5,4810141.0,
20,251.92961754622215,0.32003132,height,,,,,,,,,,,885576.06,887687.3,873370.2,741117.06,748997.44,804370.6,711583.56,760770.6,942606.2,799521.8,971386.5,737335.25,749592.1,811067.9,1578019.1,1555681.4,1627707.4,1674031.2,1751069.4,897741.44,841461.6,789598.2,768359.56,713802.5,788626.3,
21,185.98361292754157,0.31304404,height,,,,,,,,,,,931161.06,855142.3,1236696.1,1419282.2,1243581.9,1134451.1,1301765.8,1541412.0,757077.06,715574.06,1580494.0,1508006.0,1170858.6,1200406.8,1579447.0,4938694.5,5211068.0,5069053.5,7340747.5,601561.8,651837.94,1015068.1,1354156.5,1635475.8,1829066.5,
22,505.7491701973128,0.3575653,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20176502.0,26459540.0,9223178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
23,128.95103847130295,0.2951879,height,,,,,,,,,,,1297403.1,1418597.2,1250542.5,1071321.4,1247596.4,1383583.2,1078409.6,1125988.0,1362055.6,1435804.2,1013123.06,11666650.0,15184180.0,11780657.0,1057194.5,1095692.1,992871.2,1695514.6,1629612.6,1572276.2,1521541.8,1300973.4,1183655.1,970252.3,1059098.6,
24,139.96337861444024,0.3575653,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17365782.0,24635724.0,16258119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
25,154.9904483681314,0.31765395,height,,,,,,,,,,,2598963.2,2693519.8,2659503.5,2287820.2,2457111.0,2701553.5,2254562.5,2528084.5,2669729.2,2668072.2,2191679.5,179862670.0,251294740.0,165467470.0,2269293.8,2348830.5,2339214.0,2729850.0,2689773.5,3551557.5,2884998.8,2947373.5,2393035.2,2141101.5,2313511.8,
26,169.97759334217903,0.3021149,height,,,,,,,,,,,2324628.5,2613985.5,2213357.5,2215753.5,2246610.8,2311929.2,2195447.5,2274582.2,2699385.0,2647800.8,1970564.5,26498860.0,31493694.0,22622778.0,2045064.5,2024264.6,1894220.4,2989993.5,2969505.2,2975951.5,2963702.2,2311169.8,2327886.8,1830289.8,2064196.8,
27,180.9900588374224,0.31104255,height,,,,,,,,,,,0.0,586949.0,604516.2,566335.75,580785.3,622768.94,519942.3,615682.7,625110.6,613999.8,0.0,42096876.0,57896504.0,38252420.0,0.0,556658.44,0.0,619422.3,591951.0,0.0,643009.8,0.0,528852.2,0.0,0.0,
28,182.98540134212777,0.31112695,height,,,,,,,,,,,9421653.0,9365952.0,9862811.0,8752520.0,9158295.0,9829731.0,8675097.0,9279139.0,9607858.0,9884988.0,8445048.0,694810900.0,935004300.0,625749800.0,8745059.0,9052366.0,9008441.0,9635006.0,9858198.0,13816138.0,10375347.0,9653746.0,8833488.0,8601707.0,9057635.0,
29,255.93895962922656,0.3639192,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23413534.0,21839664.0,55964428.0,0.0,0.0,0.0,0.0,0.0,5551541.0,3454774.5,0.0,0.0,0.0,0.0,
30,273.94962261301765,0.3575653,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11235693.0,9536751.0,24159946.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
31,287.8887136968749,0.3575653,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179650770.0,258254660.0,128918120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
32,326.9200949602362,0.3575653,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26934220.0,38888284.0,18639924.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
33,328.915252307676,0.3575653,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210900500.0,302780000.0,150018350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
34,359.8185501694172,0.3575653,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32115024.0,41663240.0,16832192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
35,264.872933285333,0.3575653,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20815022.0,31585228.0,16531648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36,285.89350390064266,0.3575653,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23030124.0,32614446.0,19850344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37,300.92058261068536,0.3575653,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20734002.0,29356358.0,16309610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
38,305.8995815205471,0.3575653,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23534224.0,34039492.0,16397845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
39,404.8160844943512,0.36019862,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18051484.0,21644854.0,12796434.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
40,141.95881206129533,0.32345635,height,,,,,,,,,,,2996770.2,2951121.5,2984726.5,2794345.5,2854266.2,3114908.0,2855936.5,2837526.2,2959121.5,3054143.5,2735159.0,291230660.0,397604030.0,265804480.0,2813942.2,2838624.8,2787136.2,3097149.2,3123281.5,5280157.0,4026570.5,3599426.8,2811100.5,2608509.2,2851673.8,
