"feature_id_full","feature_id","feature_mz","feature_rt","sirius_molecularformula"
"2634_514.32_3.9",2634,514.318740148385,3.9323735,"C22H45N5O7"
"2635_519.28_4",2635,519.275533729737,3.9642665,"C32H40O7"
"2636_866.48_3.9",2636,866.48316797211,3.9323735,"C40H65N11O9"
"2637_353.73_3.9",2637,353.730081595132,3.9400623,NA
"2638_879.49_3.9",2638,879.493076820638,3.9368327,"C41H76O18"
"2639_514.32_3.9",2639,514.322516521446,3.9302418,"C23H44O11"
"264_395.1_0.5",264,395.103197021246,0.54976434,"C16H21FN2O5S"
"2640_217.25_3.9",2640,217.246513047185,3.9359074,NA
"2641_707.29_3.9",2641,707.292159685956,3.9349582,"C36H42N4O11"
"2642_861.19_3.9",2642,861.186562013264,3.9375548,NA
"2643_880_3.9",2643,879.997760288475,3.936445,NA
"2644_875.91_3.9",2644,875.914719276961,3.9367447,NA
"2645_873.52_3.9",2645,873.515888500439,3.937759,"C53H65N3O7"
"2646_309.12_3.9",2646,309.118138072996,3.939151,"C13H24O4S2"
"2647_445.75_3.9",2647,445.747407616686,3.9372962,NA
"2648_868.5_3.9",2648,868.503489913429,3.9385893,"C45H75NO16"
"2649_906.46_3.9",2649,906.45827309469,3.9375334,"C45H73NO15"
"265_426.05_0.6",265,426.045381329345,0.55241936,"C16H13ClF3N3O4"
"2650_461.21_3.9",2650,461.212053533526,3.9367754,"C24H29NO5S"
"2651_869_3.9",2651,869.004774294822,3.9387746,NA
"2652_137.99_3.9",2652,137.987564128648,3.9470565,NA
"2653_476.73_3.9",2653,476.732513284504,3.9386852,NA
"2654_890.49_3.9",2654,890.486687535407,3.9382772,"C45H73NO15"
"2655_722.45_3.9",2655,722.447703443293,3.9400797,"C39H65NO12"
"2656_443.27_3.9",2656,443.269902073763,3.9400733,"C21H40N4O5S"
"2657_326.14_3.9",2657,326.144507021508,3.9395387,"C13H24O4S2"
"2658_398.34_3.9",2658,398.341792170963,3.9410064,"C27H45NO2"
"2659_691.26_3.9",2659,691.259716291066,3.9478757,"C30H44N4O12"
"266_261.09_0.6",266,261.094381981551,0.6065429,"C9H18O7"
"2660_398.34_3.9",2660,398.338874526608,3.9481068,NA
"2661_443.27_3.9",2661,443.266649893057,3.9481068,"C24H31N3O4"
"2662_476.73_3.9",2662,476.729081026895,3.9481068,NA
"2663_722.44_3.9",2663,722.442943145035,3.9481068,"C37H65NO11"
"2664_868.5_3.9",2664,868.49678569961,3.9481068,"C47H66N2O12"
"2665_890.48_4",2665,890.478372122435,3.9560199,"C49H73NO11"
"2666_188.09_3.9",2666,188.091705986214,3.9493775,"C8H10O4"
"2667_706.45_3.9",2667,706.452660873071,3.94937,"C39H65NO11"
"2668_560.39_4",2668,560.394363978531,3.9526272,"C33H50O6"
"2669_158.96_4",2669,158.961147123956,3.977133,NA
"267_284.17_0.6",267,284.170350267835,0.5533195,"C10H26O4Si2"
"2670_139.99_4",2670,139.987970282174,3.9793742,NA
"2671_845.4_4",2671,845.396071680165,3.9651227,NA
"2672_845.39_4",2672,845.390535256903,3.9766743,"C39H66O17"
"2673_859.71_4",2673,859.711293771187,3.9662166,NA
"2674_213.13_4",2674,213.131298348059,3.964702,NA
"2675_213.12_4",2675,213.122585986917,3.9647028,NA
"2676_837.49_4",2676,837.489939437705,3.9642391,"C47H68N2O11"
"2677_857.52_4",2677,857.521388937927,3.9637766,"C53H68N4O6"
"2678_293.12_4",2678,293.122922793499,3.9633505,"C12H22O9"
"2679_472.2_4",2679,472.203528200354,3.9647138,"C20H33F2N3O5"
"268_382.06_0.6",268,382.055498753441,0.5533054,"C12H14FN5O6"
"2680_852.51_4",2680,852.508710824904,3.9661198,"C45H75NO15"
"2681_213.25_4",2681,213.247865684973,3.9660919,NA
"2682_850.49_4",2682,850.493038929394,3.963911,"C45H73NO15"
"2683_874.97_4",2683,874.966296541026,3.9660528,NA
"2684_213.26_4",2684,213.256284003853,3.9647136,NA
"2685_1705.02_4",2685,1705.0189062949,3.9684052,NA
"2686_875.48_4",2686,875.484808429653,3.9683356,"C45H70N4O11S"
"2687_874.49_4",2687,874.485769924757,3.968404,"C45H69N7O8"
"2688_1704.02_4",2688,1704.01844043162,3.970256,NA
"2689_277.11_4",2689,277.10731562041,3.9581673,"C13H20NO3"
"269_411.08_0.6",269,411.081018413905,0.55508703,"C15H20N2O9"
"2690_188.09_4",2690,188.090265110045,3.9717586,"C6H11N4O3"
"2691_213.25_4",2691,213.246174791392,3.9717586,NA
"2692_560.39_4",2692,560.390245283113,3.9717586,"C28H50N2O8"
"2693_845.39_4",2693,845.385385533141,3.9717586,"C42H58N6O10"
"2694_852.5_3.9",2694,852.503709158116,3.891733,"C47H71N3O12"
"2695_874.48_4",2695,874.481564309803,3.9681456,"C44H64N4O13"
"2696_1705_4",2696,1705.00378035007,3.9717586,NA
"2697_524.2_4",2697,524.202381289261,3.9735134,"C27H31N3O9"
"2698_852.51_4",2698,852.509929854609,3.9546375,"C45H73NO14"
"2699_163_4",2699,162.998248391871,3.9695516,"C6H9ClO2S"
"27_180.99_0.3",27,180.990058837422,0.31104255,NA
"270_499.2_0.6",270,499.199796709014,0.6088033,NA
"2700_850.49_4",2700,850.487518746205,3.9796317,"C37H69N11O9"
"2701_234.08_4",2701,234.076253263461,3.9814084,"C10H15N2O2"
"2702_387.16_4",2702,387.155320343147,3.9832702,"C20H19NO6"
"2703_259.1_4",2703,259.096906304761,3.9875488,"C15H16O5"
"2704_704.43_4",2704,704.430298132565,3.987515,"C44H59NO5"
"2705_630.33_3.9",2705,630.333104432631,3.9392655,"C32H44N4O6S"
"2706_838.5_4",2706,838.496306212215,3.9549956,"C44H68O14"
