"features"	"PC1"	"PC2"	"PC3"
1	0.000229523799228516	-0.00962363778028415	-0.00879218657991928
10	-0.00248591009661807	-0.00702297873629884	-0.00521426254462347
100	-0.0153122238203209	-0.00252271976252414	-0.00523457702303837
1000	0.0111169981878007	-0.00551947968752555	0.024537854496004
1005	0.0048464760527127	-0.0145111089972217	-0.000561896603970654
1006	-0.0120955554041811	0.00147234002950158	0.0130472371470199
1007	0.0159367078938435	-0.0117322862697747	0.022140982909304
1008	-0.00373488806938052	-0.0172625514871409	0.00480342257228331
1009	-0.0113998694715023	-0.00240423188209829	0.0135968313290596
101	-0.0153737573539402	-0.00197211492680438	-0.0108491111901645
1010	0.0194815600534463	0.00980811687100757	-0.00579586174038992
1012	0.0201010674584926	-0.00889755380465923	0.0219788738061161
1014	0.0031920502524631	-0.00999302947146676	0.0192128841967233
1015	-0.0101588558283976	0.00376019627919549	-0.013379311319369
1016	-0.0105720141243411	-0.0223467082018743	-0.00377341586881798
1017	0.0171950644767132	-0.00645310012399058	0.0162688633334247
1018	0.0025356561418345	-0.00640738162916925	0.00789241508310875
1019	-0.00370568356305241	0.0036110195135612	-0.0130799227081447
102	-0.0162630919173831	-0.00197346166217665	-0.010305410626985
1020	0.0191492301167858	0.00688756898411243	-0.00536710563452907
1021	-0.0117021918217919	-0.0026317613549677	0.00905683288400442
1022	0.00792902126185225	0.00628153754586778	0.0233850320971134
1023	-0.0113157318667641	-0.00234501593494185	0.00984202432903592
1024	-0.00852997192832612	-0.0190112372008986	-0.000901535797362439
1025	-0.00426474522742271	0.000965666826690089	-0.020381047393935
1026	0.00754482598076081	0.00120571036339838	1.39189280332802e-05
1029	-0.00414155835471418	0.0039574442945352	-0.014686052965146
103	0.002083622442711	-0.00698879354770392	0.00487529900211554
1030	0.000481005114320448	-0.0220630639839475	0.00854279847967233
1031	-0.000912668204730663	-0.00139311107348435	-0.00235772584652796
1035	-0.00874452928988811	-0.00470264420708593	0.0122907026010964
1036	-0.010457998157259	-0.00608528298903077	0.0134138945785823
1037	-0.00496979271435558	-0.0149674143138966	0.00740847630912002
1038	0.00316688614727622	0.000614853403723988	-0.0102220171971221
104	-0.0116063136118443	-0.000782077643170805	-0.0111266464055157
1040	-0.00482033506434778	0.00780304107939897	-0.019039035423958
1041	0.0145443949820567	0.00991623323814797	-0.0126741949606906
1042	0.0158765093541635	0.00889836433659445	-0.0122979472487658
1043	-0.00353173571587479	0.00299048042116477	-0.0106093389948704
1044	0.013962035581457	-0.00161336663197807	0.0154480778752397
