"feature_id","feature_id_full","feature_id_full_annotated","feature_mz","feature_rt","control_vs_ND_p_value","control_vs_trich_p_value","ND_vs_trich_p_value","control_vs_ND_p_value_minus_log10","control_vs_trich_p_value_minus_log10","ND_vs_trich_p_value_minus_log10","ND_vs_trich_fold_change","control_vs_trich_fold_change","control_vs_ND_fold_change","ND_vs_trich_fold_change_log2","control_vs_trich_fold_change_log2","control_vs_ND_fold_change_log2","sirius_name","sirius_chebiasciiname","sirius_chebiid","sirius_confidencescoreapproximate","sirius_confidencescoreexact","sirius_csi_fingeridscore","sirius_siriusscore","sirius_zodiacscore","sirius_inchi","sirius_inchikey2d","sirius_molecularformula","sirius_adduct","sirius_smiles","canopus_npc_pathway","canopus_npc_class","canopus_npc_superclass","met_annot_structure_exact_mass","met_annot_structure_inchi","met_annot_structure_inchikey","met_annot_short_inchikey","met_annot_structure_smiles","met_annot_structure_molecular_formula","met_annot_structure_nametraditional","met_annot_structure_wikidata","met_annot_structure_taxonomy_npclassifier_01pathway","met_annot_structure_taxonomy_npclassifier_02superclass","met_annot_structure_taxonomy_npclassifier_01pathway_consensus","met_annot_structure_taxonomy_npclassifier_02superclass_consensus","met_annot_structure_taxonomy_npclassifier_03class_consensus","met_annot_organism_name","met_annot_organism_taxonomy_01domain","met_annot_organism_taxonomy_02kingdom","met_annot_organism_taxonomy_03phylum","met_annot_organism_taxonomy_04class","met_annot_organism_taxonomy_05order","met_annot_organism_taxonomy_06family","met_annot_organism_taxonomy_07tribe","met_annot_organism_taxonomy_08genus","met_annot_organism_taxonomy_09species","met_annot_organism_taxonomy_10varietas","met_annot_organism_taxonomy_ottid","met_annot_organism_wikidata","met_annot_score_taxo","control","control.pval","ND","ND.pval","trich","trich.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
27,"27_180.99_0.3","NA_[27_180.99_0.3]",180.990058837422,0.31104255,3.17523785042795e-14,0.151594304093232,3.17523785042795e-14,13.498223737062,0.819317116298627,13.498223737062,0.50040118420892,0.999076060193064,1.99655015159985,-0.998842891214335,-0.00133357954607325,0.997509311668261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.868263473053892,0,1,0,0.830339321357285,0,0.80439121756487,0.00923076923076923,0.307385229540918
28,"28_182.99_0.3","NA_[28_182.99_0.3]",182.985401342128,0.31112695,3.17523785042795e-14,0.0236955212334377,3.17523785042795e-14,13.498223737062,1.62533373362776,13.498223737062,0.500305180496433,0.999218314580197,1.99721760543977,-0.999119703844337,-0.00112817467500115,0.997991529169336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.38942503594182,0.0219560878243513,0,1,1.57532347087875,0.0119760479041916,1.64421024210884,0.0119760479041916,0.0493974358974359,0.031936127744511
40,"40_141.96_0.3","NA_[40_141.96_0.3]",141.958812061295,0.32345635,3.17523785042795e-14,0.01700361236967,3.17523785042795e-14,13.498223737062,1.76945880417729,13.498223737062,0.500152866459433,0.999568930332748,1.99852684521968,-0.999558988046617,-0.000622036151314914,0.998936951895302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.890219560878243,0,1,0,0.848303393213573,0,0.826347305389222,0.0185934065934066,0.183632734530938
42,"42_130.97_0.3","NA_[42_130.97_0.3]",130.966651305545,0.31566316,3.94524195534984e-08,0.967224043409514,2.58346941617305e-08,7.40392635705506,0.0144729162516129,7.58779667538633,0.562320575070051,1.00644389995586,1.78980450756312,-0.830535259446548,0.00926675744442185,0.839802016890969,"2,2-Dichloro-1,1-ethanediol",NA,NA,0.107,0.107,-49.625,16.62,1,"InChI=1S/C2H4Cl2O2/c3-1(4)2(5)6/h1-2,5-6H","RUUBIFVWPACNLY","C2H4Cl2O2","[M + H]+","C(C(Cl)Cl)(O)O","Fatty acids","Halogenated fatty acids","Fatty Acids and Conjugates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.872255489021956,0,1,0,0.840319361277445,0,0.802395209580838,0,1
43,"43_158.96_0.3","NA_[43_158.96_0.3]",158.961586002122,0.3241106,7.02775615479823e-11,0.0194621901025255,3.44335671087492e-11,10.1531833158254,1.7108082896626,10.46301798469,0.518602580035956,0.952580869843524,1.83682246582244,-0.947298711303521,-0.070086518743694,0.877212192559827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9042342233658,0.00598802395209581,0,1,1.06870851763668,0.0219560878243513,1.52328892952257,0.0119760479041916,0.0641992673992674,0.00998003992015968
44,"44_176.97_0.3","NA_[44_176.97_0.3]",176.972172185599,0.32157448,1.73552866300497e-07,0.0815111392010676,4.56759883249447e-08,6.76056820937252,1.08878303711297,7.34031204672472,0.531100799530227,0.929005972637751,1.74920838654259,-0.912942393591768,-0.106240223072583,0.806702170519185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.888223552894212,0,1,0,0.830339321357285,0,0.812375249500998,0.00975824175824176,0.377245508982036
45,"45_186.96_0.3","NA_[45_186.96_0.3]",186.956492969395,0.31556034,2.41052733329639e-10,0.0196314605015656,1.07391207038177e-10,9.61788793962902,1.70704738943841,9.969031276282,0.520430109357842,0.944260469386337,1.81438477983424,-0.942223663645156,-0.0827432204072291,0.859480443237927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00100150250438,0.093812375249501,0,1,1.00100150250438,0.111776447105788,1.00100150250438,0.131736526946108,0.0549194139194139,0.0259481037924152
46,"46_199.99_0.3","NA_[46_199.99_0.3]",199.98806192731,0.3117775,1.19305956225446e-08,0.0780683383137859,3.04839531395373e-09,7.92333787408932,1.10752506450407,8.51592871464989,0.529760688245292,0.943495350514949,1.7809840772445,-0.916587304743104,-0.0839126865534836,0.832674618189621,"Bis(1-chloroethoxy)carbamic acid",NA,NA,-Inf,-Inf,-84.532,104.148,0.999,"InChI=1S/C5H9Cl2NO4/c1-3(6)11-8(5(9)10)12-4(2)7/h3-4H,1-2H3,(H,9,10)","BMCZNDMUFUNCQT","C5H9Cl2NO4","[M - H2O + H]+","CC(ON(C(=O)O)OC(C)Cl)Cl","Fatty acids","Halogenated fatty acids","Fatty Acids and Conjugates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.890219560878243,0,1,1.00100150250438,0.119760479041916,1.00100150250438,0.141716566866267,0.0211150183150183,0.157684630738523
47,"47_276.9_0.3","NA_[47_276.9_0.3]",276.896883135798,0.31098405,3.17523785042795e-14,0.125877184307543,3.17523785042795e-14,13.498223737062,0.900052980196164,13.498223737062,0.50113726704567,0.997825678963598,1.99112248196194,-0.996722267192088,-0.00314029742242937,0.993581969769658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.880239520958084,0,1,0,0.846307385229541,0,0.798403193612774,0.00342857142857143,0.636726546906188
49,"49_151.04_0.4","NA_[49_151.04_0.4]",151.035428443051,0.36553687,4.50217676446485e-05,0.537464280319799,5.76057329154667e-05,4.34657745773074,0.269650393506282,4.23953429349246,1.86620497498088,0.962151298059376,0.515565712747731,0.900107453578626,-0.055664319606121,-0.955771773184747,NA,NA,NA,-Inf,-Inf,-173.637,40.256,1,"InChI=1S/C4H6N3O2/c5-3-1-2-6-4(8)7(3)9/h1-2,9H,5H2,(H,6,8)","GFPQBBIFILRPRI","C4H6N3O2","[M + Na]+","C1=CNC(=O)N([C]1N)O","Alkaloids","Imidazole alkaloids","Histidine alkaloids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.906187624750499,0,1,0,0.862275449101796,0,0.830339321357285,0.0035,0.530938123752495
50,"50_171.99_0.3","NA_[50_171.99_0.3]",171.993091470345,0.31199762,6.75417465068051e-07,0.600438023739363,2.72992248584458e-07,6.17042771348945,0.221531813135457,6.56384968425884,0.538733105867253,0.964939586617999,1.79112732466039,-0.892357371453492,-0.0514894745947031,0.840867896858789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.874251497005988,0,1,0,0.828343313373254,0,0.800399201596806,0,1
54,"54_382.93_0.4","NA_[54_382.93_0.4]",382.928006857555,0.36912927,0.00203633903613054,0.745305185355777,0.0026323200196019,2.69114991333791,0.127665857216594,2.57966131327291,1.76478542150992,0.961074214340413,0.54458417585869,0.819492778316293,-0.0572802543911063,-0.876773032707399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.906187624750499,0,1,0,0.870259481037924,0,0.852295409181637,0,1
