"feature_id"	"feature"	"VIP"	"LV1"	"LV2"
647	"NA_[647_163.09_1.2]"	2.78341472526064	-0.00839018401079973	-0.0384670106918118
2178	"NA_[2178_452.11_3.5]"	2.68451487895618	-0.0110148609503844	-0.0364606073415613
1308	"NA_[1308_425.18_2.4]"	2.63686687923927	-0.0079949652157869	-0.0316792383531508
6527	"NA_[6527_1013.62_10.7]"	2.6027114624176	-0.0101393991115696	0.0155978217852998
4383	"NA_[4383_1017.59_7.2]"	2.54993350044214	-0.0109169745005975	0.0282263309833202
3284	"NA_[3284_285.17_4.9]"	2.54734741799708	-0.00768888302147172	-0.0257753302640988
1916	"NA_[1916_594.35_3.2]"	2.47936540759654	-0.0139455759538195	-0.0214577710071022
6884	"NA_[6884_531.41_11.3]"	2.44415646651481	-0.0135883378927015	-0.0281232739703732
3591	"NA_[3591_567.31_5.4]"	2.43175467201523	-0.0087487817636341	-0.0237558388822641
6746	"NA_[6746_138.1_11.1]"	2.42411594283319	-0.0104477332239375	-0.0257845108881011
3709	"NA_[3709_583.31_5.7]"	2.41962296228973	-0.00723162239030862	-0.0235598859504229
4776	"NA_[4776_1053.81_7.9]"	2.41283785329955	-0.016942876216538	0.0209028018061373
3286	"NA_[3286_493.28_4.9]"	2.40937422709631	-0.00809682844996584	-0.0243298119235586
5290	"NA_[5290_768.49_8.7]"	2.40399964901158	-0.0131733465012469	0.0354287400331238
5364	"NA_[5364_768.49_8.7]"	2.37419988299035	-0.0129557122667043	0.0342859148253405
886	"NA_[886_163_1.7]"	2.34616915703864	-0.0164258330508606	-0.0286387901675594
524	"NA_[524_137.05_0.9]"	2.34160369447875	-0.0116643729247816	-0.0213399371692438
6403	"NA_[6403_556.42_10.4]"	2.33900085620132	-0.00867419863177136	0.0253503735473252
644	"NA_[644_137.99_1.2]"	2.33686698225358	-0.0126895830822963	-0.0286156824881338
3839	"NA_[3839_778.42_6]"	2.33164936770194	-0.00743364735116157	-0.0248552748665217
3285	"NA_[3285_729.31_4.9]"	2.32581347973372	-0.00763182919356333	-0.024805669363802
7063	"NA_[7063_151.1_11.8]"	2.32441513864985	-0.0189774671951557	0.0117824671683317
3953	"NA_[3953_309.21_6.3]"	2.3221365281334	-0.00710467578065732	-0.0271026293467453
4740	"NA_[4740_1054.06_7.9]"	2.32171589997582	-0.0168128228370626	0.0200473467605609
3952	"NA_[3952_291.2_6.3]"	2.31819832478669	-0.00650768887528198	-0.0316710941045378
1764	"NA_[1764_608.39_3]"	2.31179313407711	-0.0141615078850835	-0.0236045253852522
6569	"NA_[6569_459.3_10.7]"	2.28647482089474	-0.0126209272043307	-0.0228105832479927
4764	"NA_[4764_1059.31_7.9]"	2.28368580173905	-0.0159727604658838	0.018114281137228
4048	"NA_[4048_349.24_6.4]"	2.27831037886934	-0.00820810066752225	-0.0240084633266897
4994	"NA_[4994_770.51_8.2]"	2.27122831752784	-0.0123111220250005	0.034979269347813
3287	"NA_[3287_511.29_4.9]"	2.26645259382008	-0.0084463262898887	-0.0237441764623353
251	"NA_[251_231.98_0.5]"	2.26528488189664	-0.020937266873623	0.0202225187395005
5476	"NA_[5476_520.21_8.9]"	2.23770720218527	-0.00918151687576036	0.031003924588887
6449	"NA_[6449_808.56_10.5]"	2.23343637920861	-0.0128705138938446	0.0345303868486234
4171	"NA_[4171_171.99_6.7]"	2.22587108412431	-0.0147169771910439	-0.0176663882007871
3764	"NA_[3764_762.43_5.8]"	2.22183868308695	-0.00720955205366716	-0.0255207450576866
858	"NA_[858_411.13_1.7]"	2.21822037555782	-0.0133665826577007	-0.0274403560323344
3882	"NA_[3882_778.42_6.1]"	2.21238765959122	-0.00669993392864692	-0.024427740780966
6621	"NA_[6621_126.1_10.8]"	2.2043606549955	-0.0132331068669413	0.0157322729479052
3733	"NA_[3733_190.99_5.7]"	2.19671904654994	-0.0120825492738776	0.0210287375506378
4512	"NA_[4512_1326.07_7.5]"	2.1942243689884	-0.0181029292873231	0.024932286516845
6808	"NA_[6808_163.1_11.2]"	2.19392791094846	-0.0197905102783187	0.00625869842101442
5018	"NA_[5018_770.51_8.3]"	2.19126492956546	-0.0119662024722386	0.034034809219831
5676	"NA_[5676_736.49_9.3]"	2.17930484071784	-0.00710718701310248	-0.0248301100815292
4697	"NA_[4697_740.46_7.8]"	2.17537100687169	-0.0127898378577651	0.0300241877384195
4706	"NA_[4706_283.15_7.8]"	2.17181481025173	-0.0129818796930934	0.0328581986452034
1038	"NA_[1038_234.14_2]"	2.1714012177321	-0.0076411341429204	-0.0180265559518242
2177	"NA_[2177_443.12_3.5]"	2.1658219680811	-0.00998233845412175	-0.0323264137409292
351	"NA_[351_307.08_0.6]"	2.16533177996923	-0.00848446598217882	-0.0173804283256585
497	"NA_[497_300.11_0.9]"	2.16255741193598	-0.0122462226951232	-0.018459155064151
6329	"NA_[6329_708.51_10.4]"	2.15611388669623	-0.0173062607002352	-0.0257079480570337
3104	"NA_[3104_907.42_4.6]"	2.15520340995434	-0.00839617371935162	-0.0198865491101327
597	"NA_[597_253.13_1]"	2.15155732204391	-0.00646527983666848	-0.0235749526994955
860	"NA_[860_406.17_1.7]"	2.14952625298077	-0.0114801573962302	-0.0263610055687777
302	"NA_[302_132.1_0.6]"	2.1492690287022	-0.0142420810931958	0.0311234747592748
4127	"NA_[4127_1453.81_6.7]"	2.14801335617198	-0.017440955088146	0.0230394496989956
5194	"NA_[5194_740.46_8.5]"	2.14652302129604	-0.01411053467086	0.03300083362136
